% Model,Mie (copy).mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 26 2021, 11:18"
% Table,Table 2 - Global Evaluation 1 (sigma_abs/C_geo)
% rad_mesh_max (nm),lambda0 (1),sigma_abs/C_geo (1)
4.999999999999999,5.1E-7,0.18366284541392586
2.4999999999999996,5.1E-7,0.17621804397452706
1.6666666666666665,5.1E-7,0.17502555960876123
1.2499999999999998,5.1E-7,0.1746687664287319
0.9999999999999999,5.1E-7,0.17455700056416792
0.8333333333333333,5.1E-7,0.17448105138687375
0.7142857142857142,5.1E-7,0.1744487344492681
0.6249999999999999,5.1E-7,0.1744267472298923
0.5555555555555555,5.1E-7,0.1744158463638763
0.49999999999999994,5.1E-7,0.17440344296349136
0.4545454545454545,5.1E-7,0.1743925345100525
0.41666666666666663,5.1E-7,0.1743926407443179
0.3846153846153846,5.1E-7,0.1743854662077714
0.3571428571428571,5.1E-7,0.1743793957824621
0.33333333333333326,5.1E-7,0.17437887723569304
