% Model,Mie_chafa.mph
% Version,COMSOL 5.4.0.225
% Date,"Feb 18 2022, 00:31"
% Table,"Table 2 - Global Evaluation 1 (sigma_sca /C_geo, sigma_abs/C_geo, sigma_ext /C_geo)"
% wlength (nm),lambda0 (nm),sigma_sca /C_geo (1),sigma_abs/C_geo (1),sigma_ext /C_geo (1)
400,400,1.5227610046778092E-4,0.15529872957815974,0.15545100567862752
410,410,1.3988491718203624E-4,0.15099492652071833,0.15113481143790036
420,420,1.2021730323997799E-4,0.14688130840793623,0.1470015257111762
429.99999999999994,429.99999999999994,1.102751044252646E-4,0.1436164516150681,0.14372672671949338
439.99999999999994,439.99999999999994,9.821050924147372E-5,0.14261196449277688,0.14271017500201835
450,450,9.31880067111054E-5,0.1434769217055222,0.1435701097122333
460,460,8.464361061654405E-5,0.14372833680851077,0.14381298041912732
470,470,7.186025912402089E-5,0.1449017822169274,0.1449736424760514
480,480,9.033142606194648E-5,0.1489156501655077,0.14900598159156964
490,490,8.622122271787272E-5,0.15826166305300501,0.1583478842757229
500,500,6.967261006259761E-5,0.16998895818695006,0.17005863079701264
509.99999999999994,509.99999999999994,7.119900023014122E-5,0.17748754245633697,0.1775587414565671
520,520,9.959580925978954E-5,0.16819546200592714,0.16829505781518692
530,530,7.953291465631772E-5,0.14352931202976246,0.14360884494441875
540,540,1.4491350035045837E-4,0.11727524683584972,0.11742016033620017
550,550,8.67446920631127E-5,0.09410973741954912,0.09419648211161223
560,560,7.740415899123999E-5,0.07535271601067017,0.07543012016966141
570,570,5.2922932225417756E-5,0.06103149389048583,0.061084416822711256
580,580,7.796860247034954E-5,0.04913273957835028,0.04921070818082063
590,590,4.4146888190767496E-5,0.039510407820534305,0.03955455470872506
599.9999999999999,599.9999999999999,2.9092651671270866E-5,0.03272235244473648,0.032751445096407754
610,610,3.828967722573374E-5,0.02734340136505427,0.027381691042280002
619.9999999999999,619.9999999999999,1.5167227365084234E-5,0.023086260855223743,0.023101428082588825
629.9999999999999,629.9999999999999,2.9144962222002076E-5,0.01972520307260536,0.019754348034827365
639.9999999999999,639.9999999999999,4.257761856482617E-5,0.017052700649808128,0.01709527826837295
650,650,2.0056179126685926E-5,0.01494550986801546,0.014965566047142147
660,660,1.5931652575702403E-5,0.013229990719984035,0.013245922372559737
670,670,3.483088817195021E-5,0.011879032249380417,0.011913863137552367
680,680,2.4127406350182596E-5,0.010847932370513083,0.010872059776863265
690,690,1.2050331465306706E-5,0.009968580998944022,0.00998063133040933
700,700,1.8575084842548786E-5,0.009273320483613566,0.009291895568456113
709.9999999999999,709.9999999999999,2.1705525064908744E-5,0.008646958901534552,0.00866866442659946
720,720,3.6104611465924916E-5,0.00807789241400213,0.008113997025468054
729.9999999999999,729.9999999999999,4.218891063207984E-5,0.00757596394346721,0.00761815285409929
740,740,1.9799290977671406E-5,0.007091252205029139,0.0071110514960068105
749.9999999999999,749.9999999999999,3.610587055586303E-5,0.006715071746583243,0.006751177617139106
759.9999999999999,759.9999999999999,4.158456584414354E-6,0.006343449232045695,0.0063476076886301094
770,770,1.3770636274281544E-5,0.00604446959684787,0.006058240233122151
780,780,7.072183510038981E-7,0.005731593012991341,0.0057323002313423455
790,790,1.1076076471663563E-5,0.005452227097128547,0.00546330317360021
799.9999999999999,799.9999999999999,-4.1121949639632525E-6,0.005196925975064142,0.005192813780100178
