% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Jun 16 2022, 00:07"
% Table,"Table: Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
400,0.00504062082470447,0.4227383266345632,0.42777894745926764
410,0.00458684150840993,0.4116650036284862,0.4162518451368961
419.99999999999994,0.004176506046595428,0.40141685683286055,0.40559336287945597
429.99999999999994,0.003806600728881185,0.3930251504689859,0.39683175119786707
439.99999999999994,0.0034976649545656684,0.3918073163365722,0.39530498129113784
450,0.0032556856021704246,0.3950403811572871,0.39829606675945756
460,0.0030016696456134917,0.39740245021981513,0.4004041198654286
470,0.0027706901504375866,0.4026538012715899,0.40542449142202747
480,0.0026514860117448965,0.41825408360193117,0.4209055696136761
490,0.0026956975429085895,0.44833782562036145,0.45103352316327006
500,0.0029701877805130583,0.4883323628746415,0.49130255065515455
502.5,0.003082968820390448,0.4972539241229248,0.5003368929433153
505,0.003196739605304168,0.5043249100157672,0.5075216496210714
507.49999999999994,0.0033381352513205827,0.5085111179837007,0.5118492532350213
509.99999999999994,0.0034624500646934986,0.5089311288679873,0.5123935789326808
512.5,0.0035833636332626927,0.5048739076059356,0.5084572712391984
515,0.0037080533488724893,0.4959323095599208,0.49964036290879327
517.5,0.003773616187007267,0.4820807680933227,0.48585438428032995
519.9999999999999,0.0038372025010789228,0.4643140281694007,0.46815123067047965
522.5,0.003856063294519426,0.44276446372324546,0.4466205270177649
525,0.0038465705933930206,0.41945187822446306,0.42329844881785605
527.5,0.0038033279045224595,0.3952136617196353,0.39901698962415777
530,0.0037196623698730375,0.370860307771232,0.37457997014110506
540,0.0033592376549475586,0.2834131675481354,0.28677240520308295
550,0.0029656053553724798,0.21679499854270476,0.21976060389807725
560,0.0026008430823113863,0.16596858496166753,0.16856942804397892
570,0.0022969018101981482,0.1269149916308637,0.12921189344106185
580,0.0020316148930136983,0.0973980459604805,0.0994296608534942
590,0.0018214088122224686,0.07587983521684509,0.07770124402906756
600,0.0016224907685376535,0.06030388407672206,0.061926374845259716
