% Model,Mie_chafa.mph
% Version,COMSOL 5.4.0.225
% Date,"Feb 20 2022, 03:27"
% Table,"Table 2 - Global Evaluation 1 (sigma_sca /C_geo, sigma_abs/C_geo, sigma_ext /C_geo)"
% wlength (nm),lambda0 (nm),sigma_sca /C_geo (1),sigma_abs/C_geo (1),sigma_ext /C_geo (1)
400,400,0.004943193781443475,0.42264552212624346,0.42758871590768693
410,410,0.004495927041690639,0.41167338328371844,0.41616931032540905
420,420,0.00408354637337114,0.4013376649253624,0.40542121129873354
429.99999999999994,429.99999999999994,0.003709979340031815,0.39297208576629994,0.39668206510633175
439.99999999999994,439.99999999999994,0.003421280346074769,0.39180649889556596,0.3952277792416407
450,450,0.0031774266350667146,0.39491800337648447,0.3980954300115512
460,460,0.0029261122542404766,0.3973917895181635,0.400317901772404
470,470,0.002706474578385253,0.40257854974967944,0.4052850243280647
480,480,0.0025859393590733797,0.41828987130173656,0.42087581066081
490,490,0.002623853772281339,0.4484161784441454,0.4510400322164267
500,500,0.002893687013559692,0.48834196346729986,0.49123565048085954
509.99999999999994,509.99999999999994,0.003387040940542386,0.5089954211397746,0.512382462080317
520,520,0.00375587662538167,0.464035287316141,0.4677911639415227
530,530,0.0036642647624048567,0.370846870140638,0.37451113490304283
540,540,0.003298861484558733,0.2833760974966386,0.2866749589811973
550,550,0.002902300394059127,0.2168116117446619,0.21971391213872105
560,560,0.002551995085259678,0.16595633634450951,0.1685083314297692
570,570,0.0022499087343995786,0.12688197134786078,0.12913188008226034
580,580,0.0019867126221925226,0.097417878977192,0.09940459159938453
590,590,0.001759756786657197,0.07585835829207843,0.07761811507873563
599.9999999999999,599.9999999999999,0.0015614042956116792,0.060302824752408564,0.06186422904802025
