% Model,Mie.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 25 2021, 21:54"
% Table,"Table 1 - Global Evaluation 2 (sigma_sca /C_geo, sigma_abs/C_geo, sigma_ext /C_geo)"
% wlength (m),lambda0 (nm),sigma_sca /C_geo (1),sigma_abs/C_geo (1),sigma_ext /C_geo (1)
4.0000000000000003E-7,400,1.2775244639260877E-4,0.1532245551636671,0.15335230761005972
4.1000000000000004E-7,410,1.161151380851864E-4,0.14905344824690364,0.14916956338498882
4.2000000000000006E-7,420,1.0579300619447594E-4,0.14508444133941797,0.14519023434561246
4.3E-7,429.99999999999994,9.63117533797098E-5,0.14180788917467824,0.14190420092805794
4.4E-7,439.99999999999994,8.908839796351151E-5,0.1409767896635986,0.14106587806156212
4.5000000000000003E-7,450,8.214781550815085E-5,0.14154266244628977,0.1416248102617979
4.6000000000000004E-7,460,7.468063538068987E-5,0.14179764484093313,0.14187232547631384
4.7000000000000005E-7,470,6.818160719603656E-5,0.1428503380494947,0.14291851965669075
4.800000000000001E-7,480,6.404535524857295E-5,0.14723535700392257,0.14729940235917113
4.900000000000001E-7,490,6.37882049810503E-5,0.15591239387399708,0.15597618207897812
5.000000000000001E-7,500,6.755128450370704E-5,0.16756898504739462,0.16763653633189832
5.1E-7,509.99999999999994,7.483652578802076E-5,0.17465057495159958,0.17472541147738763
5.200000000000001E-7,520,8.127146137972291E-5,0.16518407451391515,0.16526534597529488
5.3E-7,530,7.964106553909815E-5,0.1407175809356196,0.14079722200115868
5.4E-7,540,7.509478918840211E-5,0.114443235396426,0.11451833018561439
5.5E-7,550,6.820472322395193E-5,0.09232459805056697,0.09239280277379093
5.6E-7,560,6.205191687052633E-5,0.07439572983611689,0.07445778175298741
5.7E-7,570,5.532900287794383E-5,0.05979738676968077,0.05985271577255872
5.800000000000001E-7,580,4.743313005961108E-5,0.048135414048114576,0.04818284717817419
5.900000000000001E-7,590,4.2152328872204594E-5,0.03905963927227833,0.03910179160115054
6.0E-7,599.9999999999999,4.035479749967957E-5,0.03212087718289641,0.032161231980396096
6.100000000000001E-7,610,3.5530082575032146E-5,0.026812970284087002,0.02684850036666203
6.2E-7,619.9999999999999,3.172862883165117E-5,0.022681017104045624,0.022712745732877272
6.3E-7,629.9999999999999,3.144773850420726E-5,0.01939955060297165,0.019430998341475856
6.4E-7,639.9999999999999,2.726828927795862E-5,0.016766614903137245,0.0167938831924152
6.5E-7,650,2.3987131006740306E-5,0.014669158892174107,0.014693146023180847
6.6E-7,660,2.3436231738844498E-5,0.013008099371124727,0.01303153560286357
6.7E-7,670,2.0132917118475635E-5,0.011705724428787173,0.011725857345905649
6.800000000000001E-7,680,2.1229991546438366E-5,0.010669545940621819,0.010690775932168259
6.900000000000001E-7,690,1.5470455000640964E-5,0.009826595876253315,0.009842066331253957
7.000000000000001E-7,700,1.629523546163926E-5,0.009116776460867294,0.009133071696328933
7.1E-7,709.9999999999999,1.3075064472769662E-5,0.00849777598990481,0.00851085105437758
7.200000000000001E-7,720,1.3261863813028162E-5,0.007948411765731566,0.007961673629544593
7.3E-7,729.9999999999999,1.4888956814661592E-5,0.007457830201296324,0.007472719158110985
7.400000000000001E-7,740,1.2479677861986986E-5,0.00701826128825045,0.007030740966112437
7.5E-7,749.9999999999999,9.699542922560001E-6,0.006622026412508896,0.006631725955431455
7.6E-7,759.9999999999999,1.0877592649463428E-5,0.00626581208602827,0.006276689678677734
7.7E-7,770,1.2014689616766707E-5,0.00594272443710923,0.005954739126725997
7.8E-7,780,1.0604035026435977E-5,0.005648423699244061,0.005659027734270497
7.900000000000001E-7,790,1.0437073117620113E-5,0.005374728526852568,0.005385165599970189
8.0E-7,799.9999999999999,7.819438391033328E-6,0.005120188675869242,0.005128008114260275
