% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 25 2021, 13:10"
% Table,Table 1 - Sca S (Q_sca)
% alpha (deg),wlength (nm),"theta_i=0.66323, Q_sca (1)","theta_i=0.68068, Q_sca (1)","theta_i=0.69813, Q_sca (1)","theta_i=0.71558, Q_sca (1)","theta_i=0.73304, Q_sca (1)","theta_i=0.75049, Q_sca (1)","theta_i=0.76794, Q_sca (1)","theta_i=0.7854, Q_sca (1)"
0,500,0.00614087238100134,0.006544686720013553,0.007112921932575644,0.008051496286000968,0.010438434734858032,0.009717775706666782,0.009182622900035416,0.008710159018772508
0,510.00000000000006,0.0073400005927681585,0.007822806333998438,0.008502200454324867,0.009624390184661595,0.012485181292455653,0.011632675034042224,0.010997369412050212,0.010435481376285406
0,520,0.008371668137769078,0.008922276578296232,0.00969709618386528,0.010976931163259856,0.014247556071514202,0.013285684007785722,0.012566228298396162,0.011928738982476907
0,530,0.008302343183667052,0.008848448485720311,0.009616932145361448,0.010886304979169046,0.014137297524334812,0.013192776458444131,0.012483926019375752,0.01185477966037948
0,540.0000000000001,0.007513763602231317,0.008007702592296733,0.008702780011304008,0.009850897485900746,0.01279695207119397,0.01195014202366747,0.01131264879217986,0.010745963334893834
0,550,0.006596813767637846,0.007030531647567428,0.007640851692305843,0.008648946060171175,0.011240100938988659,0.010502659127693886,0.009945989612743362,0.00945048006545108
0,560.0000000000001,0.00578527280473591,0.0061656355379506355,0.006700871569289883,0.007584937795552831,0.009861512562944258,0.009220526214012145,0.00873521073562331,0.008302570451321536
0,570,0.0050822134169674245,0.005416290992689843,0.005886422188801931,0.0066629984264712765,0.008666412444314351,0.008107910640899333,0.007683827177323161,0.007305244440818765
0,580,0.004471339752154541,0.0047656022648037465,0.005179656663822643,0.005863528550880026,0.007630704205593316,0.007143399997796495,0.006772349827205903,0.006440643160528255
0,590,0.003941274997166187,0.00420046836146098,0.004565182573539726,0.005167566998847435,0.0067262805196703634,0.006299815290283066,0.005974304627293542,0.005682965203234034
0,600,0.0034869747623881564,0.0037166287939980865,0.00403976905329304,0.004573482995419698,0.00595711591684268,0.005582815967579233,0.005296276930751404,0.005039448333973787
