% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 27 2021, 13:57"
% Table,Table 1 - Sca S (Q_sca)
% alpha (deg),wlength (nm),"theta_i=0.2618, Q_sca (1)","theta_i=0.69813, Q_sca (1)","theta_i=0.75049, Q_sca (1)","theta_i=1.3963, Q_sca (1)"
0,500,0.0040209897170131,0.007112921932563986,0.009717775706711427,4.201395576133911E-4
0,510.00000000000006,0.004805682912409258,0.008502200454259085,0.011632675034020226,5.055581590242485E-4
0,520,0.005481888899700855,0.009697096183777586,0.013285684007750423,5.804942267757755E-4
0,530,0.005435987986241257,0.009616932145252555,0.01319277645844246,5.793396374167234E-4
0,540.0000000000001,0.004921809222159117,0.008702780011336382,0.011950142023671449,5.27205120873025E-4
0,550,0.004319996496232804,0.007640851692387359,0.010502659127782182,4.654411276144501E-4
0,560.0000000000001,0.00378889568574044,0.006700871569290383,0.009220526214024926,4.10253859039925E-4
0,570,0.003329785768883445,0.0058864221887772366,0.00810791064091684,3.62170180939812E-4
0,580,0.0029255302819482963,0.00517965666378432,0.007143399997757319,3.2050283214201574E-4
0,590,0.0025800025501892614,0.004565182573527258,0.00629981529035958,2.8354306962898024E-4
0,600,0.0022802077675456588,0.004039769053287709,0.005582815967542208,2.523553797540718E-4
