% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 27 2021, 17:10"
% Dimension,1
% Nodes,404
% Expressions,1
% Description,Radiation pattern
% theta,r
0,1.098820720421094E-7
0.06283185307179587,1.0718487506919674E-7
0.12566370614359174,1.0351175155695238E-7
0.18849555921538758,9.898124770121305E-8
0.25132741228718347,9.373375843527208E-8
0.3141592653589793,8.792410076899251E-8
0.37699111843077515,8.171405013100624E-8
0.43982297150257105,7.526529517662114E-8
0.5026548245743669,6.873318842592426E-8
0.5654866776461628,6.226155632363168E-8
0.6283185307179586,5.5978701157388894E-8
0.6911503837897545,4.9994600716407996E-8
0.7539822368615503,4.439921232212457E-8
0.8168140899333463,3.9261734762823267E-8
0.8796459430051421,3.4630683042577986E-8
0.9424777960769378,3.053467649289599E-8
1.0053096491487339,2.6983897128009504E-8
1.0681415022205298,2.3972195650880525E-8
1.1309733552923256,2.147978997325763E-8
1.1938052083641213,1.9476497290031712E-8
1.2566370614359172,1.7925669360210986E-8
1.3194689145077132,1.6789618707279672E-8
1.382300767579509,1.6038054197114617E-8
1.4451326206513047,1.5660916155601855E-8
1.5079644737231006,1.568469150945908E-8
1.5707963267948966,1.618619497455133E-8
1.6336281798666925,1.7292245527439153E-8
1.6964600329384882,1.915554153053475E-8
1.7592918860102842,2.191330889877957E-8
1.8221237390820801,2.5652539920023325E-8
1.8849555921538756,3.039906773640561E-8
1.9477874452256716,3.6125533819521246E-8
2.0106192982974678,4.2764422141964006E-8
2.0734511513692637,5.021869374170833E-8
2.1362830044410597,5.8369465392109006E-8
2.199114857512855,6.708227617975629E-8
2.261946710584651,7.621302155474896E-8
2.324778563656447,8.561380686748605E-8
2.3876104167282426,9.513845752141202E-8
2.4504422698000385,1.0464722039249659E-7
2.5132741228718345,1.1401018541009147E-7
2.57610597594363,1.2310906703620454E-7
2.6389378290154264,1.318371731824954E-7
2.701769682087222,1.4009763201622704E-7
2.764601535159018,1.4780022049704417E-7
2.827433388230814,1.5485740301155123E-7
2.8902652413026093,1.6118038996082904E-7
2.9530970943744057,1.666761080692981E-7
3.015928947446201,1.712458982049619E-7
3.078760800517997,1.7478652148644075E-7
3.141592653589793,1.7719370301488607E-7
3.204424506661589,1.7836805015257842E-7
3.267256359733385,1.782228329459042E-7
3.330088212805181,1.7669287455624545E-7
3.3929200658769765,1.7374370146411892E-7
3.4557519189487724,1.6938014181442152E-7
3.5185837720205684,1.636537026915507E-7
3.581415625092364,1.566682555883251E-7
3.6442474781641603,1.485837601829806E-7
3.707079331235956,1.3961789849391944E-7
3.7699111843077513,1.3004548854259302E-7
3.8327430373795477,1.2019525452303368E-7
3.895574890451343,1.1044271501234077E-7
3.9584067435231396,1.011963497033926E-7
4.0212385965949355,9.287195082988974E-8
4.084070449666731,8.584886888870619E-8
4.1469023027385274,8.040641869759617E-8
4.209734155810323,7.665415273449446E-8
4.272566008882119,7.448979162158463E-8
4.335397861953915,7.361828452036318E-8
4.39822971502571,7.363011279704554E-8
4.461061568097507,7.409827639383438E-8
4.523893421169302,7.465192387765345E-8
4.586725274241098,7.501196840185455E-8
4.649557127312894,7.499688097566096E-8
4.71238898038469,7.451287369890363E-8
4.775220833456485,7.353920891727277E-8
4.838052686528282,7.211451095330051E-8
4.900884539600077,7.03265933325618E-8
4.9637163926718735,6.830631736594732E-8
5.026548245743669,6.622453285502712E-8
5.0893800988154645,6.428953790969937E-8
5.15221195188726,6.274054058447643E-8
5.215043804959057,6.18311566359705E-8
5.277875658030853,6.179849161705544E-8
5.340707511102648,6.282060555647202E-8
5.403539364174444,6.4976189487407E-8
5.466371217246239,6.822504541276259E-8
5.529203070318036,7.241804559097473E-8
5.592034923389832,7.732828671292192E-8
5.654866776461628,8.268717618508731E-8
5.717698629533423,8.82139216700389E-8
5.780530482605219,9.363543743702081E-8
5.843362335677015,9.869873247368165E-8
5.906194188748811,1.0317882153226552E-7
5.969026041820607,1.0688429967273238E-7
6.031857894892402,1.096615908277693E-7
6.094689747964199,1.1139810887125525E-7
6.157521601035994,1.1202418995311629E-7
6.220353454107791,1.1151354953571934E-7
6.283185307179586,1.0988207204210937E-7
0,5.362986524285039E-8
0.06283185307179587,4.8770503865545366E-8
0.12566370614359174,4.389143543061032E-8
0.18849555921538758,3.906422530953957E-8
0.25132741228718347,3.435524407314922E-8
0.3141592653589793,2.982241920610053E-8
0.37699111843077515,2.5514319179338248E-8
0.43982297150257105,2.147097859798982E-8
0.5026548245743669,1.772556898365034E-8
0.5654866776461628,1.4305952983726632E-8
0.6283185307179586,1.123531455396075E-8
0.6911503837897545,8.531415172559222E-9
0.7539822368615503,6.204884921044902E-9
0.8168140899333463,4.260262091945868E-9
0.8796459430051421,2.7198115789738716E-9
0.9424777960769378,1.7667956495853749E-9
1.0053096491487339,1.927069852780867E-9
1.0681415022205298,3.0484982944112752E-9
1.1309733552923256,4.6643125322517894E-9
1.1938052083641213,6.674699671816695E-9
1.2566370614359172,9.06213696925677E-9
1.3194689145077132,1.1788488459023163E-8
1.382300767579509,1.477910101257785E-8
1.4451326206513047,1.7924999667465612E-8
1.5079644737231006,2.1089361970068176E-8
1.5707963267948966,2.411564206247709E-8
1.6336281798666925,2.6836904427528223E-8
1.6964600329384882,2.9086280518409108E-8
1.7592918860102842,3.0708606491826346E-8
1.8221237390820801,3.1573705324534384E-8
1.8849555921538756,3.159274514202071E-8
1.9477874452256716,3.074117415643248E-8
2.0106192982974678,2.9095988794292035E-8
2.0734511513692637,2.6902718813288444E-8
2.1362830044410597,2.4692078963404116E-8
2.199114857512855,2.3412148469100944E-8
2.261946710584651,2.4291949721046693E-8
2.324778563656447,2.809387203334709E-8
2.3876104167282426,3.4585678993729014E-8
2.4504422698000385,4.303736418138988E-8
2.5132741228718345,5.27655265651417E-8
2.57610597594363,6.324753129156469E-8
2.6389378290154264,7.407997657610058E-8
2.701769682087222,8.493720501822719E-8
2.764601535159018,9.555033162998134E-8
2.827433388230814,1.0569901403881597E-7
2.8902652413026093,1.1520849865080088E-7
2.9530970943744057,1.239475403257347E-7
3.015928947446201,1.318249580731926E-7
3.078760800517997,1.387839875578599E-7
3.141592653589793,1.4479456026001157E-7
3.204424506661589,1.498443350353773E-7
3.267256359733385,1.5392975975448346E-7
3.330088212805181,1.57048625045784E-7
3.3929200658769765,1.5919546853225528E-7
3.4557519189487724,1.6036081744670822E-7
3.5185837720205684,1.6053469712670815E-7
3.581415625092364,1.5971420039244782E-7
3.6442474781641603,1.5791432771978564E-7
3.707079331235956,1.5518084644635731E-7
3.7699111843077513,1.5160357967782612E-7
3.8327430373795477,1.473282402186367E-7
3.895574890451343,1.4256452971454965E-7
3.9584067435231396,1.375875970862169E-7
4.0212385965949355,1.3272914785397862E-7
4.084070449666731,1.2835409685860566E-7
4.1469023027385274,1.2482012464337812E-7
4.209734155810323,1.224227903394193E-7
4.272566008882119,1.213380838463214E-7
4.335397861953915,1.2158235015997417E-7
4.39822971502571,1.230074449856826E-7
4.461061568097507,1.2533397475253286E-7
4.523893421169302,1.2820787399011835E-7
4.586725274241098,1.3125890698866154E-7
4.649557127312894,1.3414586568094096E-7
