% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 25 2021, 13:12"
% Table,Table 4 - Abs P (Q_abs)
% alpha (deg),wlength (nm),"theta_i=0.66323, Q_abs (1)","theta_i=0.68068, Q_abs (1)","theta_i=0.69813, Q_abs (1)","theta_i=0.71558, Q_abs (1)","theta_i=0.73304, Q_abs (1)","theta_i=0.75049, Q_abs (1)","theta_i=0.76794, Q_abs (1)","theta_i=0.7854, Q_abs (1)"
90,500,1.5736935672203205,1.6453551453320847,1.7715897112211583,2.0385783346311803,3.2233026762518957,3.0745129707432124,2.941063954800156,2.8319131600473226
90,510.00000000000006,1.6965949639970874,1.7764337020957655,1.916158054493433,2.210257765476541,3.5170506756108435,3.3629806019769206,3.220749987387467,3.103549018586304
90,520,1.618158492620343,1.6983330429612744,1.8373210136347975,2.127775120016881,3.4183526353751033,3.2779619555185437,3.143421979750721,3.0315010593895297
90,530,1.333235876812383,1.401816937242646,1.5199150670758226,1.7654528392768933,2.8566802486211587,2.745440568883046,2.6354573361072635,2.5432716781613554
90,540.0000000000001,1.02881289273263,1.082338451936132,1.174306610348691,1.365200389751739,2.214622797631805,2.131121086316842,2.0470347182975828,1.9762685004919107
90,550,0.7861156706515404,0.8269047064876455,0.8969888929158258,1.042472814695405,1.6910279806937754,1.6286442377107853,1.565095319710209,1.511489052352967
90,560.0000000000001,0.5992306334187949,0.6301046377631001,0.6831941221844601,0.7934780826048231,1.2861446611556862,1.2395643142723316,1.1916741164473696,1.1512085728867842
90,570,0.4556448163974968,0.4788956841185244,0.5189231655750183,0.6021559498118035,0.9747377993073506,0.9399378219020418,0.9038996702289948,0.873411404798559
90,580,0.3473258468843418,0.3648624740163399,0.395093879793364,0.45803015425438104,0.7403493521572319,0.7142775477127026,0.6871040730278516,0.6640923068272668
90,590,0.26856501240673397,0.2819739073023165,0.3051231710624898,0.3533749713108232,0.570274893323902,0.5504531288569277,0.529667600511299,0.5120496277519476
90,600,0.21189766405934876,0.22236575662185454,0.24046398721356116,0.27823317066223224,0.448359026613678,0.43297255876314483,0.416740964861456,0.40297081455871075
