% Model,Supported-External.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 12 2022, 19:33"
% Table,"Table: Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
400,0.004507915866965081,0.3196414595824437,0.3241493754494088
410,0.0041113095928373014,0.3105581657668142,0.3146694753596515
419.99999999999994,0.003749004206067595,0.3019799510899627,0.3057289552960303
429.99999999999994,0.0033935959768600847,0.29494331869848245,0.2983369146753425
439.99999999999994,0.003141435066142066,0.29327624237629496,0.296417677442437
450,0.0029107311781073914,0.2948064928199812,0.29771722399808864
460,0.002680974893283294,0.2956391804015342,0.2983201552948175
470,0.0024862107218996564,0.29850571199369375,0.3009919227155934
480,0.002365498564857158,0.3094397134162716,0.31180521198112876
490,0.002405331921787042,0.3317766537642794,0.33418198568606644
500,0.002697581066490714,0.3639586304891249,0.3666562115556156
502.5,0.002803713379915423,0.3719397778104954,0.37474349119041084
505,0.0029385628164858148,0.3789158539630993,0.3818544167795851
507.49999999999994,0.00307140870304534,0.3839482484571919,0.38701965716023723
509.99999999999994,0.0032010219823327786,0.3865856028418817,0.3897866248242145
512.5,0.003376693584848108,0.3858671970742965,0.3892438906591446
515,0.003502490660988267,0.3816616021937853,0.3851640928547736
517.5,0.0035740032236756484,0.3734646590152197,0.3770386622388953
519.9999999999999,0.0036702844778688354,0.36174285001450923,0.36541313449237806
522.5,0.003730186312807096,0.3471332442248849,0.350863430537692
525,0.0037198459343378083,0.3302108056382975,0.33393065157263535
527.5,0.0037010771170012794,0.31238079476255287,0.31608187187955417
530,0.0036710019532953165,0.29394674575311347,0.2976177477064088
540,0.0033135292440815783,0.22541971644003006,0.22873324568411163
550,0.0029156868351052456,0.17198798110505453,0.17490366794015977
560,0.0025810676822969345,0.13123232895729478,0.13381339663959171
570,0.002279441100362956,0.09988380639198727,0.10216324749235023
580,0.0019896872303318026,0.07633250629533139,0.07832219352566319
590,0.0017653704849317962,0.05918919240442147,0.06095456288935327
600,0.0015779633740459357,0.04684489500276917,0.048422858376815106
