% Model,Embedded-Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 01:03"
% Dimension,3
% Nodes,46558
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-211.04489336412502,-211.04489336412493,8.939569455241406E-7
8.881784197001252E-16,-211.04489336412493,-206.4999999999999,1.037376294889835E-6
-1.7763568394002505E-15,-206.49999999999994,-206.4999999999999,1.2153566866378036E-6
8.881784197001252E-16,-215.375,-211.04489336412496,7.654459581082505E-7
0,-215.37499999999994,-206.49999999999994,8.987444589964424E-7
0,-215.37500000000006,-215.375,6.619893947774458E-7
8.881784197001252E-16,-211.04489336412502,-215.37499999999994,7.656856449329182E-7
0,-206.49999999999994,-215.37499999999994,8.932454138731689E-7
0,-206.49999999999994,-211.0448933641249,1.0288068277286869E-6
8.881784197001252E-16,-211.04489336412502,-219.91989336412496,6.735575292464453E-7
0,-215.37500000000006,-219.91989336412502,5.698612790909729E-7
8.881784197001252E-16,-215.37500000000006,-224.25,4.820856478998472E-7
0,-211.04489336412504,-224.25,5.716966156968794E-7
0,-206.49999999999997,-224.24999999999994,6.719073670506869E-7
0,-206.49999999999994,-219.91989336412496,7.799017614097157E-7
-1.7763568394002505E-15,-211.04489336412502,-228.79489336412502,5.272509663144046E-7
0,-215.37500000000003,-228.79489336412502,4.376399985173725E-7
-8.881784197001252E-16,-215.37500000000003,-233.12499999999997,3.952949563407287E-7
8.881784197001252E-16,-211.04489336412502,-233.12499999999997,4.853078048870766E-7
-8.881784197001252E-16,-206.49999999999997,-233.12499999999994,5.798432319023782E-7
-8.881784197001252E-16,-206.5,-228.79489336412496,6.247632255800871E-7
0,-219.91989336412493,-211.0448933641249,6.769512145775991E-7
-8.881784197001252E-16,-219.91989336412493,-206.49999999999994,7.865374159369111E-7
0,-224.24999999999994,-211.0448933641249,5.782610077283725E-7
-8.881784197001252E-16,-224.24999999999994,-206.49999999999991,6.796155301726256E-7
0,-224.24999999999994,-215.37499999999991,4.891706611467767E-7
1.7763568394002505E-15,-219.91989336412502,-215.37499999999994,5.734946512467943E-7
8.881784197001252E-16,-219.91989336412504,-219.91989336412502,4.849123546755948E-7
-8.881784197001252E-16,-224.24999999999997,-219.91989336412496,4.0058836457557727E-7
-8.881784197001252E-16,-224.25,-224.24999999999997,3.1619671853071987E-7
1.7763568394002505E-15,-219.91989336412502,-224.24999999999997,3.9713672348446906E-7
-8.881784197001252E-16,-219.91989336412504,-228.79489336412496,3.4236109082544026E-7
8.881784197001252E-16,-224.25,-228.79489336412496,2.6142108587169107E-7
-8.881784197001252E-16,-224.25,-233.125,2.0923825475575377E-7
8.881784197001252E-16,-219.91989336412504,-233.12499999999994,3.0001604864879645E-7
-8.881784197001252E-16,-228.79489336412496,-211.0448933641249,5.380235627771594E-7
0,-228.79489336412496,-206.4999999999999,6.341342672049753E-7
-1.7763568394002505E-15,-233.12499999999997,-211.0448933641249,4.984673610586233E-7
8.881784197001252E-16,-233.12499999999994,-206.4999999999999,5.907832150915805E-7
-8.881784197001252E-16,-233.12499999999997,-215.37499999999994,4.105841778900494E-7
8.881784197001252E-16,-228.79489336412496,-215.37499999999994,4.489332161955637E-7
8.881784197001252E-16,-228.7948933641249,-219.9198933641249,3.5269411604558707E-7
0,-233.12499999999994,-219.9198933641249,3.1434507774007284E-7
