% Model,Supported-External.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 01:04"
% Dimension,3
% Nodes,44765
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
-8.881784197001252E-16,-206.20649672784182,-206.2064967278418,3.086533898692868E-7
8.881784197001252E-16,-206.2064967278418,-201.99999999999994,3.495768953123293E-7
8.881784197001252E-16,-201.99999999999994,-201.99999999999994,4.1127650401836853E-7
0,-210.50000000000003,-206.2064967278418,2.56183177948202E-7
0,-210.5,-201.99999999999994,2.931209282941557E-7
-8.881784197001252E-16,-210.5,-210.50000000000003,2.2830374633337426E-7
-8.881784197001252E-16,-206.20649672784182,-210.5,2.7133602940930256E-7
-1.7763568394002505E-15,-201.99999999999997,-210.5,3.174871758235749E-7
1.7763568394002505E-15,-201.99999999999997,-206.2064967278418,3.561498643484346E-7
8.881784197001252E-16,-206.2064967278418,-214.70649672784185,2.482821289835505E-7
8.881784197001252E-16,-210.49999999999997,-214.70649672784188,2.052498459076222E-7
0,-210.49999999999997,-219,1.8171818958977865E-7
0,-206.2064967278418,-219,2.1960090349351223E-7
8.881784197001252E-16,-201.99999999999997,-218.99999999999997,2.581719577559775E-7
8.881784197001252E-16,-201.99999999999997,-214.70649672784182,2.881330690243703E-7
1.7763568394002505E-15,-206.2064967278418,-223.20649672784185,2.0927394267401125E-7
0,-210.5,-223.20649672784188,1.713912287702777E-7
8.881784197001252E-16,-210.5,-227.50000000000003,1.6084954721021832E-7
1.7763568394002505E-15,-206.20649672784182,-227.5,1.9957423724934167E-7
-2.6645352591003757E-15,-201.99999999999994,-227.49999999999997,2.3762005138510597E-7
-1.7763568394002505E-15,-201.99999999999994,-223.20649672784182,2.480013342640089E-7
-8.881784197001252E-16,-214.70649672784185,-206.2064967278418,2.2156682034882878E-7
0,-214.70649672784185,-201.99999999999994,2.496500540062332E-7
-8.881784197001252E-16,-219,-206.2064967278418,1.8044059967660986E-7
0,-219,-201.99999999999997,2.0528528443824452E-7
1.7763568394002505E-15,-218.99999999999997,-210.49999999999997,1.5835903533333745E-7
0,-214.70649672784182,-210.5,1.93687388734001E-7
1.7763568394002505E-15,-214.70649672784182,-214.70649672784185,1.7215471494956752E-7
8.881784197001252E-16,-218.99999999999994,-214.7064967278418,1.3682636154890403E-7
0,-218.99999999999994,-218.99999999999994,1.1484631503251815E-7
0,-214.7064967278418,-219,1.4862305863172394E-7
8.881784197001252E-16,-214.70649672784182,-223.20649672784185,1.347402730263458E-7
8.881784197001252E-16,-218.99999999999994,-223.20649672784182,1.0096352942714004E-7
-8.881784197001252E-16,-218.99999999999994,-227.5,8.67917067770409E-8
0,-214.70649672784182,-227.5,1.241985914662864E-7
-1.7763568394002505E-15,-223.20649672784185,-206.2064967278418,1.634851508099056E-7
0,-223.20649672784182,-201.99999999999994,1.8606907942388493E-7
-8.881784197001252E-16,-227.5,-206.2064967278418,1.4545858021233238E-7
8.881784197001252E-16,-227.49999999999997,-201.99999999999994,1.6646241011505574E-7
-8.881784197001252E-16,-227.50000000000003,-210.5,1.241026436349295E-7
8.881784197001252E-16,-223.20649672784185,-210.5,1.4140358646663317E-7
0,-223.2064967278418,-214.7064967278418,1.1712163381513954E-7
-1.7763568394002505E-15,-227.5,-214.70649672784182,9.982069098343584E-8
8.881784197001252E-16,-227.5,-218.99999999999994,7.503308999576798E-8
-8.881784197001252E-16,-223.2064967278418,-218.99999999999994,9.514158729875366E-8
-8.881784197001252E-16,-223.2064967278418,-223.20649672784182,6.93661269149299E-8
1.7763568394002505E-15,-227.5,-223.20649672784182,4.925762961194423E-8
-8.881784197001252E-16,-227.49999999999997,-227.49999999999997,2.294578730775864E-8
0,-223.20649672784182,-227.5,5.519430426483074E-8
8.881784197001252E-16,-180.7064967278418,-206.20649672784182,8.620967733281815E-7
8.881784197001252E-16,-180.7064967278418,-201.99999999999994,1.0027316364438327E-6
8.881784197001252E-16,-176.49999999999994,-201.99999999999994,1.1648885236994485E-6
1.7763568394002505E-15,-184.99999999999994,-206.2064967278418,7.209581714902851E-7
