% Model,Supported-Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 01:09"
% Dimension,3
% Nodes,46458
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
8.881784197001252E-16,-206.27387531240285,-206.27387531240282,2.672784790561697E-7
-1.7763568394002505E-15,-206.27387531240285,-201.99999999999997,3.063457186543272E-7
-8.881784197001252E-16,-201.99999999999997,-201.99999999999994,3.6148204620415764E-7
0,-210.50000000000003,-206.27387531240282,2.2588762526267083E-7
0,-210.5,-201.99999999999997,2.621217024896665E-7
-1.7763568394002505E-15,-210.5,-210.49999999999997,1.9692425077394788E-7
0,-206.27387531240285,-210.5,2.3076856087444422E-7
0,-201.99999999999997,-210.5,2.70903522255939E-7
-1.7763568394002505E-15,-202,-206.27387531240282,3.098291734754098E-7
0,-206.27387531240282,-214.77387531240288,2.0632077288400202E-7
0,-210.49999999999997,-214.77387531240282,1.7247646278350563E-7
0,-210.5,-219,1.483017064663049E-7
0,-206.27387531240282,-219,1.7769034657124927E-7
0,-201.99999999999997,-218.99999999999997,2.0930820977416855E-7
0,-201.99999999999997,-214.77387531240282,2.399331988322287E-7
0,-206.27387531240285,-223.27387531240288,1.661392207354401E-7
0,-210.5,-223.2738753124029,1.3675058063049574E-7
1.7763568394002505E-15,-210.49999999999997,-227.50000000000003,1.253283905449837E-7
0,-206.27387531240285,-227.5,1.5441444927780943E-7
8.881784197001252E-16,-201.99999999999994,-227.49999999999997,1.838482865439107E-7
8.881784197001252E-16,-201.99999999999994,-223.27387531240285,1.9650697498227635E-7
0,-214.77387531240288,-206.27387531240282,1.976227901493793E-7
0,-214.77387531240288,-201.99999999999997,2.273112346534815E-7
0,-219,-206.27387531240282,1.6553321322055243E-7
0,-219,-201.99999999999997,1.9288875655156505E-7
0,-219,-210.49999999999994,1.4070968729805729E-7
-1.7763568394002505E-15,-214.77387531240288,-210.49999999999994,1.6865941566065634E-7
8.881784197001252E-16,-214.77387531240285,-214.77387531240282,1.4521235545128434E-7
2.6645352591003757E-15,-218.99999999999994,-214.77387531240282,1.1726262708868527E-7
8.881784197001252E-16,-218.99999999999994,-219,9.407782114783114E-8
2.6645352591003757E-15,-214.77387531240282,-218.99999999999997,1.210375991340836E-7
1.7763568394002505E-15,-214.77387531240282,-223.27387531240288,1.0712752150048881E-7
0,-218.99999999999994,-223.27387531240288,8.016774351423635E-8
0,-218.99999999999997,-227.5,6.641330753934E-8
8.881784197001252E-16,-214.77387531240282,-227.5,9.570533141497677E-8
0,-223.27387531240288,-206.27387531240285,1.5256413550558237E-7
0,-223.27387531240288,-201.99999999999994,1.7898191256801612E-7
0,-227.5,-206.27387531240282,1.399225839934834E-7
0,-227.49999999999997,-201.99999999999994,1.652292705479329E-7
-8.881784197001252E-16,-227.50000000000006,-210.5,1.1491561917622002E-7
0,-223.27387531240288,-210.5,1.277406095830872E-7
1.7763568394002505E-15,-223.27387531240285,-214.77387531240282,1.0127959630838297E-7
1.7763568394002505E-15,-227.5,-214.77387531240288,8.845460590151578E-8
0,-227.5,-218.99999999999997,6.228981390981984E-8
0,-223.27387531240285,-219,7.809479036752886E-8
-8.881784197001252E-16,-223.27387531240282,-223.27387531240288,5.136173360457656E-8
0,-227.5,-223.27387531240285,3.5556757146867556E-8
1.7763568394002505E-15,-227.5,-227.5,9.123017727578689E-9
-8.881784197001252E-16,-223.27387531240285,-227.5,3.760729762968021E-8
-2.6645352591003757E-15,-180.77387531240288,-206.27387531240288,6.938669083431871E-7
-1.7763568394002505E-15,-180.77387531240285,-201.99999999999997,8.12781891656112E-7
-8.881784197001252E-16,-176.49999999999997,-201.99999999999997,9.47881185746915E-7
-8.881784197001252E-16,-184.99999999999994,-206.27387531240285,5.860806745633147E-7
0,-184.99999999999994,-201.99999999999994,7.004823253393619E-7
-8.881784197001252E-16,-185,-210.50000000000003,4.976398487655842E-7
8.881784197001252E-16,-180.77387531240288,-210.50000000000003,5.708190604880845E-7
0,-176.49999999999997,-210.5,6.568771235748319E-7
-1.7763568394002505E-15,-176.49999999999997,-206.27387531240285,7.850137057845407E-7
0,-180.77387531240282,-214.77387531240288,4.997907869039654E-7
0,-185,-214.7738753124029,4.2661157518146503E-7
-1.7763568394002505E-15,-184.99999999999997,-219.00000000000003,3.5637580583900614E-7
0,-180.77387531240282,-219,4.008634688395499E-7
0,-176.49999999999994,-219,4.4973938968482244E-7
0,-176.49999999999994,-214.77387531240288,5.52727468479122E-7
8.881784197001252E-16,-180.77387531240282,-223.27387531240288,3.7128810091145507E-7
0,-184.99999999999994,-223.2738753124029,3.268004379109112E-7
8.881784197001252E-16,-184.99999999999994,-227.50000000000003,2.9755444771724786E-7
8.881784197001252E-16,-180.77387531240282,-227.5,3.28963134419725E-7
8.881784197001252E-16,-176.49999999999994,-227.49999999999997,3.607576741602213E-7
8.881784197001252E-16,-176.49999999999994,-223.27387531240285,4.0499954231913117E-7
-8.881784197001252E-16,-189.27387531240282,-206.27387531240282,5.244046748285207E-7
-8.881784197001252E-16,-189.27387531240282,-201.99999999999994,6.058226029571812E-7
-2.6645352591003757E-15,-193.49999999999994,-206.27387531240282,4.343118428847872E-7
0,-193.49999999999994,-201.99999999999994,5.122201086353027E-7
-1.7763568394002505E-15,-193.5,-210.49999999999994,3.7497622691137194E-7
-8.881784197001252E-16,-189.27387531240288,-210.5,4.3596384903079026E-7
-8.881784197001252E-16,-189.27387531240282,-214.77387531240288,3.887296662449288E-7
-1.7763568394002505E-15,-193.49999999999994,-214.77387531240282,3.2774204412551053E-7
-8.881784197001252E-16,-193.49999999999991,-218.99999999999994,2.8103490807952214E-7
-2.6645352591003757E-15,-189.27387531240282,-219,3.1849389690246986E-7
-2.6645352591003757E-15,-189.27387531240282,-223.27387531240288,2.990280429558297E-7
-8.881784197001252E-16,-193.49999999999994,-223.27387531240285,2.6156905413288194E-7
0,-193.49999999999994,-227.5,2.4232022792319433E-7
8.881784197001252E-16,-189.27387531240282,-227.5,2.6978205276216644E-7
-1.7763568394002505E-15,-197.77387531240285,-206.27387531240282,3.849541595139357E-7
-8.881784197001252E-16,-197.77387531240282,-201.99999999999994,4.4166368887640586E-7
-1.7763568394002505E-15,-197.77387531240288,-210.49999999999994,3.2561854354052056E-7
-1.7763568394002505E-15,-197.77387531240288,-214.77387531240282,2.926313091754593E-7
0,-197.77387531240282,-218.99999999999994,2.459241731294709E-7
-8.881784197001252E-16,-197.77387531240282,-223.27387531240285,2.321784432172009E-7
0,-197.77387531240282,-227.5,2.1292961700751332E-7
0,-206.27387531240282,-180.77387531240282,6.413954927137441E-7
-1.7763568394002505E-15,-206.27387531240285,-176.5,7.202647114057843E-7
-8.881784197001252E-16,-201.99999999999997,-176.5,8.759429502162924E-7
-8.881784197001252E-16,-210.5,-180.77387531240282,5.153172812887612E-7
0,-210.5,-176.49999999999997,5.891401108774664E-7
-8.881784197001252E-16,-210.49999999999997,-184.99999999999997,4.548654613470444E-7
-8.881784197001252E-16,-206.27387531240282,-184.99999999999994,5.477224696914991E-7
0,-201.99999999999997,-184.99999999999994,6.604802527919356E-7
-1.7763568394002505E-15,-202,-180.77387531240285,7.565435872762754E-7
0,-206.27387531240282,-189.27387531240282,4.956466599384762E-7
-8.881784197001252E-16,-210.49999999999997,-189.27387531240282,4.027896515940215E-7
-1.7763568394002505E-15,-210.49999999999997,-193.5,3.512953326642799E-7
-1.7763568394002505E-15,-206.27387531240282,-193.49999999999994,4.157822809723253E-7
0,-201.99999999999997,-193.49999999999994,4.956952365239568E-7
-8.881784197001252E-16,-201.99999999999997,-189.27387531240282,5.776256174481605E-7
-1.7763568394002505E-15,-206.27387531240285,-197.77387531240285,3.7443650295791033E-7
-1.7763568394002505E-15,-210.5,-197.77387531240288,3.0994955464986487E-7
-8.881784197001252E-16,-201.99999999999997,-197.77387531240282,4.343906924567486E-7
-8.881784197001252E-16,-214.77387531240288,-180.77387531240282,4.428814536704845E-7
0,-214.77387531240288,-176.49999999999994,4.857034230255705E-7
8.881784197001252E-16,-219,-180.77387531240282,3.447177335819958E-7
0,-219,-176.49999999999994,3.8342031887280283E-7
-8.881784197001252E-16,-218.99999999999997,-184.99999999999994,3.1080103004045015E-7
-8.881784197001252E-16,-214.77387531240288,-184.99999999999997,3.824296337287676E-7
-1.7763568394002505E-15,-214.77387531240285,-189.27387531240282,3.526583489852067E-7
-1.7763568394002505E-15,-218.99999999999997,-189.27387531240282,2.8102974529688923E-7
-1.7763568394002505E-15,-218.99999999999994,-193.49999999999994,2.515912046015285E-7
-8.881784197001252E-16,-214.77387531240285,-193.49999999999997,3.0116403005546513E-7
-1.7763568394002505E-15,-214.77387531240288,-197.77387531240288,2.7277972657193417E-7
0,-218.99999999999994,-197.77387531240282,2.232069011179975E-7
0,-223.27387531240288,-180.7738753124028,3.1580756907603914E-7
0,-223.27387531240288,-176.49999999999994,3.404993134914478E-7
0,-227.5,-180.77387531240282,2.7553944955493496E-7
0,-227.49999999999997,-176.49999999999997,2.98055006707766E-7
0,-227.50000000000003,-184.99999999999994,2.533013260504058E-7
0,-223.27387531240288,-184.99999999999994,2.818908655344934E-7
0,-223.27387531240285,-189.27387531240282,2.6136019932808237E-7
0,-227.5,-189.27387531240282,2.327706598439947E-7
-8.881784197001252E-16,-227.5,-193.49999999999994,2.1246988274792394E-7
0,-223.27387531240282,-193.49999999999994,2.319216586327216E-7
0,-223.27387531240282,-197.77387531240277,2.0817651517052802E-7
-8.881784197001252E-16,-227.5,-197.7738753124028,1.8872473928573036E-7
-8.881784197001252E-16,-155.27387531240294,-206.27387531240288,1.5861057258920564E-6
-1.7763568394002505E-15,-155.27387531240288,-202,1.9065065449534498E-6
-8.881784197001252E-16,-151,-201.99999999999997,2.179664968108093E-6
-1.7763568394002505E-15,-159.50000000000006,-206.27387531240285,1.3695376649226027E-6
0,-159.5,-201.99999999999994,1.684453521987035E-6
-1.7763568394002505E-15,-159.5000000000001,-210.50000000000003,1.1113845415373732E-6
-1.7763568394002505E-15,-155.27387531240294,-210.50000000000003,1.2467454002020108E-6
-8.881784197001252E-16,-151.00000000000006,-210.50000000000003,1.4093159632335695E-6
-8.881784197001252E-16,-151,-206.27387531240285,1.7607697712577533E-6
-8.881784197001252E-16,-155.27387531240294,-214.7738753124029,1.0349084912999812E-6
-8.881784197001252E-16,-159.5000000000001,-214.7738753124029,8.995476326353433E-7
0,-159.5000000000001,-219,6.900745428438785E-7
0,-155.27387531240294,-219,7.580005214960932E-7
0,-151,-219,8.348778796469119E-7
-8.881784197001252E-16,-151,-214.77387531240288,1.120484329992432E-6
-8.881784197001252E-16,-155.27387531240285,-223.27387531240288,6.549263837942949E-7
-8.881784197001252E-16,-159.50000000000003,-223.2738753124029,5.870004051420802E-7
8.881784197001252E-16,-159.49999999999997,-227.5,4.850750923520263E-7
-8.881784197001252E-16,-155.27387531240288,-227.5,5.130212821049846E-7
0,-151,-227.49999999999997,5.413413003212757E-7
0,-151,-223.27387531240285,6.872888295135178E-7
0,-163.77387531240288,-206.27387531240282,1.2474881395155178E-6
-8.881784197001252E-16,-163.77387531240282,-201.99999999999994,1.4840013409080361E-6
-1.7763568394002505E-15,-168,-206.27387531240285,1.054505312773866E-6
0,-167.99999999999994,-201.99999999999997,1.2857843613473228E-6
-1.7763568394002505E-15,-168.00000000000003,-210.5,8.686471094139606E-7
-8.881784197001252E-16,-163.77387531240294,-210.5,9.89335016130288E-7
0,-163.77387531240294,-214.77387531240288,8.374039115778442E-7
-8.881784197001252E-16,-168,-214.77387531240285,7.167160048615169E-7
0,-168,-218.99999999999997,5.66480644984325E-7
-8.881784197001252E-16,-163.77387531240294,-219,6.279308217863793E-7
0,-163.7738753124029,-223.27387531240288,5.58173903583901E-7
8.881784197001252E-16,-167.99999999999997,-223.27387531240288,4.967237267818469E-7
8.881784197001252E-16,-167.99999999999994,-227.5,4.2774558682113166E-7
-8.881784197001252E-16,-163.77387531240285,-227.5,4.562485907938471E-7
-1.7763568394002505E-15,-172.27387531240282,-206.27387531240285,9.540862419326437E-7
-8.881784197001252E-16,-172.27387531240282,-201.99999999999997,1.126711126990434E-6
-1.7763568394002505E-15,-172.27387531240288,-210.5,7.682280385727383E-7
-1.7763568394002505E-15,-172.27387531240285,-214.77387531240288,6.599720787737298E-7
0,-172.27387531240282,-219,5.09736718896538E-7
-8.881784197001252E-16,-172.27387531240285,-223.27387531240288,4.630579235558514E-7
-8.881784197001252E-16,-172.27387531240282,-227.5,3.9407978359513615E-7
-8.881784197001252E-16,-206.27387531240282,-155.27387531240294,1.3275660550219369E-6
0,-206.27387531240282,-150.99999999999997,1.4612487884181722E-6
-8.881784197001252E-16,-201.99999999999997,-151,1.8111451100634367E-6
-8.881784197001252E-16,-210.5,-155.27387531240294,1.025217297068049E-6
0,-210.5,-150.99999999999997,1.1488529909375643E-6
0,-210.49999999999994,-159.50000000000014,9.233071461366605E-7
0,-206.27387531240282,-159.50000000000006,1.1597129642274844E-6
0,-201.99999999999994,-159.5,1.4292754485078173E-6
-1.7763568394002505E-15,-202,-155.27387531240288,1.5992422418459942E-6
-8.881784197001252E-16,-206.27387531240282,-163.77387531240288,1.0699965466578823E-6
-8.881784197001252E-16,-210.49999999999997,-163.77387531240296,8.335907285670589E-7
0,-210.49999999999997,-168.00000000000006,7.448750702388768E-7
8.881784197001252E-16,-206.27387531240282,-168,9.231914471769647E-7
0,-202,-167.99999999999994,1.130684722875812E-6
8.881784197001252E-16,-201.99999999999997,-163.77387531240282,1.2791407973939612E-6
0,-206.27387531240282,-172.27387531240282,8.512670736426776E-7
-8.881784197001252E-16,-210.5,-172.27387531240288,6.729506967045898E-7
0,-201.99999999999994,-172.27387531240282,1.0137874061268453E-6
8.881784197001252E-16,-214.77387531240288,-155.27387531240288,8.391284865286351E-7
-8.881784197001252E-16,-214.77387531240288,-150.99999999999997,9.038495604290086E-7
0,-219,-155.27387531240285,6.035188632001536E-7
-8.881784197001252E-16,-219,-150.99999999999997,6.615732344719981E-7
8.881784197001252E-16,-218.99999999999997,-159.50000000000003,5.532049813396059E-7
8.881784197001252E-16,-214.77387531240285,-159.50000000000009,7.372183355972466E-7
0,-214.77387531240282,-163.77387531240294,6.93224812118721E-7
0,-218.99999999999994,-163.77387531240288,5.092114578610802E-7
8.881784197001252E-16,-218.99999999999994,-167.99999999999997,4.657084941666777E-7
8.881784197001252E-16,-214.77387531240282,-168,6.045091537905388E-7
-8.881784197001252E-16,-214.77387531240285,-172.27387531240285,5.653476776447585E-7
-8.881784197001252E-16,-218.99999999999997,-172.27387531240282,4.2654701802089736E-7
-1.7763568394002505E-15,-223.27387531240288,-155.27387531240282,5.186199982766756E-7
-1.7763568394002505E-15,-223.27387531240288,-150.99999999999997,5.456992456667464E-7
-8.881784197001252E-16,-227.5,-155.2738753124028,4.0758147075036027E-7
-8.881784197001252E-16,-227.5,-150.99999999999994,4.311146456664057E-7
0,-227.50000000000006,-159.49999999999991,3.843492595915257E-7
0,-223.27387531240288,-159.49999999999997,4.6830611641612784E-7
-8.881784197001252E-16,-223.27387531240282,-163.77387531240282,4.4812458403061714E-7
-8.881784197001252E-16,-227.5,-163.77387531240277,3.641677272060151E-7
0,-227.5,-167.9999999999999,3.442114068335727E-7
0,-223.27387531240282,-167.99999999999994,4.0462162033621457E-7
-8.881784197001252E-16,-223.27387531240285,-172.27387531240285,3.814255947448812E-7
-8.881784197001252E-16,-227.5,-172.27387531240282,3.210153812422394E-7
0,-129.7738753124029,-206.27387531240288,2.9194485866875826E-6
-2.6645352591003757E-15,-129.77387531240285,-202,3.5857784564356572E-6
-1.7763568394002505E-15,-125.49999999999997,-201.99999999999997,3.9450346949729675E-6
-8.881784197001252E-16,-134.00000000000006,-206.27387531240285,2.610705337098712E-6
-8.881784197001252E-16,-134,-201.99999999999994,3.276714130080964E-6
-8.881784197001252E-16,-134.0000000000001,-210.50000000000003,2.035231285822393E-6
-8.881784197001252E-16,-129.77387531240294,-210.50000000000003,2.20951605843058E-6
0,-125.50000000000001,-210.5,2.401651433494668E-6
8.881784197001252E-16,-125.5,-206.27387531240282,3.127344761148393E-6
-8.881784197001252E-16,-129.77387531240294,-214.77387531240288,1.7465303565693977E-6
-8.881784197001252E-16,-134.0000000000001,-214.7738753124029,1.5722455839612111E-6
-1.7763568394002505E-15,-134.0000000000001,-219.00000000000003,1.1144191548765886E-6
8.881784197001252E-16,-129.77387531240294,-219,1.1850218747860095E-6
8.881784197001252E-16,-125.5,-219,1.2537623305465481E-6
-8.881784197001252E-16,-125.5,-214.77387531240288,1.8244581244543E-6
0,-129.7738753124029,-223.2738753124029,9.100675830031662E-7
-8.881784197001252E-16,-134.00000000000006,-223.27387531240288,8.39464863093745E-7
