% Model,Embedded-External.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 01:01"
% Dimension,3
% Nodes,47191
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
-8.881784197001252E-16,-212.50000000000006,-212.5,1.0478086908200536E-6
8.881784197001252E-16,-212.5,-208,1.1823567951781407E-6
1.7763568394002505E-15,-207.99999999999997,-208,1.3977068373293204E-6
0,-217.00000000000006,-212.5,8.678725455872389E-7
-1.7763568394002505E-15,-217.00000000000003,-208,9.897525043669494E-7
0,-217.00000000000006,-216.99999999999997,7.773511451349409E-7
0,-212.50000000000006,-217,9.254852986548296E-7
-1.7763568394002505E-15,-208,-217.00000000000003,1.0877286059832404E-6
8.881784197001252E-16,-207.99999999999997,-212.5,1.2148238931142397E-6
-8.881784197001252E-16,-212.49999999999997,-221.50000000000003,8.490577065987965E-7
0,-217,-221.5,7.009235530789078E-7
8.881784197001252E-16,-217,-226,6.244957900971319E-7
-8.881784197001252E-16,-212.49999999999994,-226,7.544868127440214E-7
0,-208,-226.00000000000003,8.895931701911558E-7
0,-208,-221.50000000000006,9.886607440079073E-7
0,-212.5,-230.5,7.192294512923763E-7
0,-217.00000000000006,-230.5,5.892384286454868E-7
0,-217.00000000000006,-235,5.539810363105555E-7
8.881784197001252E-16,-212.5,-235,6.851496861918041E-7
1.7763568394002505E-15,-207.99999999999997,-235,8.166941684169475E-7
-8.881784197001252E-16,-208,-230.50000000000003,8.531438824559791E-7
0,-221.50000000000006,-212.5,7.452265878923656E-7
0,-221.50000000000006,-208,8.374384422623421E-7
0,-226,-212.5,6.032924548473791E-7
0,-226.00000000000003,-208,6.851237995921166E-7
-8.881784197001252E-16,-226.00000000000006,-217.00000000000006,5.320591124371112E-7
-8.881784197001252E-16,-221.50000000000006,-217.00000000000003,6.547051874400675E-7
8.881784197001252E-16,-221.5,-221.49999999999997,5.840794506476953E-7
8.881784197001252E-16,-226,-221.5,4.614333756447389E-7
0,-226,-226,3.9080756941411696E-7
0,-221.5,-225.99999999999994,5.076516876659193E-7
-8.881784197001252E-16,-221.50000000000006,-230.5,4.621218930759578E-7
8.881784197001252E-16,-226,-230.5,3.452777748241554E-7
8.881784197001252E-16,-226,-235,2.9974799878210227E-7
-8.881784197001252E-16,-221.50000000000006,-235.00000000000003,4.268645007410264E-7
0,-230.5,-212.5,5.425145628791275E-7
-8.881784197001252E-16,-230.50000000000003,-208,6.174680422792082E-7
8.881784197001252E-16,-235,-212.5,4.800218666344959E-7
1.7763568394002505E-15,-235,-207.99999999999997,5.49811613915561E-7
0,-235,-217.00000000000006,4.1050292289615947E-7
8.881784197001252E-16,-230.50000000000006,-217.00000000000006,4.7128122046885963E-7
0,-230.50000000000006,-221.50000000000003,3.904749229346546E-7
0,-235.00000000000003,-221.50000000000006,3.296966253619545E-7
1.7763568394002505E-15,-235,-226,2.4889053622332165E-7
1.7763568394002505E-15,-230.5,-226,3.1984911670403263E-7
8.881784197001252E-16,-230.5,-230.5,2.344049516313886E-7
8.881784197001252E-16,-235,-230.50000000000003,1.6344637115067765E-7
1.7763568394002505E-15,-235,-235,7.800241369230417E-8
8.881784197001252E-16,-230.50000000000003,-235,1.888751755893355E-7
0,-212.50000000000006,-185.5,2.2271348831523014E-6
8.881784197001252E-16,-212.5,-181,2.4879629798950625E-6
8.881784197001252E-16,-208,-180.99999999999997,3.034204055150299E-6
-8.881784197001252E-16,-217.00000000000006,-185.50000000000003,1.7272829799364713E-6
1.7763568394002505E-15,-217,-181.00000000000003,1.9647290228879112E-6
-8.881784197001252E-16,-217.00000000000006,-190,1.5468820368137778E-6
-8.881784197001252E-16,-212.50000000000003,-189.99999999999997,1.9207282720248805E-6
0,-207.99999999999997,-189.99999999999997,2.3235888816024923E-6
8.881784197001252E-16,-208,-185.5,2.6273831809533483E-6
8.881784197001252E-16,-212.5,-194.49999999999997,1.771879250746482E-6
8.881784197001252E-16,-217,-194.5,1.398033015535379E-6
1.7763568394002505E-15,-217,-198.99999999999997,1.249183533230707E-6
0,-212.49999999999994,-198.99999999999997,1.5172411108563443E-6
8.881784197001252E-16,-207.99999999999997,-199,1.8133119532938587E-6
-8.881784197001252E-16,-208,-194.5,2.068448189859007E-6
