% Model,Supported-External.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 01:04"
% Dimension,3
% Nodes,46620
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
-8.881784197001252E-16,-208.80300391122609,-208.80300391122603,3.2501506642765505E-7
-8.881784197001252E-16,-208.80300391122606,-204.49999999999994,3.67958928604546E-7
0,-204.5,-204.49999999999994,4.329132897060722E-7
0,-213.20833333333334,-208.80300391122603,2.696186520500846E-7
0,-213.20833333333331,-204.49999999999994,3.0836451110871943E-7
8.881784197001252E-16,-213.20833333333337,-213.20833333333331,2.4029527560847714E-7
0,-208.8030039112261,-213.20833333333326,2.8572767199142726E-7
0,-204.50000000000003,-213.20833333333326,3.3431677274579815E-7
-8.881784197001252E-16,-204.5,-208.803003911226,3.7502723559066113E-7
0,-208.8030039112261,-217.51133724455934,2.6156640488154966E-7
8.881784197001252E-16,-213.20833333333337,-217.5113372445594,2.161340084985996E-7
8.881784197001252E-16,-213.20833333333337,-221.91666666666669,1.9139718442157966E-7
-8.881784197001252E-16,-208.80300391122609,-221.91666666666663,2.3139131216789244E-7
8.881784197001252E-16,-204.5,-221.91666666666663,2.7199046849334306E-7
0,-204.5,-217.51133724455934,3.035196704155187E-7
-8.881784197001252E-16,-208.80300391122603,-226.2196705778927,2.2058532716239706E-7
8.881784197001252E-16,-213.20833333333331,-226.2196705778927,1.8059119941608425E-7
8.881784197001252E-16,-213.20833333333326,-230.62500000000003,1.6952700915297408E-7
-8.881784197001252E-16,-208.803003911226,-230.625,2.104086553864429E-7
0,-204.49999999999994,-230.625,2.504522858808304E-7
0,-204.49999999999997,-226.2196705778927,2.613480623335832E-7
8.881784197001252E-16,-217.5113372445594,-208.80300391122603,2.3312280430753E-7
0,-217.5113372445594,-204.49999999999994,2.6253647878009067E-7
0,-221.91666666666669,-208.803003911226,1.896168401304749E-7
8.881784197001252E-16,-221.91666666666669,-204.49999999999994,2.1562459941165177E-7
-1.7763568394002505E-15,-221.91666666666669,-213.20833333333326,1.664402589727009E-7
