% Model,Supported-Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 01:09"
% Dimension,3
% Nodes,46232
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-209.74444057054586,-209.7444405705459,2.7557457777986843E-7
-8.881784197001252E-16,-209.74444057054592,-205.00000000000003,3.190698993807744E-7
0,-205,-205,3.8075612909786075E-7
0,-213.75,-209.74444057054586,2.3549614952908978E-7
8.881784197001252E-16,-213.75000000000006,-205,2.7622192500842953E-7
-8.881784197001252E-16,-213.75,-213.75000000000003,2.0732291673751929E-7
8.881784197001252E-16,-209.74444057054586,-213.75000000000003,2.400566923177236E-7
0,-205,-213.75000000000006,2.8504049613402196E-7
0,-205,-209.74444057054592,3.2289513673474364E-7
-8.881784197001252E-16,-209.7444405705459,-218.4944405705459,2.1215959839994896E-7
1.7763568394002505E-15,-213.75,-218.49444057054586,1.7942582281974467E-7
0,-213.75,-222.5,1.558713896959485E-7
8.881784197001252E-16,-209.74444057054592,-222.5,1.8426494291661159E-7
-8.881784197001252E-16,-205.00000000000003,-222.5,2.1989333207764858E-7
0,-205.00000000000003,-218.4944405705459,2.497204392370434E-7
0,-209.74444057054592,-227.2444405705459,1.710520106617279E-7
8.881784197001252E-16,-213.75000000000006,-227.24444057054592,1.4265845744106482E-7
-8.881784197001252E-16,-213.75000000000006,-231.25,1.3150245392329655E-7
-8.881784197001252E-16,-209.74444057054598,-231.25,1.5960526719270097E-7
0,-205.00000000000006,-231.24999999999997,1.929125022611301E-7
0,-205.00000000000006,-227.24444057054586,2.0526642837071397E-7
-8.881784197001252E-16,-218.49444057054586,-209.74444057054583,2.034694059339967E-7
8.881784197001252E-16,-218.49444057054586,-205,2.3667961440909243E-7
0,-222.49999999999994,-209.7444405705458,1.72344943900742E-7
0,-222.5,-205,2.0327751305458146E-7
8.881784197001252E-16,-222.49999999999997,-213.74999999999997,1.4824580267729928E-7
-8.881784197001252E-16,-218.49444057054583,-213.75,1.7529617314242613E-7
0,-218.49444057054586,-218.49444057054586,1.485866694448229E-7
0,-222.5,-218.49444057054586,1.2153629897969607E-7
8.881784197001252E-16,-222.49999999999994,-222.49999999999997,9.899050522595442E-8
8.881784197001252E-16,-218.49444057054586,-222.5,1.2503223632102672E-7
0,-218.49444057054586,-227.24444057054586,1.0913432442571843E-7
0,-222.49999999999994,-227.24444057054586,8.309259333064619E-8
8.881784197001252E-16,-222.5,-231.24999999999997,6.967389288383485E-8
8.881784197001252E-16,-218.49444057054592,-231.25,9.797832090795013E-8
8.881784197001252E-16,-227.24444057054586,-209.7444405705459,1.575803126116078E-7
0,-227.24444057054583,-205,1.8734508595624348E-7
0,-231.25,-209.7444405705459,1.4519277440813197E-7
-8.881784197001252E-16,-231.25,-205,1.7387449989858493E-7
-8.881784197001252E-16,-231.25,-213.75000000000006,1.2100255021846885E-7
-8.881784197001252E-16,-227.24444057054586,-213.75000000000006,1.3348117138816506E-7
8.881784197001252E-16,-227.24444057054583,-218.49444057054586,1.034562524725374E-7
8.881784197001252E-16,-231.24999999999997,-218.49444057054586,9.09776313028412E-8
0,-231.24999999999997,-222.5,6.563777853203079E-8
0,-227.2444405705458,-222.5,8.091045871879571E-8
-8.881784197001252E-16,-227.2444405705458,-227.24444057054586,5.051708847274147E-8
-8.881784197001252E-16,-231.24999999999997,-227.24444057054586,3.5244408285976566E-8
0,-231.25,-231.25,9.593409401074546E-9
8.881784197001252E-16,-227.24444057054586,-231.24999999999997,3.709838802593011E-8
8.881784197001252E-16,-183.49444057054586,-209.7444405705459,7.145954306387736E-7
0,-183.49444057054583,-205,8.473605485372772E-7
8.881784197001252E-16,-178.75,-205,9.987883927258932E-7
8.881784197001252E-16,-187.49999999999994,-209.7444405705459,6.101247060157187E-7
0,-187.49999999999994,-205,7.38502448851686E-7
0,-187.49999999999994,-213.75000000000006,5.240406347634862E-7
8.881784197001252E-16,-183.49444057054586,-213.75000000000006,5.948988822907203E-7
0,-178.75000000000003,-213.75000000000006,6.913939480486774E-7
8.881784197001252E-16,-178.75,-209.7444405705459,8.160007840044988E-7
-8.881784197001252E-16,-183.49444057054586,-218.4944405705459,5.138452573425313E-7
0,-187.49999999999994,-218.49444057054586,4.429870098152973E-7
0,-187.49999999999997,-222.50000000000006,3.7453869633787636E-7
0,-183.49444057054586,-222.5,4.1750907655396973E-7
0,-178.75,-222.5,4.724466356487423E-7
8.881784197001252E-16,-178.75,-218.49444057054586,5.726886213300437E-7
8.881784197001252E-16,-183.49444057054586,-227.2444405705459,3.8365594056292663E-7
0,-187.49999999999994,-227.24444057054592,3.4068556034683326E-7
8.881784197001252E-16,-187.5,-231.25,3.120923290421512E-7
8.881784197001252E-16,-183.49444057054586,-231.25,3.423150440743748E-7
0,-178.75000000000003,-231.25,3.781420363082288E-7
-8.881784197001252E-16,-178.75,-227.24444057054586,4.2132133110010466E-7
8.881784197001252E-16,-192.2444405705458,-209.74444057054583,5.400440758223856E-7
8.881784197001252E-16,-192.2444405705458,-205,6.308455228129924E-7
8.881784197001252E-16,-196.24999999999994,-209.7444405705458,4.5255711104717113E-7
0,-196.24999999999994,-205,5.399396196096748E-7
-8.881784197001252E-16,-196.24999999999997,-213.74999999999997,3.9478430946429397E-7
0,-192.2444405705458,-213.75,4.5396000457015295E-7
0,-192.2444405705458,-218.49444057054586,4.000332027041666E-7
