% Model,Supported-Internal-p-mod.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 19 2022, 23:32"
% Table,"Table: Table 5 - Global Evaluation: Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),"theta_i=0.2618, Q_sca (1)","theta_i=0.2618, Q_abs (1)","theta_i=0.2618, Q_ext (1)","theta_i=0.66323, Q_sca (1)","theta_i=0.66323, Q_abs (1)","theta_i=0.66323, Q_ext (1)","theta_i=0.73304, Q_sca (1)","theta_i=0.73304, Q_abs (1)","theta_i=0.73304, Q_ext (1)","theta_i=1.309, Q_sca (1)","theta_i=1.309, Q_abs (1)","theta_i=1.309, Q_ext (1)"
400,0.007673215942738817,0.4868247611063616,0.4944979770491004,0.02322522700160615,1.0505252803651937,1.0737505073667999,0.07103794773798308,3.055638399785649,3.1266763475236323,0.0035738050887896525,0.17792134146322164,0.1814951465520113
410,0.007032896513466733,0.47425222819728025,0.48128512471074697,0.02126206204283043,1.0231556489166294,1.0444177109594597,0.06507281102346037,2.978544755616893,3.043617566640353,0.0033203606889355645,0.17489021410424274,0.1782105747931783
419.99999999999994,0.006412588352160069,0.46249894480312587,0.46891153315528594,0.01936057227056024,0.9977502395952251,1.0171108118657854,0.0592666446904272,2.9056849374883185,2.9649515821787458,0.003052471193509332,0.17196754911780468,0.175020020311314
429.99999999999994,0.00580421571671365,0.45267313435082773,0.45847735006754137,0.017542714144828452,0.9761959059014227,0.9937386200462511,0.053768709057894874,2.8448091386927348,2.8985778477506297,0.0027574751382413395,0.1696721813662681,0.17242965650450945
439.99999999999994,0.005370320959998354,0.4510775017309508,0.45644782269094913,0.016177273358914807,0.971596412727503,0.9877736860864178,0.04962166154145435,2.8334490505292793,2.8830707120707335,0.002593224192073809,0.17032701503124345,0.17292023922331726
450,0.005027706478205799,0.4549427346446331,0.45997044112283886,0.015135638637509363,0.9802832577892335,0.9954188964267429,0.04641704350883535,2.8602342756427515,2.9066513191515866,0.0024413277115215505,0.173188540341255,0.17562986805277656
460,0.004631082239713549,0.4571896025182943,0.46182068475800786,0.013942167930459253,0.983276630555828,0.9972187984862873,0.04274006055036989,2.8694890738338423,2.912229134384212,0.0022818759533302247,0.17504997496580033,0.17733185091913056
470,0.00427489583424645,0.4625568033945964,0.4668316992288429,0.012859472520717587,0.9941166532663605,1.006976125787078,0.03946892244648822,2.9026420205791874,2.9421109430256758,0.002101822693062146,0.1782996046718235,0.18040142736488562
480,0.004094073980259451,0.4804375780713222,0.48453165205158166,0.012280025605136777,1.0316428602150522,1.043922885820189,0.037736786415287556,3.013539247208504,3.051276033623792,0.002039146887543215,0.18637512083189484,0.18841426771943806
490,0.004176500159364237,0.516785862992156,0.5209623631515202,0.012530693240093017,1.1113300295560848,1.1238607227961779,0.03849833757196643,3.249114874810674,3.2876132123826407,0.0020894127630685187,0.2021837294752271,0.2042731422382956
500,0.004681112593949969,0.5695168065146665,0.5741979191086165,0.014135345076041106,1.2337851104666315,1.2479204555426726,0.04344089255865445,3.6141404323009536,3.657581324859608,0.002359598895425963,0.2258380824909276,0.22819768138635357
502.5,0.004881261625445729,0.582627531496753,0.5875087931221987,0.014746108142501425,1.2666135697441985,1.2813596778866998,0.04539374540804919,3.7140722689800807,3.75946601438813,0.0025025626163334177,0.2321858835533686,0.23468844616970203
505,0.00505207389833731,0.5946285113154005,0.5996805852137378,0.01555966252453704,1.2987025151407579,1.314262177665295,0.04813133539265938,3.8114019485436867,3.8595332839363463,0.002637664175803327,0.23829852951731614,0.24093619369311947
507.49999999999994,0.005351952086316692,0.6037159348810532,0.6090678869673699,0.016344340655660868,1.322396524923105,1.338740865578766,0.05033983021637992,3.883915737898808,3.9342555681151876,0.0027543521416134643,0.2429842873345274,0.24573863947614086
509.99999999999994,0.005587394105185857,0.6090388277758074,0.6146262218809933,0.017173329748202005,1.3444148252570751,1.361588155005277,0.053049843665963055,3.9546159653895074,4.007665809055471,0.0028620312133817586,0.2471429028715071,0.25000493408488883
512.5,0.005868348364724046,0.6095606773597968,0.6154290257245209,0.01810242260526498,1.3542152355879469,1.372317658193212,0.05592750536622515,3.988417185384513,4.044344690750738,0.003037799062447391,0.24911103998409106,0.25214883904653845
515,0.006103792756355982,0.6039026594593917,0.6100064522157477,0.019002509819851125,1.3514969073406444,1.3704994171604956,0.05876038171177716,3.986288649689356,4.045049031401133,0.0032201343599527208,0.24871446577035264,0.2519346001303054
517.5,0.006244475270462431,0.5919302199510016,0.598174695221464,0.019629636149608838,1.3333910846609593,1.3530207208105682,0.060967787573508445,3.9404147883425225,4.001382575916031,0.003344512498101847,0.2456743657671479,0.24901887826524977
519.9999999999999,0.006510339028549045,0.5749647704642533,0.5814751094928023,0.020513643328135593,1.3054056696523577,1.3259193129804934,0.06345400686400725,3.861780822797189,3.9252348296611963,0.0034665851039909204,0.2404490208878866,0.24391560599187753
522.5,0.006472481460388824,0.5522819312647583,0.5587544127251471,0.02055154083961927,1.2623546877933716,1.2829062286329909,0.06401353047431378,3.740779491453486,3.8047930219278,0.0035008866552589573,0.23267794828545038,0.23617883494070935
525,0.006639424135085943,0.5270699343169403,0.5337093584520262,0.021106850748762535,1.2114023778452945,1.232509228594057,0.06541112936002219,3.592142664996947,3.657553794356969,0.003629566803933666,0.22329888521092026,0.22692845201485393
527.5,0.006585528751364302,0.49909628430263203,0.5056818130539963,0.02116719950535391,1.1532459959356498,1.1744131954410038,0.06561875824142853,3.423823369969771,3.4894421282111994,0.0036029610511454776,0.21271430585068332,0.2163172669018288
530,0.006530472690572126,0.4701226833312298,0.4766531560218019,0.020935343254778364,1.090163077884516,1.1110984211392942,0.0648887531251378,3.238832813988142,3.30372156711328,0.0035940525044002836,0.2011884113456762,0.20478246385007648
