% Model,Supported-Internal-p-mod.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 19 2022, 23:33"
% Dimension,3
% Nodes,45860
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-207.29870226949916,-207.29870226949913,6.06473849269915E-7
1.7763568394002505E-15,-207.29870226949916,-203,7.009996974246742E-7
0,-203,-203,8.165725575052782E-7
8.881784197001252E-16,-211.58333333333337,-207.2987022694992,5.250351085926368E-7
0,-211.58333333333337,-203.00000000000003,6.166168290885343E-7
-8.881784197001252E-16,-211.58333333333337,-211.58333333333337,4.426876515809455E-7
-8.881784197001252E-16,-207.2987022694992,-211.58333333333337,5.044094458743551E-7
0,-203.00000000000006,-211.58333333333337,5.834181056324597E-7
8.881784197001252E-16,-203.00000000000003,-207.29870226949913,6.926075998361491E-7
-8.881784197001252E-16,-207.2987022694992,-215.8820356028325,4.345064942698758E-7
-8.881784197001252E-16,-211.58333333333337,-215.8820356028325,3.727846999764662E-7
8.881784197001252E-16,-211.58333333333337,-220.16666666666669,3.046257300492347E-7
0,-207.29870226949913,-220.16666666666669,3.5362802206609906E-7
8.881784197001252E-16,-203,-220.16666666666666,4.0808624875658353E-7
-8.881784197001252E-16,-203.00000000000003,-215.8820356028325,4.946642567280052E-7
1.7763568394002505E-15,-207.29870226949913,-224.4653689361658,3.15507522043147E-7
1.7763568394002505E-15,-211.58333333333334,-224.4653689361658,2.665052300262826E-7
1.7763568394002505E-15,-211.58333333333331,-228.75,2.3091832678906894E-7
8.881784197001252E-16,-207.29870226949913,-228.75,2.7625558754277627E-7
8.881784197001252E-16,-202.99999999999997,-228.74999999999997,3.2058471683649065E-7
1.7763568394002505E-15,-203,-224.46536893616576,3.6253454404644416E-7
0,-215.8820356028325,-207.2987022694992,4.723297085667419E-7
0,-215.88203560283247,-203,5.495323878173433E-7
8.881784197001252E-16,-220.16666666666669,-207.29870226949916,4.0740210590831167E-7
1.7763568394002505E-15,-220.16666666666666,-202.99999999999997,4.819917321555217E-7
-8.881784197001252E-16,-220.1666666666667,-211.5833333333334,3.370615109884246E-7
0,-215.8820356028325,-211.5833333333334,3.899822515550506E-7
8.881784197001252E-16,-215.88203560283247,-215.8820356028325,3.2546315986666725E-7
0,-220.16666666666669,-215.8820356028325,2.7254241930004127E-7
-8.881784197001252E-16,-220.16666666666669,-220.16666666666674,2.097375335687559E-7
0,-215.8820356028325,-220.1666666666667,2.5730418993943583E-7
-8.881784197001252E-16,-215.88203560283245,-224.46536893616576,2.175352324854551E-7
-8.881784197001252E-16,-220.16666666666669,-224.46536893616582,1.6996857611477522E-7
-8.881784197001252E-16,-220.16666666666663,-228.74999999999997,1.3202537642248405E-7
0,-215.88203560283242,-228.75,1.8194832924824147E-7
8.881784197001252E-16,-224.4653689361658,-207.29870226949913,3.825463414743393E-7
0,-224.46536893616576,-203,4.552903250913688E-7
1.7763568394002505E-15,-228.75,-207.29870226949913,3.545258404680514E-7
8.881784197001252E-16,-228.75,-203,4.2602614188173704E-7
0,-228.75000000000006,-211.58333333333334,2.856692643360628E-7
0,-224.46536893616582,-211.58333333333337,3.1220574655445224E-7
0,-224.46536893616576,-215.88203560283247,2.43273681566929E-7
0,-228.75,-215.88203560283245,2.167371993485395E-7
-8.881784197001252E-16,-228.75,-220.16666666666666,1.5026182997169022E-7
-8.881784197001252E-16,-224.4653689361658,-220.16666666666669,1.8046879583564363E-7
0,-224.46536893616576,-224.46536893616576,1.2059414927850394E-7
0,-228.74999999999994,-224.46536893616573,9.038718341455051E-8
0,-228.74999999999994,-228.74999999999994,3.2358567937763765E-8
8.881784197001252E-16,-224.46536893616573,-228.74999999999994,8.265094958621283E-8
8.881784197001252E-16,-181.54870226949916,-207.29870226949913,1.3489565210377153E-6
0,-181.54870226949913,-203,1.5853294712097918E-6
0,-177.25,-203,1.8389485729963266E-6
1.7763568394002505E-15,-185.83333333333337,-207.2987022694992,1.1560493068654171E-6
8.881784197001252E-16,-185.83333333333337,-203.00000000000003,1.392312835179064E-6
0,-185.83333333333343,-211.58333333333337,9.42261605592863E-7
0,-181.5487022694992,-211.58333333333337,1.0596614050559292E-6
1.7763568394002505E-15,-177.25,-211.58333333333337,1.2112086023510452E-6
8.881784197001252E-16,-177.25,-207.29870226949913,1.5137248456561308E-6
8.881784197001252E-16,-181.5487022694992,-215.8820356028325,8.912910152027158E-7
8.881784197001252E-16,-185.83333333333343,-215.88203560283253,7.738912157396496E-7
8.881784197001252E-16,-185.8333333333334,-220.16666666666669,6.084602139443286E-7
-8.881784197001252E-16,-181.54870226949916,-220.16666666666669,6.662019107091635E-7
