% Model,Supported-Internal-p-mod.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 19 2022, 23:33"
% Dimension,3
% Nodes,47293
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
-8.881784197001252E-16,-212.50000000000006,-212.5,5.867637870303762E-7
8.881784197001252E-16,-212.5,-208,6.784260446745958E-7
1.7763568394002505E-15,-207.99999999999997,-208,7.898465953209416E-7
0,-217.00000000000006,-212.5,5.08190289068669E-7
-1.7763568394002505E-15,-217.00000000000003,-208,5.969456640996507E-7
0,-217.00000000000006,-216.99999999999997,4.2820014133927573E-7
0,-212.50000000000006,-217,4.877054209540723E-7
-1.7763568394002505E-15,-208,-217.00000000000003,5.637173690849889E-7
8.881784197001252E-16,-207.99999999999997,-212.5,6.697283165787862E-7
-8.881784197001252E-16,-212.49999999999997,-221.50000000000003,4.1989561533446263E-7
0,-217,-221.5,3.6039033571966604E-7
8.881784197001252E-16,-217,-226,2.9396502214466055E-7
-8.881784197001252E-16,-212.49999999999994,-226,3.410917188802164E-7
0,-208,-226.00000000000003,3.933154606752495E-7
0,-208,-221.50000000000006,4.776714992607814E-7
0,-212.5,-230.5,3.040073817211039E-7
0,-217.00000000000006,-230.5,2.56880684985548E-7
0,-217.00000000000006,-235,2.220207680809485E-7
8.881784197001252E-16,-212.5,-235,2.655207506834308E-7
1.7763568394002505E-15,-207.99999999999997,-235,3.079267877156394E-7
-8.881784197001252E-16,-208,-230.50000000000003,3.490441845315986E-7
0,-221.50000000000006,-212.5,4.575859498219675E-7
0,-221.50000000000006,-208,5.324050696658787E-7
0,-226,-212.5,3.9488418719400373E-7
0,-226.00000000000003,-208,4.671226190632506E-7
-8.881784197001252E-16,-226.00000000000006,-217.00000000000006,3.2653387033901383E-7
-8.881784197001252E-16,-221.50000000000006,-217.00000000000003,3.775958020925742E-7
8.881784197001252E-16,-221.5,-221.49999999999997,3.1502347440099575E-7
8.881784197001252E-16,-226,-221.5,2.6396154264743543E-7
0,-226,-226,2.027949358064845E-7
0,-221.5,-225.99999999999994,2.4859816082599025E-7
-8.881784197001252E-16,-221.50000000000006,-230.5,2.0992138033418467E-7
8.881784197001252E-16,-226,-230.5,1.6411815531467887E-7
8.881784197001252E-16,-226,-235,1.2703677214862347E-7
-8.881784197001252E-16,-221.50000000000006,-235.00000000000003,1.750614634295852E-7
0,-230.5,-212.5,3.7114013184801595E-7
-8.881784197001252E-16,-230.50000000000003,-208,4.415766463604854E-7
8.881784197001252E-16,-235,-212.5,3.4426726689292263E-7
1.7763568394002505E-15,-235,-207.99999999999997,4.134752218900447E-7
0,-235,-217.00000000000006,2.7731358201653674E-7
8.881784197001252E-16,-230.50000000000006,-217.00000000000006,3.0278981499302605E-7
0,-230.50000000000006,-221.50000000000003,2.3599914333725216E-7
0,-235.00000000000003,-221.50000000000006,2.105229103607629E-7
1.7763568394002505E-15,-235,-226,1.4582973415458353E-7
1.7763568394002505E-15,-230.5,-226,1.7483253649630125E-7
8.881784197001252E-16,-230.5,-230.5,1.1665881654869989E-7
8.881784197001252E-16,-235,-230.50000000000003,8.765601420698219E-8
1.7763568394002505E-15,-235,-235,3.107424551378641E-8
8.881784197001252E-16,-230.50000000000003,-235,7.957743338264451E-8
