% Model,Supported-Internal-s.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 00:58"
% Dimension,3
% Nodes,46425
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-209.74444057054586,-209.7444405705459,3.465003877183266E-7
-8.881784197001252E-16,-209.74444057054592,-205.00000000000003,4.011552147445257E-7
0,-205,-205,4.787386798991272E-7
0,-213.75,-209.74444057054586,2.960695891965412E-7
8.881784197001252E-16,-213.75000000000006,-205,3.4723747944568967E-7
-8.881784197001252E-16,-213.75,-213.75000000000003,2.6068432966109027E-7
8.881784197001252E-16,-209.74444057054586,-213.75000000000003,3.018799088480208E-7
0,-205,-213.75000000000006,3.5847254990401766E-7
0,-205,-209.74444057054592,4.0602342288171053E-7
-8.881784197001252E-16,-209.7444405705459,-218.4944405705459,2.668434007948349E-7
1.7763568394002505E-15,-213.75,-218.49444057054586,2.2564782160790448E-7
0,-213.75,-222.5,1.9605813525072885E-7
8.881784197001252E-16,-209.74444057054592,-222.5,2.3179529279891525E-7
-8.881784197001252E-16,-205.00000000000003,-222.5,2.7663716753301445E-7
0,-205.00000000000003,-218.4944405705459,3.141091038789727E-7
0,-209.74444057054592,-227.2444405705459,2.1520838093446266E-7
8.881784197001252E-16,-213.75000000000006,-227.24444057054592,1.7947122338627635E-7
-8.881784197001252E-16,-213.75000000000006,-231.25,1.6545514021240661E-7
-8.881784197001252E-16,-209.74444057054598,-231.25,2.0082587258963114E-7
0,-205.00000000000006,-231.24999999999997,2.427579766683599E-7
0,-205.00000000000006,-227.24444057054586,2.5827830615120565E-7
-8.881784197001252E-16,-218.49444057054586,-209.74444057054583,2.557542666730913E-7
8.881784197001252E-16,-218.49444057054586,-205,2.974641265370763E-7
0,-222.49999999999994,-209.7444405705458,2.1659041738561497E-7
0,-222.5,-205,2.5543267008973716E-7
8.881784197001252E-16,-222.49999999999997,-213.74999999999997,1.8632798822323178E-7
-8.881784197001252E-16,-218.49444057054583,-213.75,2.2036900713764032E-7
0,-218.49444057054586,-218.49444057054586,1.8682954823304956E-7
0,-222.5,-218.49444057054586,1.5278852931864113E-7
8.881784197001252E-16,-222.49999999999994,-222.49999999999997,1.244684352802343E-7
8.881784197001252E-16,-218.49444057054586,-222.5,1.5723986187587394E-7
0,-218.49444057054586,-227.24444057054586,1.3727819539598927E-7
0,-222.49999999999994,-227.24444057054586,1.0450676880034968E-7
8.881784197001252E-16,-222.5,-231.24999999999997,8.764793343622434E-8
8.881784197001252E-16,-218.49444057054592,-231.25,1.2326211222211948E-7
8.881784197001252E-16,-227.24444057054586,-209.7444405705459,1.979843247825031E-7
0,-227.24444057054583,-205,2.353463141408709E-7
0,-231.25,-209.7444405705459,1.8238897144299257E-7
-8.881784197001252E-16,-231.25,-205,2.1838716984570127E-7
-8.881784197001252E-16,-231.25,-213.75000000000006,1.520134612307051E-7
-8.881784197001252E-16,-227.24444057054586,-213.75000000000006,1.6772189562011993E-7
8.881784197001252E-16,-227.24444057054583,-218.49444057054586,1.3002073650573607E-7
8.881784197001252E-16,-231.24999999999997,-218.49444057054586,1.1431230211632124E-7
0,-231.24999999999997,-222.5,8.247999918746033E-8
0,-227.2444405705458,-222.5,1.0170064246732923E-7
-8.881784197001252E-16,-227.2444405705458,-227.24444057054586,6.352102158533868E-8
-8.881784197001252E-16,-231.24999999999997,-227.24444057054586,4.430037830546981E-8
0,-231.25,-231.25,1.2062517621322223E-8
8.881784197001252E-16,-227.24444057054586,-231.24999999999997,4.66621862212133E-8
8.881784197001252E-16,-183.49444057054586,-209.7444405705459,8.990993733064582E-7
0,-183.49444057054583,-205,1.0660773513195567E-6
8.881784197001252E-16,-178.75,-205,1.2566174042406925E-6
8.881784197001252E-16,-187.49999999999994,-209.7444405705459,7.676051539730962E-7
0,-187.49999999999994,-205,9.290537335239841E-7
0,-187.49999999999994,-213.75000000000006,6.593844969504511E-7
8.881784197001252E-16,-183.49444057054586,-213.75000000000006,7.486016494584326E-7
0,-178.75000000000003,-213.75000000000006,8.700574767919083E-7
8.881784197001252E-16,-178.75,-209.7444405705459,1.0267212635000552E-6
-8.881784197001252E-16,-183.49444057054586,-218.4944405705459,6.466954914998116E-7
0,-187.49999999999994,-218.49444057054586,5.574783389918302E-7
0,-187.49999999999997,-222.50000000000006,4.714118016697075E-7
0,-183.49444057054586,-222.5,5.255468627480436E-7
0,-178.75,-222.5,5.947427048633565E-7
8.881784197001252E-16,-178.75,-218.49444057054586,7.207971112921318E-7
8.881784197001252E-16,-183.49444057054586,-227.2444405705459,4.829950213856391E-7
0,-187.49999999999994,-227.24444057054592,4.2885996030730287E-7
8.881784197001252E-16,-187.5,-231.25,3.9289869929151404E-7
8.881784197001252E-16,-183.49444057054586,-231.25,4.3099389716737813E-7
0,-178.75000000000003,-231.25,4.7616073248103213E-7
-8.881784197001252E-16,-178.75,-227.24444057054586,5.304700331181128E-7
8.881784197001252E-16,-192.2444405705458,-209.74444057054583,6.793696457420939E-7
8.881784197001252E-16,-192.2444405705458,-205,7.935432374340093E-7
8.881784197001252E-16,-196.24999999999994,-209.7444405705458,5.692531681092998E-7
0,-196.24999999999994,-205,6.791181685182493E-7
-8.881784197001252E-16,-196.24999999999997,-213.74999999999997,4.966444595821807E-7
0,-192.2444405705458,-213.75,5.711489887194488E-7
0,-192.2444405705458,-218.49444057054586,5.033705456732016E-7
-8.881784197001252E-16,-196.24999999999994,-218.49444057054586,4.2886601653593363E-7
-8.881784197001252E-16,-196.24999999999994,-222.49999999999997,3.7161965822729845E-7
-8.881784197001252E-16,-192.2444405705458,-222.5,4.173040083510788E-7
8.881784197001252E-16,-192.24444057054586,-227.24444057054586,3.893070346827049E-7
8.881784197001252E-16,-196.25,-227.24444057054583,3.4362268455892464E-7
-8.881784197001252E-16,-196.25000000000003,-231.24999999999997,3.1995806563068436E-7
-8.881784197001252E-16,-192.24444057054592,-231.25,3.533457736669161E-7
0,-200.9944405705458,-209.74444057054586,4.985681437367031E-7
8.881784197001252E-16,-200.9944405705458,-205,5.77921428481427E-7
1.7763568394002505E-15,-200.99444057054583,-213.75000000000006,4.2595943520958406E-7
-8.881784197001252E-16,-200.99444057054586,-218.49444057054586,3.787250187653894E-7
-1.7763568394002505E-15,-200.99444057054586,-222.5,3.2147866045675415E-7
8.881784197001252E-16,-200.99444057054592,-227.24444057054586,3.017723654315228E-7
-8.881784197001252E-16,-200.99444057054595,-231.25,2.781077465032825E-7
0,-209.74444057054586,-183.49444057054586,8.293772736123637E-7
0,-209.74444057054592,-178.75000000000003,9.397982686125723E-7
-8.881784197001252E-16,-205,-178.75,1.159594058777958E-6
0,-213.75000000000003,-183.49444057054586,6.755467585853768E-7
0,-213.75000000000006,-178.75000000000003,7.797630802964529E-7
-8.881784197001252E-16,-213.75000000000003,-187.49999999999994,6.019193841523024E-7
-8.881784197001252E-16,-209.74444057054586,-187.49999999999997,7.15175741424E-7
0,-205,-187.49999999999994,8.740899594533688E-7
8.881784197001252E-16,-205,-183.49444057054586,9.911597470094966E-7
0,-209.7444405705459,-192.2444405705458,6.410053901129382E-7
0,-213.75000000000003,-192.2444405705458,5.277490328412408E-7
1.7763568394002505E-15,-213.75,-196.24999999999994,4.6512298378173724E-7
1.7763568394002505E-15,-209.74444057054586,-196.24999999999994,5.43754108215415E-7
0,-205,-196.24999999999997,6.562281059886547E-7
0,-205,-192.2444405705458,7.559684784241665E-7
0,-209.7444405705459,-200.99444057054586,4.848589292371016E-7
0,-213.75000000000006,-200.99444057054583,4.0622780480342365E-7
8.881784197001252E-16,-205,-200.9944405705458,5.688918151458093E-7
0,-218.49444057054586,-183.49444057054586,5.719745416537544E-7
0,-218.49444057054586,-178.75,6.317636749917095E-7
0,-222.49999999999997,-183.49444057054586,4.5207032747841916E-7
0,-222.5,-178.75,5.067803048772583E-7
-1.7763568394002505E-15,-222.49999999999997,-187.49999999999994,4.1088169879042717E-7
-8.881784197001252E-16,-218.49444057054586,-187.49999999999994,4.983471672206801E-7
0,-218.4944405705458,-192.24444057054578,4.5607294673299116E-7
0,-222.49999999999997,-192.24444057054578,3.6860747830273823E-7
0,-222.49999999999994,-196.24999999999994,3.329168774043343E-7
0,-218.49444057054583,-196.24999999999994,3.9344689767348774E-7
0,-218.49444057054586,-200.99444057054583,3.530603698389413E-7
8.881784197001252E-16,-222.49999999999994,-200.99444057054583,2.925303495697879E-7
