% Model,Supported-Internal-00.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 26 2022, 00:06"
% Dimension,3
% Nodes,43859
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-208.85436223929264,-208.85436223929264,7.714723496479382E-7
0,-208.8543622392926,-204.49999999999997,8.945212056911678E-7
0,-204.5,-204.49999999999994,1.0384888799088268E-6
0,-213.20833333333337,-208.85436223929264,6.719503462370855E-7
-8.881784197001252E-16,-213.20833333333331,-204.49999999999997,7.906915536977252E-7
0,-213.20833333333337,-213.20833333333337,5.66010543554999E-7
0,-208.85436223929264,-213.20833333333331,6.423846269451726E-7
8.881784197001252E-16,-204.5,-213.2083333333333,7.402607336071902E-7
8.881784197001252E-16,-204.5,-208.85436223929258,8.790403787866726E-7
8.881784197001252E-16,-208.85436223929264,-217.56269557262596,5.526399704044272E-7
0,-213.20833333333337,-217.56269557262596,4.7626588701425347E-7
-8.881784197001252E-16,-213.20833333333337,-221.91666666666669,3.8868176526658775E-7
8.881784197001252E-16,-208.85436223929264,-221.91666666666663,4.505591491764644E-7
1.7763568394002505E-15,-204.49999999999994,-221.91666666666663,5.183955704106082E-7
0,-204.49999999999997,-217.56269557262596,6.281592108298814E-7
8.881784197001252E-16,-208.85436223929258,-226.27102890595927,4.0363285974557287E-7
-8.881784197001252E-16,-213.20833333333331,-226.27102890595933,3.4175547583569616E-7
-8.881784197001252E-16,-213.20833333333331,-230.62500000000003,2.971758313982232E-7
0,-208.85436223929258,-230.625,3.557057466517493E-7
0,-204.49999999999994,-230.625,4.127709809636706E-7
8.881784197001252E-16,-204.49999999999994,-226.27102890595927,4.6428719783818233E-7
0,-217.562695572626,-208.85436223929258,6.081680727694873E-7
0,-217.56269557262596,-204.49999999999994,7.098443031467964E-7
-8.881784197001252E-16,-221.91666666666669,-208.85436223929258,5.297968003144764E-7
8.881784197001252E-16,-221.91666666666669,-204.49999999999994,6.276940903599408E-7
8.881784197001252E-16,-221.91666666666666,-213.20833333333331,4.370555653800486E-7
1.7763568394002505E-15,-217.56269557262598,-213.20833333333331,5.022282700874007E-7
1.7763568394002505E-15,-217.56269557262598,-217.56269557262596,4.1730437855965887E-7
8.881784197001252E-16,-221.91666666666666,-217.56269557262596,3.521316738523069E-7
0,-221.91666666666669,-221.91666666666663,2.691424225959587E-7
8.881784197001252E-16,-217.56269557262598,-221.91666666666666,3.2972025681199315E-7
0,-217.56269557262596,-226.27102890595933,2.7795368498218123E-7
-8.881784197001252E-16,-221.91666666666669,-226.2710289059593,2.1737585076614674E-7
0,-221.91666666666669,-230.625,1.6784805170303632E-7
0,-217.56269557262596,-230.62500000000006,2.3337404054470825E-7
-8.881784197001252E-16,-226.2710289059593,-208.85436223929258,5.007688373964881E-7
8.881784197001252E-16,-226.27102890595933,-204.49999999999994,5.97034016585612E-7
-8.881784197001252E-16,-230.62499999999997,-208.85436223929258,4.708045419375419E-7
8.881784197001252E-16,-230.625,-204.49999999999994,5.65291610178218E-7
-8.881784197001252E-16,-230.62500000000003,-213.20833333333331,3.7776755401198583E-7
0,-226.27102890595927,-213.20833333333331,4.080276024620605E-7
