% Model,Supported-Internal-m75.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 08:14"
% Dimension,3
% Nodes,51834
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-212.45322385156305,-212.45322385156305,5.760960336400772E-7
8.881784197001252E-16,-212.45322385156302,-208.00000000000006,6.687998459425054E-7
8.881784197001252E-16,-208,-208.00000000000006,7.730856313645172E-7
8.881784197001252E-16,-217.00000000000006,-212.45322385156305,5.037049138729719E-7
-1.7763568394002505E-15,-217.00000000000003,-208.00000000000006,5.930241392695554E-7
0,-217.00000000000006,-217.00000000000006,4.221872760613851E-7
8.881784197001252E-16,-212.45322385156305,-217.00000000000006,4.776624832662962E-7
-1.7763568394002505E-15,-208,-217.00000000000009,5.482024920334239E-7
8.881784197001252E-16,-208,-212.45322385156308,6.539326399041148E-7
-8.881784197001252E-16,-212.453223851563,-221.45322385156308,4.1032332597851017E-7
-1.7763568394002505E-15,-217,-221.45322385156308,3.5484811877359904E-7
0,-217,-226,2.8721209383417685E-7
-8.881784197001252E-16,-212.453223851563,-226.00000000000003,3.322365200818073E-7
-1.7763568394002505E-15,-207.99999999999997,-226.00000000000006,3.810437861222211E-7
-1.7763568394002505E-15,-208,-221.4532238515631,4.648959772756146E-7
8.881784197001252E-16,-212.453223851563,-230.45322385156305,2.9725086682475784E-7
-8.881784197001252E-16,-217.00000000000003,-230.45322385156302,2.522264405771274E-7
0,-217.00000000000003,-235,2.1768199476692783E-7
1.7763568394002505E-15,-212.45322385156302,-235,2.6060906459814613E-7
-8.881784197001252E-16,-208,-235,3.0194092292721353E-7
0,-207.99999999999997,-230.45322385156305,3.412925220624303E-7
0,-221.45322385156305,-212.4532238515631,4.5840026939072396E-7
-1.7763568394002505E-15,-221.45322385156305,-208.00000000000006,5.353926081454981E-7
0,-226,-212.45322385156308,4.018564670830983E-7
-1.7763568394002505E-15,-226,-208.00000000000003,4.7588193069060164E-7
0,-226.00000000000006,-217.00000000000006,3.2988302593462934E-7
-8.881784197001252E-16,-221.45322385156305,-217.00000000000006,3.7688263157913716E-7
8.881784197001252E-16,-221.45322385156305,-221.45322385156305,3.12666611144781E-7
8.881784197001252E-16,-226.00000000000003,-221.45322385156305,2.656670055002732E-7
0,-226,-226,2.0107519707787745E-7
0,-221.45322385156305,-226,2.450305862053589E-7
8.881784197001252E-16,-221.45322385156305,-230.45322385156305,2.057631190328862E-7
0,-226,-230.45322385156305,1.618077299054048E-7
8.881784197001252E-16,-226,-235,1.228805146709815E-7
-8.881784197001252E-16,-221.45322385156305,-235,1.7121867322268663E-7
8.881784197001252E-16,-230.45322385156305,-212.45322385156305,3.815513467174247E-7
0,-230.45322385156305,-208.00000000000003,4.543798343008487E-7
1.7763568394002505E-15,-235,-212.45322385156308,3.606129602088064E-7
-8.881784197001252E-16,-235,-208.00000000000006,4.3204385314274453E-7
0,-235,-217.00000000000009,2.883061797348222E-7
0,-230.45322385156305,-217.00000000000006,3.095779055689557E-7
1.7763568394002505E-15,-230.45322385156308,-221.4532238515631,2.404209678130752E-7
-8.881784197001252E-16,-235,-221.4532238515631,2.1914924197894163E-7
8.881784197001252E-16,-235,-226.00000000000006,1.492585809166593E-7
0,-230.45322385156305,-226.00000000000003,1.7582915939067947E-7
0,-230.45322385156305,-230.45322385156305,1.1205839744982632E-7
-1.7763568394002505E-15,-235,-230.45322385156308,8.548781897580613E-8
8.881784197001252E-16,-235.00000000000006,-235.00000000000006,2.1097897162760556E-8
-1.7763568394002505E-15,-230.45322385156305,-235,7.313118221540299E-8
8.881784197001252E-16,-185.45322385156305,-212.45322385156305,1.2468144146534347E-6
-8.881784197001252E-16,-185.45322385156302,-208.00000000000006,1.470389316317222E-6
-8.881784197001252E-16,-181.00000000000003,-208.00000000000006,1.698372937673844E-6
8.881784197001252E-16,-189.99999999999997,-212.45322385156305,1.0721013686196173E-6
-8.881784197001252E-16,-189.99999999999997,-208.00000000000006,1.295483354193812E-6
8.881784197001252E-16,-190,-217.00000000000006,8.685073870725697E-7
8.881784197001252E-16,-185.45322385156302,-217.00000000000006,9.734678337615357E-7
-8.881784197001252E-16,-181.00000000000003,-217.00000000000009,1.1074008691532563E-6
8.881784197001252E-16,-181.00000000000003,-212.4532238515631,1.3939162760180213E-6
8.881784197001252E-16,-185.45322385156305,-221.45322385156308,8.173586709687896E-7
0,-190,-221.45322385156305,7.123982242798234E-7
8.881784197001252E-16,-189.99999999999997,-226,5.549871971535238E-7
8.881784197001252E-16,-185.45322385156302,-226.00000000000003,6.04243933959821E-7
-8.881784197001252E-16,-181.00000000000003,-226.00000000000006,6.631313719851213E-7
1.7763568394002505E-15,-181.00000000000003,-221.4532238515631,8.863679155764193E-7
0,-185.45322385156305,-230.45322385156305,5.32061311466056E-7
8.881784197001252E-16,-189.99999999999997,-230.453223851563,4.828045746597588E-7
0,-189.99999999999997,-235,4.115028732861668E-7
0,-185.453223851563,-235,4.329167172872476E-7
0,-181,-235,4.5278457784422285E-7
0,-181.00000000000003,-230.45322385156305,5.57275904087219E-7
-8.881784197001252E-16,-194.453223851563,-212.4532238515631,9.876160974194525E-7
-8.881784197001252E-16,-194.453223851563,-208.00000000000003,1.152873251835191E-6
-1.7763568394002505E-15,-198.99999999999994,-212.45322385156308,8.439654685587055E-7
-1.7763568394002505E-15,-198.99999999999997,-208,1.0076871703580075E-6
-8.881784197001252E-16,-198.99999999999994,-217.00000000000006,6.979953511643018E-7
-8.881784197001252E-16,-194.453223851563,-217.00000000000006,7.840221158724049E-7
0,-194.453223851563,-221.45322385156305,6.715237143372384E-7
0,-198.99999999999994,-221.45322385156305,5.854969496291354E-7
0,-198.99999999999994,-226,4.7219993970498917E-7
0,-194.453223851563,-226,5.141126872109389E-7
-8.881784197001252E-16,-194.453223851563,-230.45322385156305,4.620968872074526E-7
-8.881784197001252E-16,-198.99999999999994,-230.45322385156305,4.2018413970150287E-7
8.881784197001252E-16,-198.99999999999994,-235,3.687451231789507E-7
-8.881784197001252E-16,-194.453223851563,-235,3.9079518583386067E-7
-1.7763568394002505E-15,-203.453223851563,-212.45322385156308,7.781250559925784E-7
-1.7763568394002505E-15,-203.453223851563,-208.00000000000003,9.065842149755287E-7
-8.881784197001252E-16,-203.453223851563,-217.00000000000006,6.321549385981745E-7
-8.881784197001252E-16,-203.453223851563,-221.4532238515631,5.432343720803156E-7
8.881784197001252E-16,-203.453223851563,-226.00000000000003,4.299373621561694E-7
-8.881784197001252E-16,-203.453223851563,-230.45322385156305,3.875266163156574E-7
-1.7763568394002505E-15,-203.453223851563,-235,3.360875997931052E-7
8.881784197001252E-16,-212.45322385156305,-185.45322385156302,1.6366157241158284E-6
-1.7763568394002505E-15,-212.45322385156305,-181,1.8496138737078913E-6
-1.7763568394002505E-15,-208,-181,2.216086295064753E-6
0,-217.00000000000006,-185.45322385156305,1.3636084474546521E-6
0,-217.00000000000003,-181.00000000000003,1.5691919471644157E-6
0,-217.00000000000006,-190,1.1732327115930387E-6
-8.881784197001252E-16,-212.45322385156305,-189.99999999999997,1.366544429365528E-6
8.881784197001252E-16,-208,-189.99999999999997,1.6208715863119735E-6
0,-208,-185.45322385156302,1.9053342736909416E-6
-2.6645352591003757E-15,-212.453223851563,-194.453223851563,1.210489254105684E-6
-8.881784197001252E-16,-217,-194.45322385156305,1.0171775363331946E-6
0,-217,-199,8.582196844050286E-7
8.881784197001252E-16,-212.453223851563,-199,9.833560577272836E-7
8.881784197001252E-16,-207.99999999999997,-198.99999999999997,1.150486527264213E-6
-8.881784197001252E-16,-208,-194.453223851563,1.3880554703333997E-6
-8.881784197001252E-16,-212.45322385156302,-203.45322385156302,8.562830218213142E-7
-1.7763568394002505E-15,-217.00000000000003,-203.45322385156305,7.311466484990592E-7
-8.881784197001252E-16,-207.99999999999997,-203.45322385156302,9.710429995964178E-7
8.881784197001252E-16,-221.45322385156305,-185.45322385156305,1.2127951586817485E-6
-8.881784197001252E-16,-221.45322385156305,-181.00000000000003,1.347776489034918E-6
0,-226,-185.45322385156305,9.91487106973199E-7
8.881784197001252E-16,-226,-181.00000000000003,1.1200624980907166E-6
-1.7763568394002505E-15,-226.00000000000006,-189.99999999999997,8.67223458357084E-7
8.881784197001252E-16,-221.45322385156305,-190,1.022419422820135E-6
-8.881784197001252E-16,-221.45322385156305,-194.45322385156302,9.207886704513014E-7
-1.7763568394002505E-15,-226.00000000000003,-194.453223851563,7.655927059882501E-7
0,-226,-198.99999999999997,6.625301282457522E-7
0,-221.45322385156305,-199,7.618308185231354E-7
-1.7763568394002505E-15,-221.45322385156305,-203.45322385156305,6.705802515555425E-7
-1.7763568394002505E-15,-226,-203.45322385156305,5.712795612781593E-7
-1.7763568394002505E-15,-230.45322385156305,-185.45322385156305,9.304283276008621E-7
8.881784197001252E-16,-230.45322385156305,-181.00000000000003,1.0271969668366999E-6
-8.881784197001252E-16,-235,-185.45322385156305,8.37618534143956E-7
-8.881784197001252E-16,-235,-181,9.31425203257599E-7
0,-235,-190,7.431494893902749E-7
-8.881784197001252E-16,-230.45322385156305,-190,8.061646789847472E-7
0,-230.45322385156308,-194.453223851563,7.278781502922787E-7
-8.881784197001252E-16,-235,-194.45322385156305,6.648629606978064E-7
-1.7763568394002505E-15,-235,-199,5.858312264702844E-7
-1.7763568394002505E-15,-230.45322385156305,-198.99999999999997,6.248155725497808E-7
0,-230.45322385156305,-203.45322385156305,5.483933188024831E-7
0,-235,-203.45322385156305,5.094089727229865E-7
1.7763568394002505E-15,-158.45322385156305,-212.45322385156305,2.265664103490019E-6
-1.7763568394002505E-15,-158.45322385156305,-208.00000000000006,2.7283055608229887E-6
-8.881784197001252E-16,-154,-208.00000000000006,3.068950437157553E-6
-8.881784197001252E-16,-163,-212.45322385156305,2.000228503189823E-6
-8.881784197001252E-16,-163,-208.00000000000006,2.465204232753166E-6
-8.881784197001252E-16,-163.00000000000003,-217.00000000000006,1.5447785344191135E-6
0,-158.45322385156305,-217.00000000000006,1.6957735988758199E-6
-8.881784197001252E-16,-154.00000000000003,-217.00000000000009,1.8846435887377749E-6
0,-154,-212.4532238515631,2.4757047867579705E-6
-8.881784197001252E-16,-158.45322385156305,-221.4532238515631,1.3542250078050263E-6
-1.7763568394002505E-15,-163,-221.45322385156308,1.20322994334832E-6
0,-163,-226,8.580622618591736E-7
0,-158.453223851563,-226.00000000000003,9.258188981584977E-7
8.881784197001252E-16,-153.99999999999997,-226.00000000000006,1.0069706040470653E-6
0,-154,-221.4532238515631,1.4484295970812517E-6
0,-158.453223851563,-230.45322385156305,7.557187028426414E-7
8.881784197001252E-16,-162.99999999999997,-230.45322385156305,6.879620665433174E-7
-8.881784197001252E-16,-162.99999999999997,-235,5.214550035585333E-7
-8.881784197001252E-16,-158.453223851563,-235,5.494230652230039E-7
0,-153.99999999999997,-235,5.762410464738497E-7
-1.7763568394002505E-15,-153.99999999999997,-230.45322385156308,7.891994295917826E-7
0,-167.45322385156305,-212.4532238515631,1.8824923662069253E-6
0,-167.45322385156305,-208.00000000000003,2.2567670341721635E-6
-8.881784197001252E-16,-172,-212.45322385156308,1.6694494772369696E-6
-8.881784197001252E-16,-172,-208,2.045727406879257E-6
-1.7763568394002505E-15,-172,-217.00000000000006,1.3082357884495867E-6
-2.6645352591003757E-15,-167.45322385156305,-217.00000000000006,1.4270423974362152E-6
-2.6645352591003757E-15,-167.45322385156305,-221.45322385156305,1.152434898882308E-6
-1.7763568394002505E-15,-172,-221.45322385156305,1.0336282898956797E-6
-1.7763568394002505E-15,-171.99999999999997,-226,7.562920640002032E-7
0,-167.45322385156302,-226,8.072672173931614E-7
1.7763568394002505E-15,-167.45322385156302,-230.45322385156305,6.729851795115985E-7
0,-171.99999999999997,-230.45322385156305,6.220100261186404E-7
-1.7763568394002505E-15,-172,-235,4.90087847081293E-7
0,-167.45322385156302,-235,5.064781165268142E-7
8.881784197001252E-16,-176.45322385156305,-212.45322385156308,1.5848177978696336E-6
-8.881784197001252E-16,-176.45322385156305,-208.00000000000003,1.9009128642883812E-6
0,-176.45322385156305,-217.00000000000006,1.2236041090822505E-6
-8.881784197001252E-16,-176.45322385156305,-221.45322385156308,9.92671745967912E-7
-8.881784197001252E-16,-176.45322385156305,-226.00000000000003,7.153355200724353E-7
8.881784197001252E-16,-176.45322385156302,-230.45322385156305,6.04204902613238E-7
0,-176.45322385156305,-235,4.722827235758904E-7
-8.881784197001252E-16,-212.45322385156305,-158.45322385156305,4.0798089969828855E-6
0,-212.45322385156305,-154,4.531296429670244E-6
8.881784197001252E-16,-208,-154,5.565555656021067E-6
0,-217.00000000000006,-158.45322385156305,3.241032894107452E-6
8.881784197001252E-16,-217.00000000000003,-154.00000000000003,3.6675293018263437E-6
-8.881784197001252E-16,-217.00000000000006,-163.00000000000006,2.857616623046586E-6
-1.7763568394002505E-15,-212.45322385156305,-163.00000000000003,3.486185148851614E-6
-1.7763568394002505E-15,-208,-163,4.254940548756397E-6
-8.881784197001252E-16,-208,-158.45322385156305,4.868335269554963E-6
-1.7763568394002505E-15,-212.453223851563,-167.45322385156305,3.1471707852796686E-6
-8.881784197001252E-16,-217,-167.45322385156305,2.5186022594746414E-6
8.881784197001252E-16,-217,-172,2.1725013989715897E-6
-8.881784197001252E-16,-212.453223851563,-172,2.609481276980099E-6
