% Model,Supported-Internal-p25.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 26 2022, 00:16"
% Dimension,3
% Nodes,42450
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
1.7763568394002505E-15,-208.84095835295653,-208.8409583529565,3.308138941612642E-7
-1.7763568394002505E-15,-208.8409583529565,-204.5,3.7950659971935664E-7
-8.881784197001252E-16,-204.5,-204.5,4.403307209377362E-7
-8.881784197001252E-16,-213.20833333333334,-208.84095835295653,2.7648339718963843E-7
8.881784197001252E-16,-213.20833333333331,-204.50000000000003,3.244993856478662E-7
-8.881784197001252E-16,-213.20833333333334,-213.20833333333331,2.3213752147131874E-7
0,-208.84095835295656,-213.20833333333331,2.7114930875692407E-7
-8.881784197001252E-16,-204.50000000000003,-213.20833333333331,3.127033708060544E-7
8.881784197001252E-16,-204.5,-208.84095835295648,3.741157635496751E-7
1.7763568394002505E-15,-208.84095835295656,-217.54929168628985,2.3196593786456935E-7
8.881784197001252E-16,-213.20833333333337,-217.54929168628988,1.9295415057896397E-7
-8.881784197001252E-16,-213.20833333333337,-221.91666666666669,1.5623766079763537E-7
1.7763568394002505E-15,-208.84095835295653,-221.91666666666669,1.8387270903865572E-7
8.881784197001252E-16,-204.5,-221.91666666666669,2.1110004146435336E-7
8.881784197001252E-16,-204.5,-217.54929168628985,2.6060846986129E-7
8.881784197001252E-16,-208.84095835295648,-226.25762501962322,1.5735560036516734E-7
1.7763568394002505E-15,-213.20833333333331,-226.25762501962322,1.2972055212414696E-7
8.881784197001252E-16,-213.20833333333331,-230.62500000000006,1.0646556134424187E-7
-8.881784197001252E-16,-208.84095835295648,-230.625,1.2731398341576635E-7
8.881784197001252E-16,-204.49999999999994,-230.625,1.4581732899032108E-7
-8.881784197001252E-16,-204.49999999999997,-226.2576250196232,1.7655389342305798E-7
-8.881784197001252E-16,-217.54929168628985,-208.84095835295656,2.4518456044202504E-7
-8.881784197001252E-16,-217.54929168628985,-204.50000000000003,2.8165397705016453E-7
1.7763568394002505E-15,-221.91666666666669,-208.84095835295653,2.0063796090274023E-7
0,-221.91666666666669,-204.5,2.3647279360154657E-7
8.881784197001252E-16,-221.91666666666666,-213.20833333333334,1.6734990378002125E-7
-8.881784197001252E-16,-217.54929168628985,-213.20833333333334,2.008386847237053E-7
1.7763568394002505E-15,-217.54929168628985,-217.54929168628985,1.6994201794535008E-7
0,-221.91666666666669,-217.54929168628988,1.3645323700166603E-7
0,-221.91666666666669,-221.91666666666669,1.0794225758315988E-7
0,-217.54929168628985,-221.91666666666669,1.332255281640215E-7
8.881784197001252E-16,-217.54929168628985,-226.25762501962322,1.1167500770312943E-7
-8.881784197001252E-16,-221.91666666666669,-226.25762501962322,8.639173712226779E-8
0,-221.91666666666669,-230.62500000000003,6.75192238597385E-8
0,-217.54929168628985,-230.62500000000006,8.842001692322435E-8
-8.881784197001252E-16,-226.25762501962322,-208.84095835295653,1.8118608192531406E-7
0,-226.2576250196232,-204.5,2.1130289501640146E-7
0,-230.625,-208.84095835295653,1.5389082692799822E-7
-8.881784197001252E-16,-230.625,-204.5,1.8367658259155987E-7
-8.881784197001252E-16,-230.62500000000006,-213.20833333333334,1.2608864447442267E-7
1.7763568394002505E-15,-226.25762501962322,-213.20833333333334,1.4789802480259514E-7
8.881784197001252E-16,-226.25762501962322,-217.54929168628985,1.2048693490986327E-7
0,-230.62500000000006,-217.54929168628985,9.86775545816908E-8
8.881784197001252E-16,-230.62500000000003,-221.91666666666669,7.374230655544019E-8
8.881784197001252E-16,-226.25762501962322,-221.91666666666669,9.197595549135711E-8
8.881784197001252E-16,-226.25762501962322,-226.25762501962322,7.078779027454695E-8
8.881784197001252E-16,-230.62500000000003,-226.25762501962322,5.255414133863002E-8
0,-230.62500000000003,-230.62500000000003,3.372909946198335E-8
-1.7763568394002505E-15,-226.25762501962322,-230.62500000000003,5.191527701201769E-8
-1.7763568394002505E-15,-182.71595835295653,-208.84095835295653,7.571590274683049E-7
0,-182.71595835295653,-204.5,8.809391754776994E-7
0,-178.375,-204.49999999999997,1.011836819805166E-6
8.881784197001252E-16,-187.08333333333337,-208.84095835295653,6.404785998134053E-7
-8.881784197001252E-16,-187.08333333333337,-204.5,7.643160810237754E-7
8.881784197001252E-16,-187.08333333333337,-213.20833333333337,5.235982920485421E-7
8.881784197001252E-16,-182.71595835295653,-213.20833333333334,5.976243753764774E-7
1.7763568394002505E-15,-178.375,-213.2083333333333,6.794252946465777E-7
-8.881784197001252E-16,-178.375,-208.84095835295648,8.421341505028023E-7
-8.881784197001252E-16,-182.71595835295653,-217.54929168628985,5.032730949429305E-7
-8.881784197001252E-16,-187.08333333333334,-217.54929168628988,4.2924701161499517E-7
8.881784197001252E-16,-187.08333333333331,-221.91666666666669,3.385798206450145E-7
-8.881784197001252E-16,-182.7159583529565,-221.91666666666669,3.814589234642792E-7
8.881784197001252E-16,-178.375,-221.91666666666663,4.267488478072712E-7
8.881784197001252E-16,-178.375,-217.54929168628985,5.509659840037159E-7
0,-182.71595835295648,-226.25762501962316,3.1730552128256154E-7
0,-187.08333333333331,-226.2576250196232,2.744264184632969E-7
8.881784197001252E-16,-187.08333333333331,-230.62500000000003,2.167668434983965E-7
-8.881784197001252E-16,-182.71595835295648,-230.625,2.382591016720219E-7
8.881784197001252E-16,-178.37499999999994,-230.625,2.577539480351658E-7
0,-178.37499999999997,-226.25762501962316,3.379719213418469E-7
8.881784197001252E-16,-191.4242916862899,-208.84095835295653,5.83878873280593E-7
0,-191.42429168628985,-204.49999999999997,6.757073733266111E-7
8.881784197001252E-16,-195.79166666666669,-208.8409583529565,4.960095190663387E-7
0,-195.79166666666663,-204.49999999999994,5.875031359161119E-7
8.881784197001252E-16,-195.7916666666667,-213.20833333333334,4.105780808335915E-7
8.881784197001252E-16,-191.4242916862899,-213.20833333333337,4.669985655157296E-7
-8.881784197001252E-16,-191.42429168628985,-217.54929168628988,3.9647194443900364E-7
-8.881784197001252E-16,-195.79166666666669,-217.54929168628985,3.400514597568655E-7
0,-195.79166666666663,-221.91666666666669,2.7266021680785614E-7
8.881784197001252E-16,-191.42429168628985,-221.91666666666669,3.0580475346902304E-7
-8.881784197001252E-16,-191.42429168628982,-226.25762501962322,2.586922931070558E-7
0,-195.79166666666663,-226.2576250196232,2.255477564458889E-7
0,-195.79166666666663,-230.625,1.833942880028508E-7
0,-191.4242916862898,-230.62500000000006,2.0103271814215538E-7
-8.881784197001252E-16,-200.13262501962316,-208.84095835295648,4.491887819989707E-7
8.881784197001252E-16,-200.13262501962316,-204.49999999999997,5.174983027967644E-7
8.881784197001252E-16,-200.13262501962322,-213.20833333333331,3.6375734376622364E-7
-8.881784197001252E-16,-200.1326250196232,-217.54929168628985,3.103568324405992E-7
1.7763568394002505E-15,-200.13262501962316,-221.91666666666669,2.4296558949158986E-7
0,-200.13262501962316,-226.2576250196232,2.0776748877156962E-7
-1.7763568394002505E-15,-200.13262501962313,-230.625,1.656140203285315E-7
8.881784197001252E-16,-208.84095835295653,-182.71595835295648,8.691100186209875E-7
-8.881784197001252E-16,-208.8409583529565,-178.37499999999994,9.739053540951085E-7
-8.881784197001252E-16,-204.5,-178.37499999999994,1.1592223070151593E-6
8.881784197001252E-16,-213.20833333333334,-182.7159583529565,7.058085363704838E-7
8.881784197001252E-16,-213.20833333333331,-178.37499999999994,8.088408677721045E-7
0,-213.20833333333337,-187.08333333333331,6.083628114581106E-7
8.881784197001252E-16,-208.84095835295656,-187.08333333333331,7.251929346052074E-7
-8.881784197001252E-16,-204.50000000000006,-187.08333333333331,8.562207300099535E-7
-8.881784197001252E-16,-204.5,-182.71595835295648,1.0037878190238975E-6
8.881784197001252E-16,-208.8409583529566,-191.42429168628985,6.475632552414111E-7
0,-213.20833333333337,-191.42429168628985,5.307331320943143E-7
-8.881784197001252E-16,-213.20833333333337,-195.79166666666669,4.536693610718847E-7
-1.7763568394002505E-15,-208.84095835295653,-195.79166666666663,5.351831525767666E-7
0,-204.5,-195.79166666666663,6.260219864692814E-7
-8.881784197001252E-16,-204.50000000000003,-191.42429168628982,7.41252291514225E-7
-1.7763568394002505E-15,-208.8409583529565,-200.13262501962316,4.713657070434777E-7
-8.881784197001252E-16,-213.20833333333331,-200.13262501962322,3.8985191553859577E-7
-8.881784197001252E-16,-204.5,-200.13262501962316,5.349896860321612E-7
-8.881784197001252E-16,-217.54929168628985,-182.71595835295648,6.159748678530186E-7
8.881784197001252E-16,-217.54929168628985,-178.37499999999994,6.829915546038898E-7
-1.7763568394002505E-15,-221.91666666666669,-182.71595835295648,4.86476368046573E-7
0,-221.91666666666669,-178.37499999999994,5.518731531387574E-7
0,-221.91666666666666,-187.0833333333333,4.246609886851696E-7
0,-217.54929168628985,-187.0833333333333,5.185291429406456E-7
0,-217.5492916862899,-191.42429168628982,4.6766609147135564E-7
0,-221.91666666666669,-191.42429168628982,3.7379793721587975E-7
8.881784197001252E-16,-221.91666666666669,-195.79166666666663,3.2447925633432047E-7
8.881784197001252E-16,-217.54929168628988,-195.79166666666669,3.9060232044892594E-7
8.881784197001252E-16,-217.54929168628985,-200.13262501962322,3.4627518331752306E-7
8.881784197001252E-16,-221.91666666666669,-200.13262501962316,2.801521192029176E-7
0,-226.25762501962316,-182.71595835295648,4.333168179814621E-7
0,-226.2576250196232,-178.37499999999994,4.765380269660851E-7
