% Model,Supported-Internal-00.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 00:26"
% Dimension,3
% Nodes,43305
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-209.3751965069679,-209.37519650696794,5.734853716597898E-7
-1.7763568394002505E-15,-209.37519650696797,-205.00000000000003,6.624354037306568E-7
0,-205,-205,7.748466081041518E-7
8.881784197001252E-16,-213.75,-209.37519650696794,4.889914879612223E-7
-8.881784197001252E-16,-213.75000000000006,-205.00000000000003,5.714980437615785E-7
8.881784197001252E-16,-213.74999999999994,-213.75000000000003,4.2196240225796106E-7
8.881784197001252E-16,-209.3751965069679,-213.75000000000003,4.903037565669503E-7
-1.7763568394002505E-15,-205.00000000000003,-213.75000000000006,5.709535476212416E-7
8.881784197001252E-16,-205,-209.37519650696794,6.590990039436341E-7
-8.881784197001252E-16,-209.37519650696794,-218.12519650696794,4.336901849158891E-7
0,-213.75,-218.12519650696794,3.653488306068999E-7
0,-213.75,-222.50000000000006,3.087356035315047E-7
0,-209.37519650696797,-222.5,3.6784091399730445E-7
-8.881784197001252E-16,-205.00000000000003,-222.5,4.309729762523111E-7
-1.7763568394002505E-15,-205,-218.12519650696794,5.009626644677431E-7
0,-209.375196506968,-226.87519650696794,3.4065649702142107E-7
0,-213.75,-226.87519650696794,2.8155118655562126E-7
-8.881784197001252E-16,-213.75000000000006,-231.25,2.543623234823507E-7
-8.881784197001252E-16,-209.375196506968,-231.25,3.135239321255831E-7
0,-205.00000000000006,-231.25,3.7273294418249416E-7
8.881784197001252E-16,-205.00000000000006,-226.87519650696788,4.0185587828157774E-7
-8.881784197001252E-16,-218.12519650696794,-209.3751965069679,4.333767834731537E-7
1.7763568394002505E-15,-218.12519650696794,-205,5.014764629128461E-7
-2.6645352591003757E-15,-222.49999999999997,-209.3751965069679,3.6863755353771734E-7
0,-222.5,-205,4.314674454557558E-7
-8.881784197001252E-16,-222.49999999999997,-213.74999999999994,3.107431087346993E-7
-8.881784197001252E-16,-218.12519650696788,-213.75,3.6634769776989244E-7
0,-218.12519650696788,-218.1251965069679,3.1179022457779085E-7
0,-222.49999999999997,-218.12519650696788,2.561856355425978E-7
-8.881784197001252E-16,-222.49999999999994,-222.49999999999994,2.0162748213678567E-7
0,-218.12519650696788,-222.5,2.551769975023956E-7
8.881784197001252E-16,-218.1251965069679,-226.87519650696794,2.217869636841237E-7
0,-222.49999999999994,-226.87519650696788,1.6823744831851383E-7
-8.881784197001252E-16,-222.5,-231.24999999999997,1.3484406889449553E-7
0,-218.12519650696794,-231.24999999999997,1.9459810061085316E-7
1.7763568394002505E-15,-226.87519650696788,-209.3751965069679,3.4359585236947246E-7
0,-226.87519650696788,-205,4.036321219589803E-7
8.881784197001252E-16,-231.24999999999997,-209.3751965069679,3.182231585046593E-7
0,-231.25,-205,3.7581161521384597E-7
-8.881784197001252E-16,-231.25,-213.75000000000006,2.606707673403234E-7
0,-226.87519650696794,-213.75,2.8570140756645444E-7
0,-226.8751965069679,-218.1251965069679,2.2588161353579062E-7
-8.881784197001252E-16,-231.25,-218.12519650696794,2.0085097330965959E-7
0,-231.25,-222.49999999999997,1.4102836872031523E-7
8.881784197001252E-16,-226.87519650696788,-222.49999999999994,1.713234601299785E-7
-8.881784197001252E-16,-226.87519650696788,-226.87519650696788,1.1058293759303118E-7
8.881784197001252E-16,-231.24999999999994,-226.87519650696788,8.028784618336792E-8
0,-231.24999999999994,-231.24999999999994,1.954333057823046E-8
-8.881784197001252E-16,-226.87519650696788,-231.24999999999994,7.718955816901285E-8
0,-183.12519650696788,-209.37519650696794,1.463256064982698E-6
2.6645352591003757E-15,-183.12519650696788,-205,1.7233242333033896E-6
-8.881784197001252E-16,-178.75000000000003,-205,1.9974458132345627E-6
0,-187.49999999999994,-209.37519650696794,1.2397412828044854E-6
2.6645352591003757E-15,-187.49999999999994,-205,1.4904112355537537E-6
0,-187.49999999999994,-213.75000000000006,1.043736827381945E-6
0,-183.1251965069679,-213.75000000000006,1.1937471436907233E-6
0,-178.75,-213.75000000000006,1.3671964185066815E-6
0,-178.75,-209.37519650696797,1.6463298458581957E-6
-1.7763568394002505E-15,-183.12519650696794,-218.12519650696794,1.0376366530106494E-6
-1.7763568394002505E-15,-187.49999999999994,-218.12519650696794,8.876263367018712E-7
-8.881784197001252E-16,-187.49999999999994,-222.5,7.315229822971578E-7
0,-183.12519650696794,-222.5,8.207220894546651E-7
-8.881784197001252E-16,-178.75,-222.5,9.177234873014329E-7
-8.881784197001252E-16,-178.75,-218.12519650696794,1.1424540507681827E-6
-8.881784197001252E-16,-183.12519650696794,-226.87519650696794,7.547491500634788E-7
0,-187.49999999999994,-226.87519650696794,6.655500429059715E-7
0,-187.49999999999994,-231.25,5.99570374516423E-7
0,-183.12519650696788,-231.25,6.604555994372042E-7
0,-178.75000000000003,-231.25,7.214067079688899E-7
8.881784197001252E-16,-178.75,-226.87519650696788,8.195681713858167E-7
-8.881784197001252E-16,-191.87519650696788,-209.3751965069679,1.1119957077089396E-6
1.7763568394002505E-15,-191.87519650696788,-205,1.2924918580640757E-6
-1.7763568394002505E-15,-196.24999999999997,-209.3751965069679,9.214501987530169E-7
8.881784197001252E-16,-196.24999999999997,-205,1.0945877740588808E-6
-8.881784197001252E-16,-196.24999999999997,-213.74999999999997,7.8825650179773E-7
-8.881784197001252E-16,-191.87519650696788,-213.75,9.159912522863994E-7
-8.881784197001252E-16,-191.87519650696785,-218.12519650696794,8.106118049361537E-7
-8.881784197001252E-16,-196.24999999999994,-218.1251965069679,6.828770544474844E-7
-1.7763568394002505E-15,-196.24999999999994,-222.5,5.77501471202358E-7
-8.881784197001252E-16,-191.87519650696788,-222.5,6.545084505314403E-7
0,-191.87519650696788,-226.87519650696794,6.107166497381164E-7
-8.881784197001252E-16,-196.24999999999997,-226.87519650696788,5.337096704090341E-7
-8.881784197001252E-16,-196.24999999999997,-231.24999999999997,4.899114091273632E-7
-8.881784197001252E-16,-191.87519650696794,-231.25,5.447369813485679E-7
1.7763568394002505E-15,-200.62519650696788,-209.37519650696794,8.18944455181623E-7
0,-200.62519650696788,-205,9.454434710531589E-7
-8.881784197001252E-16,-200.62519650696794,-213.75000000000006,6.857507582263363E-7
-8.881784197001252E-16,-200.62519650696794,-218.12519650696794,6.116181196661963E-7
-1.7763568394002505E-15,-200.62519650696794,-222.5,5.062425364210699E-7
0,-200.62519650696794,-226.8751965069679,4.7513454083878914E-7
0,-200.62519650696794,-231.25,4.313362795571182E-7
0,-209.37519650696794,-183.12519650696788,1.4023025279316076E-6
-8.881784197001252E-16,-209.37519650696797,-178.75,1.583208992149823E-6
8.881784197001252E-16,-205,-178.75,1.9116188376522883E-6
-8.881784197001252E-16,-213.75,-183.12519650696788,1.135680339695403E-6
0,-213.75000000000006,-178.75000000000003,1.304141906468083E-6
0,-213.75,-187.49999999999994,9.9755649442539E-7
-8.881784197001252E-16,-209.37519650696794,-187.49999999999994,1.191856657736488E-6
1.7763568394002505E-15,-205,-187.49999999999994,1.4258637866905232E-6
-8.881784197001252E-16,-205,-183.12519650696788,1.6418181715804186E-6
8.881784197001252E-16,-209.37519650696794,-191.87519650696788,1.0773112647180381E-6
8.881784197001252E-16,-213.75,-191.87519650696785,8.830111014069402E-7
8.881784197001252E-16,-213.75,-196.24999999999994,7.684757705307732E-7
0,-209.37519650696794,-196.24999999999994,9.019006593978331E-7
-8.881784197001252E-16,-205,-196.24999999999997,1.0657305863303293E-6
-8.881784197001252E-16,-205,-191.87519650696788,1.2457894681007005E-6
0,-209.37519650696794,-200.62519650696788,8.111447694174941E-7
-8.881784197001252E-16,-213.75000000000006,-200.62519650696788,6.777198805504342E-7
0,-205,-200.62519650696788,9.340805066956016E-7
0,-218.12519650696794,-183.1251965069679,9.866467547576254E-7
8.881784197001252E-16,-218.12519650696794,-178.75,1.0873068448191516E-6
-8.881784197001252E-16,-222.49999999999997,-183.12519650696788,7.799021269493091E-7
-8.881784197001252E-16,-222.5,-178.74999999999997,8.705003674706836E-7
0,-222.49999999999997,-187.49999999999994,6.99511287941965E-7
-8.881784197001252E-16,-218.12519650696788,-187.49999999999994,8.485229094876125E-7
0,-218.12519650696788,-191.87519650696782,7.812250130175421E-7
8.881784197001252E-16,-222.49999999999997,-191.87519650696782,6.322133914718946E-7
0,-222.49999999999994,-196.24999999999994,5.64920025220067E-7
0,-218.12519650696788,-196.24999999999991,6.66689682141375E-7
0,-218.12519650696794,-200.62519650696788,6.024293368969658E-7
-8.881784197001252E-16,-222.49999999999994,-200.62519650696788,5.006596799756578E-7
0,-226.87519650696794,-183.12519650696788,7.213976117417753E-7
-8.881784197001252E-16,-226.87519650696788,-178.74999999999997,7.822799222277452E-7
0,-231.25,-183.12519650696788,6.382848375534087E-7
-8.881784197001252E-16,-231.25,-178.74999999999994,6.940998914702896E-7
0,-231.25,-187.49999999999994,5.825314522427121E-7
-1.7763568394002505E-15,-226.87519650696794,-187.49999999999994,6.410067727344312E-7
0,-226.87519650696788,-191.87519650696788,5.925746469734786E-7
-8.881784197001252E-16,-231.24999999999997,-191.87519650696788,5.340993264817595E-7
8.881784197001252E-16,-231.24999999999997,-196.24999999999997,4.856633845660639E-7
-8.881784197001252E-16,-226.87519650696785,-196.24999999999997,5.25281280721651E-7
-8.881784197001252E-16,-226.87519650696788,-200.62519650696788,4.703767868804659E-7
8.881784197001252E-16,-231.25,-200.62519650696788,4.3075889072487896E-7
0,-156.87519650696794,-209.37519650696794,3.2688453859895726E-6
0,-156.87519650696794,-205.00000000000003,3.939488692919662E-6
0,-152.5,-205,4.4753589564756075E-6
0,-161.25,-209.37519650696794,2.8335541857696993E-6
0,-161.25000000000003,-205.00000000000003,3.4936970407619387E-6
0,-161.24999999999997,-213.75000000000006,2.2847637912409023E-6
-8.881784197001252E-16,-156.87519650696797,-213.75000000000006,2.5550774072266552E-6
8.881784197001252E-16,-152.50000000000006,-213.75000000000006,2.872753832370921E-6
8.881784197001252E-16,-152.50000000000003,-209.37519650696797,3.6091869137784165E-6
-8.881784197001252E-16,-156.87519650696797,-218.12519650696797,2.110355197277709E-6
8.881784197001252E-16,-161.24999999999997,-218.12519650696797,1.8400415812919557E-6
8.881784197001252E-16,-161.25,-222.50000000000003,1.3953449889231979E-6
0,-156.87519650696794,-222.5,1.5292616801834854E-6
8.881784197001252E-16,-152.5,-222.5,1.6785889383309847E-6
-8.881784197001252E-16,-152.5,-218.12519650696794,2.2756581641801338E-6
0,-156.87519650696794,-226.875196506968,1.3080014641268028E-6
0,-161.25,-226.875196506968,1.1740847728665155E-6
0,-161.25,-231.25,9.528165978578243E-7
8.881784197001252E-16,-156.87519650696794,-231.25,1.0027608514012053E-6
0,-152.50000000000003,-231.25,1.0528153427712528E-6
0,-152.5,-226.87519650696794,1.365701977875212E-6
-8.881784197001252E-16,-165.62519650696794,-209.37519650696788,2.58965231939983E-6
0,-165.62519650696794,-205.00000000000003,3.0914418953846328E-6
-8.881784197001252E-16,-170,-209.3751965069679,2.19733381019993E-6
-8.881784197001252E-16,-170,-205.00000000000003,2.6892181734343316E-6
-8.881784197001252E-16,-170,-213.75,1.796975110458178E-6
-8.881784197001252E-16,-165.6251965069679,-213.75,2.0408619248710325E-6
8.881784197001252E-16,-165.6251965069679,-218.12519650696794,1.7173840718379144E-6
-8.881784197001252E-16,-170,-218.12519650696788,1.4734972574250603E-6
0,-170,-222.49999999999994,1.1500367175451298E-6
0,-165.62519650696794,-222.5,1.272687479469156E-6
8.881784197001252E-16,-165.62519650696788,-226.87519650696794,1.121371536092091E-6
-8.881784197001252E-16,-170,-226.8751965069679,9.987207741680647E-7
-8.881784197001252E-16,-170,-231.25,8.473959270111463E-7
-8.881784197001252E-16,-165.62519650696794,-231.24999999999997,9.001033610833998E-7
0,-174.37519650696794,-209.37519650696797,1.994151186734198E-6
-8.881784197001252E-16,-174.37519650696794,-205,2.363914756221275E-6
0,-174.37519650696794,-213.75000000000006,1.5937924869924458E-6
-1.7763568394002505E-15,-174.37519650696794,-218.12519650696794,1.3612337483952489E-6
-8.881784197001252E-16,-174.37519650696794,-222.5,1.037773208515318E-6
0,-174.37519650696794,-226.87519650696788,9.357498480585149E-7
-8.881784197001252E-16,-174.37519650696794,-231.25,7.844250009015962E-7
8.881784197001252E-16,-209.37519650696794,-156.87519650696794,2.985315266862466E-6
-8.881784197001252E-16,-209.37519650696794,-152.50000000000006,3.3084386604775364E-6
8.881784197001252E-16,-205,-152.50000000000006,4.081692831942887E-6
8.881784197001252E-16,-213.75000000000003,-156.87519650696797,2.318813544016988E-6
-8.881784197001252E-16,-213.75000000000006,-152.50000000000009,2.6152967360396015E-6
0,-213.75000000000003,-161.25000000000003,2.0758172575702504E-6
0,-209.37519650696794,-161.25000000000006,2.5904501471023103E-6
1.7763568394002505E-15,-205,-161.25000000000006,3.1749607294114304E-6
0,-205,-156.87519650696797,3.5759590387226834E-6
1.7763568394002505E-15,-209.37519650696794,-165.62519650696797,2.383064426515679E-6
1.7763568394002505E-15,-213.75000000000003,-165.62519650696794,1.86843153698362E-6
0,-213.75000000000006,-170.00000000000003,1.6610763300789803E-6
8.881784197001252E-16,-209.37519650696794,-170.00000000000003,2.0439521231597186E-6
-1.7763568394002505E-15,-205,-170,2.486436247077591E-6
0,-205,-165.62519650696794,2.830682751789739E-6
