% Model,Supported-Internal-m75.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 00:44"
% Dimension,3
% Nodes,51428
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
1.7763568394002505E-15,-210.39424559744663,-210.39424559744668,1.0565238836980812E-6
8.881784197001252E-16,-210.39424559744663,-206.00000000000006,1.2210403334242508E-6
0,-205.99999999999997,-206,1.425323149466668E-6
1.7763568394002505E-15,-214.83333333333334,-210.39424559744668,9.010810321781195E-7
8.881784197001252E-16,-214.83333333333331,-206.00000000000006,1.0534318406654594E-6
0,-214.83333333333337,-214.83333333333337,7.763408776543785E-7
8.881784197001252E-16,-210.39424559744668,-214.83333333333337,9.018490085612132E-7
-1.7763568394002505E-15,-206.00000000000006,-214.83333333333331,1.0481858565204595E-6
-8.881784197001252E-16,-206.00000000000003,-210.39424559744663,1.211736134955489E-6
0,-210.39424559744663,-219.22757893077997,7.972017310297552E-7
-8.881784197001252E-16,-214.83333333333331,-219.22757893077997,6.716936001229205E-7
8.881784197001252E-16,-214.83333333333326,-223.66666666666666,5.659600151827445E-7
0,-210.39424559744663,-223.66666666666666,6.744547430118094E-7
0,-206.00000000000006,-223.66666666666663,7.891184746377447E-7
0,-206.00000000000006,-219.22757893077997,9.193192656892799E-7
-8.881784197001252E-16,-210.39424559744666,-228.06091226411334,6.240387652233648E-7
0,-214.8333333333333,-228.06091226411334,5.155440373942998E-7
-8.881784197001252E-16,-214.83333333333331,-232.50000000000009,4.6458490476518643E-7
0,-210.39424559744663,-232.50000000000006,5.734882568837856E-7
8.881784197001252E-16,-206,-232.5,6.813778744638201E-7
-1.7763568394002505E-15,-206.00000000000003,-228.06091226411328,7.355388265803785E-7
-1.7763568394002505E-15,-219.22757893077994,-210.39424559744668,8.000550107053012E-7
8.881784197001252E-16,-219.22757893077997,-206.00000000000006,9.255438392376952E-7
-8.881784197001252E-16,-223.66666666666663,-210.39424559744668,6.80798740492869E-7
1.7763568394002505E-15,-223.66666666666663,-206.00000000000006,7.963821175811532E-7
-1.7763568394002505E-15,-223.66666666666663,-214.83333333333334,5.732814293066414E-7
1.7763568394002505E-15,-219.22757893078,-214.83333333333334,6.753148561815603E-7
0,-219.22757893077997,-219.22757893078,5.74630699761175E-7
