% Model,Supported-Internal-p25.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 00:45"
% Dimension,3
% Nodes,42808
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
1.7763568394002505E-15,-208.84095835295653,-208.8409583529565,7.749131269881204E-7
-1.7763568394002505E-15,-208.8409583529565,-204.5,8.937944815270306E-7
-8.881784197001252E-16,-204.5,-204.5,1.046181168538314E-6
-8.881784197001252E-16,-213.20833333333334,-208.84095835295653,6.597337564459734E-7
8.881784197001252E-16,-213.20833333333331,-204.50000000000003,7.699705464373327E-7
-8.881784197001252E-16,-213.20833333333334,-213.20833333333331,5.696889163787284E-7
0,-208.84095835295656,-213.20833333333331,6.629843996735887E-7
-8.881784197001252E-16,-204.50000000000003,-213.20833333333331,7.724914317041871E-7
8.881784197001252E-16,-204.5,-208.84095835295648,8.912259681764842E-7
1.7763568394002505E-15,-208.84095835295656,-217.54929168628985,5.875582867371154E-7
8.881784197001252E-16,-213.20833333333337,-217.54929168628988,4.94262803442255E-7
-8.881784197001252E-16,-213.20833333333337,-221.91666666666669,4.183603456041072E-7
1.7763568394002505E-15,-208.84095835295653,-221.91666666666669,4.990808487273575E-7
8.881784197001252E-16,-204.5,-221.91666666666669,5.847894431613373E-7
8.881784197001252E-16,-204.5,-217.54929168628985,6.789342745388799E-7
8.881784197001252E-16,-208.84095835295648,-226.25762501962322,4.629568447982538E-7
1.7763568394002505E-15,-213.20833333333331,-226.25762501962322,3.8223634167500355E-7
8.881784197001252E-16,-213.20833333333331,-230.62500000000006,3.4586776044189835E-7
-8.881784197001252E-16,-208.84095835295648,-230.625,4.2650764756534045E-7
8.881784197001252E-16,-204.49999999999994,-230.625,5.067278237427293E-7
-8.881784197001252E-16,-204.49999999999997,-226.2576250196232,5.458918538689359E-7
-8.881784197001252E-16,-217.54929168628985,-208.84095835295656,5.841291284528713E-7
-8.881784197001252E-16,-217.54929168628985,-204.50000000000003,6.751070197600731E-7
1.7763568394002505E-15,-221.91666666666669,-208.84095835295653,4.957950424836482E-7
0,-221.91666666666669,-204.5,5.796929038534248E-7
8.881784197001252E-16,-221.91666666666666,-213.20833333333334,4.180402651324547E-7
-8.881784197001252E-16,-217.54929168628985,-213.20833333333334,4.940842883856264E-7
1.7763568394002505E-15,-217.54929168628985,-217.54929168628985,4.2140503214796294E-7
0,-221.91666666666669,-217.54929168628988,3.4536100889479133E-7
0,-221.91666666666669,-221.91666666666669,2.7221808364981834E-7
0,-217.54929168628985,-221.91666666666669,3.455025743098152E-7
8.881784197001252E-16,-217.54929168628985,-226.25762501962322,3.0124802217854904E-7
-8.881784197001252E-16,-221.91666666666669,-226.25762501962322,2.279635315185521E-7
0,-221.91666666666669,-230.62500000000003,1.8341612587941704E-7
0,-217.54929168628985,-230.62500000000006,2.648794409454438E-7
-8.881784197001252E-16,-226.25762501962322,-208.84095835295653,4.617349566066424E-7
0,-226.2576250196232,-204.5,5.420751011384385E-7
0,-230.625,-208.84095835295653,4.2723557949504243E-7
-8.881784197001252E-16,-230.625,-204.5,5.042757249979327E-7
-8.881784197001252E-16,-230.62500000000006,-213.20833333333334,3.497467912852349E-7
1.7763568394002505E-15,-226.25762501962322,-213.20833333333334,3.839801792554489E-7
8.881784197001252E-16,-226.25762501962322,-217.54929168628985,3.0395195250986964E-7
0,-230.62500000000006,-217.54929168628985,2.697185645396556E-7
8.881784197001252E-16,-230.62500000000003,-221.91666666666669,1.891719900545179E-7
8.881784197001252E-16,-226.25762501962322,-221.91666666666669,2.308090272648967E-7
8.881784197001252E-16,-226.25762501962322,-226.25762501962322,1.496876995080689E-7
8.881784197001252E-16,-230.62500000000003,-226.25762501962322,1.0805066229769008E-7
0,-230.62500000000003,-230.62500000000003,2.6400310828675104E-8
-1.7763568394002505E-15,-226.25762501962322,-230.62500000000003,1.0514029386893384E-7
-1.7763568394002505E-15,-182.71595835295653,-208.84095835295653,1.980112154696742E-6
0,-182.71595835295653,-204.5,2.3290505808048856E-6
0,-178.375,-204.49999999999997,2.7005828942285558E-6
8.881784197001252E-16,-187.08333333333337,-208.84095835295653,1.6762395926779285E-6
-8.881784197001252E-16,-187.08333333333337,-204.5,2.012435733130042E-6
8.881784197001252E-16,-187.08333333333337,-213.20833333333337,1.4117791827645843E-6
8.881784197001252E-16,-182.71595835295653,-213.20833333333334,1.6159351639835976E-6
1.7763568394002505E-15,-178.375,-213.2083333333333,1.8510953589323603E-6
-8.881784197001252E-16,-178.375,-208.84095835295648,2.228630085136158E-6
-8.881784197001252E-16,-182.71595835295653,-217.54929168628985,1.4067481794653317E-6
-8.881784197001252E-16,-187.08333333333334,-217.54929168628988,1.2025921982463185E-6
8.881784197001252E-16,-187.08333333333331,-221.91666666666669,9.921097003918512E-7
-8.881784197001252E-16,-182.7159583529565,-221.91666666666669,1.113757482892378E-6
8.881784197001252E-16,-178.375,-221.91666666666663,1.2453556142781725E-6
8.881784197001252E-16,-178.375,-217.54929168628985,1.5491583424856927E-6
0,-182.71595835295648,-226.25762501962316,1.0255602967658452E-6
0,-187.08333333333331,-226.2576250196232,9.039125142653186E-7
8.881784197001252E-16,-187.08333333333331,-230.62500000000003,8.151353476892208E-7
-8.881784197001252E-16,-182.71595835295648,-230.625,8.984971588960275E-7
8.881784197001252E-16,-178.37499999999994,-230.625,9.81445320433059E-7
0,-178.37499999999997,-226.25762501962316,1.1138277081939574E-6
8.881784197001252E-16,-191.4242916862899,-208.84095835295653,1.5039944922374981E-6
0,-191.42429168628985,-204.49999999999997,1.745802331062315E-6
8.881784197001252E-16,-195.79166666666669,-208.8409583529565,1.24569796089755E-6
0,-195.79166666666663,-204.49999999999994,1.4775414542234685E-6
8.881784197001252E-16,-195.7916666666667,-213.20833333333334,1.0662389164368257E-6
8.881784197001252E-16,-191.4242916862899,-213.20833333333337,1.239534082324154E-6
-8.881784197001252E-16,-191.42429168628985,-217.54929168628988,1.0985674370377303E-6
-8.881784197001252E-16,-195.79166666666669,-217.54929168628985,9.252722711504021E-7
0,-195.79166666666663,-221.91666666666669,7.834294282620055E-7
8.881784197001252E-16,-191.42429168628985,-221.91666666666669,8.880849391832632E-7
