% Model,Supported-Internal-00.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 00:47"
% Dimension,3
% Nodes,43304
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-209.3751965069679,-209.37519650696794,5.62577284972288E-7
-1.7763568394002505E-15,-209.37519650696797,-205.00000000000003,6.498411548172748E-7
0,-205,-205,7.60109891078588E-7
8.881784197001252E-16,-213.75,-209.37519650696794,4.796961346924713E-7
-8.881784197001252E-16,-213.75000000000006,-205.00000000000003,5.606398671258351E-7
8.881784197001252E-16,-213.74999999999994,-213.75000000000003,4.139368337355467E-7
8.881784197001252E-16,-209.3751965069679,-213.75000000000003,4.809728997737469E-7
-1.7763568394002505E-15,-205.00000000000003,-213.75000000000006,5.600832774111694E-7
8.881784197001252E-16,-205,-209.37519650696794,6.465580397308902E-7
-8.881784197001252E-16,-209.37519650696794,-218.12519650696794,4.2542848992078335E-7
0,-213.75,-218.12519650696794,3.583924238825832E-7
0,-213.75,-222.50000000000006,3.0285313509065484E-7
0,-209.37519650696797,-222.5,3.6082969350965457E-7
-8.881784197001252E-16,-205.00000000000003,-222.5,4.2275425296489405E-7
-1.7763568394002505E-15,-205,-218.12519650696794,4.914155410217705E-7
0,-209.375196506968,-226.87519650696794,3.3415579928035925E-7
0,-213.75,-226.87519650696794,2.7617924086135953E-7
-8.881784197001252E-16,-213.75000000000006,-231.25,2.49507695276333E-7
-8.881784197001252E-16,-209.375196506968,-231.25,3.0754058029649875E-7
0,-205.00000000000006,-231.25,3.656154850358176E-7
8.881784197001252E-16,-205.00000000000006,-226.87519650696788,3.941836576637066E-7
-8.881784197001252E-16,-218.12519650696794,-209.3751965069679,4.251475031341805E-7
1.7763568394002505E-15,-218.12519650696794,-205,4.919596988897237E-7
-2.6645352591003757E-15,-222.49999999999997,-209.3751965069679,3.6164200807172805E-7
0,-222.5,-205,4.232854121710504E-7
-8.881784197001252E-16,-222.49999999999997,-213.74999999999994,3.048444029205818E-7
-8.881784197001252E-16,-218.12519650696788,-213.75,3.593882021772559E-7
0,-218.12519650696788,-218.1251965069679,3.058599852924433E-7
0,-222.49999999999997,-218.12519650696788,2.5131618603576923E-7
-8.881784197001252E-16,-222.49999999999994,-222.49999999999994,1.9779295074417592E-7
0,-218.12519650696788,-222.5,2.503206965005149E-7
8.881784197001252E-16,-218.1251965069679,-226.87519650696794,2.1755871775356006E-7
0,-222.49999999999994,-226.87519650696788,1.6503097199722107E-7
-8.881784197001252E-16,-222.5,-231.24999999999997,1.3227198974024768E-7
0,-218.12519650696794,-231.24999999999997,1.9088717216853345E-7
1.7763568394002505E-15,-226.87519650696788,-209.3751965069679,3.3708507151566145E-7
0,-226.87519650696788,-205,3.959903606553425E-7
8.881784197001252E-16,-231.24999999999997,-209.3751965069679,3.121933557659718E-7
0,-231.25,-205,3.6869779575212355E-7
-8.881784197001252E-16,-231.25,-213.75000000000006,2.557327432667704E-7
0,-226.87519650696794,-213.75,2.802874663645153E-7
0,-226.8751965069679,-218.1251965069679,2.21595703366411E-7
-8.881784197001252E-16,-231.25,-218.12519650696794,1.970409802686662E-7
0,-231.25,-222.49999999999997,1.3835463902489262E-7
8.881784197001252E-16,-226.87519650696788,-222.49999999999994,1.6807246807481763E-7
-8.881784197001252E-16,-226.87519650696788,-226.87519650696788,1.0847823119924575E-7
8.881784197001252E-16,-231.24999999999994,-226.87519650696788,7.876040214932077E-8
0,-231.24999999999994,-231.24999999999994,1.9171579644088488E-8
-8.881784197001252E-16,-226.87519650696788,-231.24999999999994,7.571924894227237E-8
0,-183.12519650696788,-209.37519650696794,1.4353552414721578E-6
2.6645352591003757E-15,-183.12519650696788,-205,1.6904741005091856E-6
-8.881784197001252E-16,-178.75000000000003,-205,1.959365848332525E-6
0,-187.49999999999994,-209.37519650696794,1.2161097682442893E-6
2.6645352591003757E-15,-187.49999999999994,-205,1.4620111192403248E-6
0,-187.49999999999994,-213.75000000000006,1.0238305745606367E-6
0,-183.1251965069679,-213.75000000000006,1.1709718295375706E-6
0,-178.75,-213.75000000000006,1.3411083488403579E-6
0,-178.75,-209.37519650696797,1.6149331995793397E-6
-1.7763568394002505E-15,-183.12519650696794,-218.12519650696794,1.017825271794113E-6
-1.7763568394002505E-15,-187.49999999999994,-218.12519650696794,8.706840168171793E-7
-8.881784197001252E-16,-187.49999999999994,-222.5,7.175513236071463E-7
0,-183.12519650696794,-222.5,8.050408524505031E-7
-8.881784197001252E-16,-178.75,-222.5,9.001846543197131E-7
-8.881784197001252E-16,-178.75,-218.12519650696794,1.1206363753472418E-6
-8.881784197001252E-16,-183.12519650696794,-226.87519650696794,7.403149224829206E-7
0,-187.49999999999994,-226.87519650696794,6.528253936395637E-7
0,-187.49999999999994,-231.25,5.881048424617192E-7
0,-183.12519650696788,-231.25,6.47821075077467E-7
0,-178.75000000000003,-231.25,7.075989865995743E-7
8.881784197001252E-16,-178.75,-226.87519650696788,8.038872849281323E-7
-8.881784197001252E-16,-191.87519650696788,-209.3751965069679,1.0908051541919987E-6
1.7763568394002505E-15,-191.87519650696788,-205,1.267869654284352E-6
-1.7763568394002505E-15,-196.24999999999997,-209.3751965069679,9.038979811233252E-7
8.881784197001252E-16,-196.24999999999997,-205,1.0737453405895175E-6
-8.881784197001252E-16,-196.24999999999997,-213.74999999999997,7.732329063895833E-7
-8.881784197001252E-16,-191.87519650696788,-213.75,8.98525960508346E-7
-8.881784197001252E-16,-191.87519650696785,-218.12519650696794,7.951443135143963E-7
-8.881784197001252E-16,-196.24999999999994,-218.1251965069679,6.698512593956337E-7
-1.7763568394002505E-15,-196.24999999999994,-222.5,5.664788834719305E-7
-8.881784197001252E-16,-191.87519650696788,-222.5,6.420116203043635E-7
0,-191.87519650696788,-226.87519650696794,5.990455729007166E-7
-8.881784197001252E-16,-196.24999999999997,-226.87519650696788,5.235128360682837E-7
-8.881784197001252E-16,-196.24999999999997,-231.24999999999997,4.805499778374035E-7
-8.881784197001252E-16,-191.87519650696794,-231.25,5.34325021722872E-7
1.7763568394002505E-15,-200.62519650696788,-209.37519650696794,8.033529138497358E-7
