% Model,Supported-Internal-m25.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 00:48"
% Dimension,3
% Nodes,54865
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
-8.881784197001252E-16,-209.89589626131718,-209.8958962613171,6.675030415859906E-7
1.7763568394002505E-15,-209.89589626131706,-205.49999999999997,7.714959474365377E-7
-8.881784197001252E-16,-205.5,-205.5,9.018196324848297E-7
0,-214.2916666666668,-209.89589626131712,5.694366172287329E-7
-8.881784197001252E-16,-214.2916666666667,-205.5,6.658591365118688E-7
-1.7763568394002505E-15,-214.29166666666683,-214.29166666666674,4.911393518219652E-7
-1.7763568394002505E-15,-209.89589626131718,-214.2916666666667,5.703948613154778E-7
0,-205.5,-214.29166666666669,6.638288672119028E-7
8.881784197001252E-16,-205.5,-209.8958962613171,7.666338962118189E-7
-8.881784197001252E-16,-209.89589626131715,-218.6875629279838,5.041634229870876E-7
-8.881784197001252E-16,-214.29166666666677,-218.68756292798383,4.249079134935749E-7
-1.7763568394002505E-15,-214.2916666666667,-223.08333333333337,3.5867886026006614E-7
-8.881784197001252E-16,-209.8958962613171,-223.08333333333337,4.272117399108055E-7
0,-205.49999999999997,-223.08333333333331,5.003895840628047E-7
0,-205.5,-218.68756292798378,5.821081134439744E-7
0,-209.8958962613171,-227.4792295946504,3.9535800658257887E-7
0,-214.29166666666669,-227.4792295946504,3.268251269318396E-7
0,-214.29166666666669,-231.87499999999994,2.949725879724291E-7
-8.881784197001252E-16,-209.8958962613171,-231.87499999999994,3.6366135353428096E-7
0,-205.5,-231.87499999999994,4.323950154787695E-7
0,-205.5,-227.4792295946504,4.663918392177269E-7
-1.7763568394002505E-15,-218.68756292798383,-209.89589626131712,5.049934353759959E-7
0,-218.6875629279838,-205.5,5.845253336106091E-7
8.881784197001252E-16,-223.08333333333331,-209.89589626131706,4.298386974181294E-7
-8.881784197001252E-16,-223.08333333333334,-205.5,5.03193051203252E-7
-1.7763568394002505E-15,-223.08333333333337,-214.29166666666674,3.622537544324926E-7
0,-218.68756292798386,-214.29166666666674,4.2669616996922793E-7
-1.7763568394002505E-15,-218.68756292798383,-218.68756292798378,3.6289880553930186E-7
0,-223.08333333333337,-218.68756292798378,2.984563900025666E-7
0,-223.08333333333334,-223.08333333333331,2.3466145467915085E-7
8.881784197001252E-16,-218.68756292798378,-223.08333333333331,2.966697523057931E-7
-8.881784197001252E-16,-218.68756292798378,-227.4792295946504,2.574848857477302E-7
-1.7763568394002505E-15,-223.08333333333331,-227.4792295946504,1.9547658812108787E-7
8.881784197001252E-16,-223.08333333333331,-231.87499999999994,1.5629348573509534E-7
0,-218.68756292798375,-231.87499999999994,2.256323467883197E-7
8.881784197001252E-16,-227.47922959465038,-209.89589626131703,4.0076185386760234E-7
8.881784197001252E-16,-227.47922959465038,-205.49999999999994,4.706992617140522E-7
0,-231.87499999999994,-209.8958962613171,3.7112894625867794E-7
0,-231.87499999999994,-205.49999999999997,4.382058138565024E-7
8.881784197001252E-16,-231.87499999999994,-214.29166666666669,3.0410020066399915E-7
-1.7763568394002505E-15,-227.47922959465043,-214.2916666666667,3.3317691088196547E-7
-1.7763568394002505E-15,-227.4792295946504,-218.6875629279838,2.634408580433744E-7
8.881784197001252E-16,-231.87499999999994,-218.68756292798378,2.3436414782540811E-7
0,-231.87499999999994,-223.08333333333331,1.646304768964842E-7
-1.7763568394002505E-15,-227.4792295946504,-223.08333333333334,1.9964592271995868E-7
-1.7763568394002505E-15,-227.4792295946504,-227.4792295946504,1.2869522289781468E-7
0,-231.87499999999994,-227.4792295946504,9.367977707434028E-8
0,-231.87499999999994,-231.87499999999994,2.2731806535861556E-8
8.881784197001252E-16,-227.47922959465038,-231.87499999999994,8.951212051182215E-8
-1.7763568394002505E-15,-183.52089626131715,-209.89589626131712,1.7030856523827995E-6
1.7763568394002505E-15,-183.5208962613171,-205.5,2.0068106853905717E-6
-1.7763568394002505E-15,-179.125,-205.5,2.3246920198874194E-6
-1.7763568394002505E-15,-187.91666666666674,-209.8958962613171,1.443259326137105E-6
8.881784197001252E-16,-187.91666666666669,-205.5,1.7359522891937948E-6
0,-187.9166666666668,-214.29166666666674,1.21458760070811E-6
0,-183.52089626131715,-214.2916666666667,1.3889137671128134E-6
0,-179.125,-214.29166666666669,1.590087960415799E-6
0,-179.125,-209.8958962613171,1.9151972680960562E-6
0,-183.52089626131715,-218.6875629279838,1.2066753570704893E-6
-8.881784197001252E-16,-187.91666666666674,-218.68756292798383,1.0323491906657857E-6
0,-187.91666666666674,-223.08333333333334,8.501162368898166E-7
0,-183.5208962613171,-223.08333333333334,9.53712188465812E-7
0,-179.12499999999997,-223.08333333333331,1.0662917537933523E-6
-8.881784197001252E-16,-179.125,-218.6875629279838,1.328186500724892E-6
-8.881784197001252E-16,-183.5208962613171,-227.4792295946504,8.765917208667339E-7
-8.881784197001252E-16,-187.9166666666667,-227.4792295946504,7.729957692907386E-7
0,-187.91666666666669,-231.87499999999994,6.958772460031535E-7
-8.881784197001252E-16,-183.5208962613171,-231.87499999999994,7.664897066730802E-7
0,-179.125,-231.87499999999994,8.371716477037869E-7
0,-179.125,-227.4792295946504,9.517309193239579E-7
-1.7763568394002505E-15,-192.31256292798375,-209.8958962613171,1.2945000165687819E-6
-1.7763568394002505E-15,-192.31256292798378,-205.5,1.505374638912335E-6
-8.881784197001252E-16,-196.70833333333331,-209.8958962613171,1.0725467477112965E-6
-8.881784197001252E-16,-196.70833333333334,-205.49999999999997,1.2748040202115785E-6
0,-196.70833333333337,-214.29166666666674,9.170722593246706E-7
0,-192.31256292798383,-214.29166666666674,1.0658282911397865E-6
0,-192.31256292798383,-218.68756292798378,9.427183829227296E-7
0,-196.70833333333337,-218.68756292798378,7.939623511076137E-7
0,-196.70833333333334,-223.08333333333331,6.708563330894828E-7
8.881784197001252E-16,-192.3125629279838,-223.08333333333331,7.604854291467606E-7
-8.881784197001252E-16,-192.3125629279838,-227.4792295946504,7.092866716161972E-7
8.881784197001252E-16,-196.70833333333334,-227.47922959465038,6.196575755589193E-7
-8.881784197001252E-16,-196.70833333333337,-231.87499999999994,5.68460657223477E-7
0,-192.31256292798378,-231.87499999999994,6.321681483286121E-7
-8.881784197001252E-16,-201.1042295946504,-209.89589626131706,9.530120069250736E-7
8.881784197001252E-16,-201.1042295946504,-205.49999999999994,1.1006519015214896E-6
0,-201.10422959465043,-214.2916666666667,7.975375185384478E-7
-8.881784197001252E-16,-201.10422959465043,-218.68756292798378,7.110500525237215E-7
0,-201.1042295946504,-223.08333333333334,5.879440345055908E-7
-8.881784197001252E-16,-201.10422959465043,-227.4792295946504,5.516459254896439E-7
0,-201.10422959465043,-231.87499999999994,5.004490071542016E-7
0,-209.89589626131715,-183.52089626131712,1.6318839188421264E-6
1.7763568394002505E-15,-209.89589626131706,-179.125,1.8433522416355929E-6
-8.881784197001252E-16,-205.5,-179.125,2.2245310947840704E-6
8.881784197001252E-16,-214.2916666666668,-183.52089626131715,1.3219592010364333E-6
-8.881784197001252E-16,-214.2916666666667,-179.12500000000003,1.5186751303104576E-6
8.881784197001252E-16,-214.29166666666683,-187.91666666666674,1.1610244815658224E-6
8.881784197001252E-16,-209.89589626131718,-187.9166666666667,1.3867264195662532E-6
-1.7763568394002505E-15,-205.5,-187.91666666666669,1.6580422779448487E-6
8.881784197001252E-16,-205.49999999999997,-183.52089626131706,1.9094499759673197E-6
-1.7763568394002505E-15,-209.89589626131712,-192.31256292798378,1.253627222915873E-6
-1.7763568394002505E-15,-214.29166666666677,-192.31256292798383,1.0279252849154425E-6
8.881784197001252E-16,-214.29166666666669,-196.70833333333334,8.948300960841133E-7
-1.7763568394002505E-15,-209.8958962613171,-196.70833333333337,1.0497531061829354E-6
0,-205.5,-196.70833333333337,1.2396491908138692E-6
0,-205.5,-192.31256292798378,1.4488443478222471E-6
-8.881784197001252E-16,-209.8958962613171,-201.1042295946504,9.443277543350918E-7
1.7763568394002505E-15,-214.29166666666669,-201.1042295946504,7.894047442362697E-7
0,-205.49999999999997,-201.1042295946504,1.0869219787124712E-6
8.881784197001252E-16,-218.68756292798378,-183.5208962613171,1.1488335693965614E-6
0,-218.6875629279838,-179.125,1.2663756515676065E-6
0,-223.08333333333334,-183.5208962613171,9.08434348257699E-7
-8.881784197001252E-16,-223.08333333333334,-179.125,1.0140825047621558E-6
0,-223.08333333333337,-187.91666666666669,8.1477568215173E-7
8.881784197001252E-16,-218.68756292798383,-187.91666666666674,9.878988499259504E-7
-1.7763568394002505E-15,-218.68756292798383,-192.3125629279838,9.097405357708571E-7
8.881784197001252E-16,-223.08333333333334,-192.31256292798375,7.366173679966364E-7
8.881784197001252E-16,-223.08333333333331,-196.70833333333331,6.584619991197258E-7
8.881784197001252E-16,-218.68756292798375,-196.70833333333331,7.766453469395281E-7
-8.881784197001252E-16,-218.68756292798378,-201.1042295946504,7.018930079612677E-7
-1.7763568394002505E-15,-223.08333333333334,-201.1042295946504,5.837096601414654E-7
8.881784197001252E-16,-227.47922959465038,-183.52089626131706,8.402540758569429E-7
8.881784197001252E-16,-227.47922959465038,-179.12499999999997,9.111562476916047E-7
0,-231.87499999999994,-183.5208962613171,7.432862402950678E-7
0,-231.87499999999994,-179.125,8.082320585995603E-7
8.881784197001252E-16,-231.87499999999994,-187.91666666666669,6.784162711498587E-7
8.881784197001252E-16,-227.4792295946504,-187.91666666666666,7.465954097509738E-7
8.881784197001252E-16,-227.4792295946504,-192.31256292798378,6.903914410772991E-7
8.881784197001252E-16,-231.87499999999994,-192.31256292798378,6.22212302476184E-7
0,-231.87499999999994,-196.70833333333334,5.660101062440216E-7
8.881784197001252E-16,-227.47922959465038,-196.70833333333334,6.122360722003885E-7
8.881784197001252E-16,-227.4792295946504,-201.1042295946504,5.483554632408785E-7
0,-231.87499999999994,-201.1042295946504,5.021294972845115E-7
0,-157.1458962613171,-209.89589626131712,3.8017023160305625E-6
-8.881784197001252E-16,-157.1458962613171,-205.5,4.583011775031718E-6
-8.881784197001252E-16,-152.75,-205.49999999999997,5.203650893363226E-6
0,-161.54166666666669,-209.89589626131712,3.296525354029111E-6
-8.881784197001252E-16,-161.54166666666669,-205.5,4.065526793643791E-6
-8.881784197001252E-16,-161.54166666666669,-214.29166666666674,2.6574427707373978E-6
0,-157.1458962613171,-214.2916666666667,2.9711089866447204E-6
-8.881784197001252E-16,-152.75000000000006,-214.2916666666667,3.3390880684319168E-6
-8.881784197001252E-16,-152.75,-209.8958962613171,4.19558569780649E-6
-1.7763568394002505E-15,-157.1458962613171,-218.68756292798383,2.453104694219597E-6
0,-161.54166666666663,-218.68756292798383,2.139438478312274E-6
8.881784197001252E-16,-161.54166666666663,-223.08333333333334,1.6214477305353909E-6
8.881784197001252E-16,-157.14589626131706,-223.08333333333334,1.7767898433703613E-6
-1.7763568394002505E-15,-152.75000000000003,-223.08333333333334,1.949942895238361E-6
0,-152.75000000000006,-218.6875629279838,2.6445006401655234E-6
-8.881784197001252E-16,-157.14589626131712,-227.4792295946504,1.5184646715714711E-6
-8.881784197001252E-16,-161.54166666666669,-227.4792295946504,1.3631225587365007E-6
0,-161.54166666666669,-231.87499999999994,1.104806120167777E-6
-8.881784197001252E-16,-157.1458962613171,-231.87499999999994,1.1623972972477983E-6
0,-152.75,-231.87499999999994,1.220114603043849E-6
0,-152.75000000000003,-227.4792295946504,1.5850273989842836E-6
0,-165.93756292798372,-209.89589626131712,3.01304826810892E-6
0,-165.93756292798372,-205.5,3.5979208776816643E-6
-8.881784197001252E-16,-170.33333333333331,-209.8958962613171,2.556985089452644E-6
-8.881784197001252E-16,-170.33333333333331,-205.49999999999997,3.130320614197151E-6
-8.881784197001252E-16,-170.33333333333331,-214.2916666666667,2.090495866215513E-6
-8.881784197001252E-16,-165.93756292798372,-214.29166666666674,2.3739656848172065E-6
8.881784197001252E-16,-165.93756292798372,-218.68756292798378,1.9969306764901002E-6
8.881784197001252E-16,-170.33333333333331,-218.68756292798378,1.7134608578884067E-6
0,-170.33333333333326,-223.08333333333331,1.3364363377840607E-6
0,-165.93756292798372,-223.08333333333331,1.4789399287132167E-6
-8.881784197001252E-16,-165.93756292798372,-227.4792295946504,1.3021899182697743E-6
0,-170.33333333333326,-227.47922959465038,1.1596863273406181E-6
-8.881784197001252E-16,-170.33333333333331,-231.87499999999994,9.82943332837027E-7
0,-165.93756292798372,-231.87499999999994,1.043873479701051E-6
-8.881784197001252E-16,-174.7292295946504,-209.89589626131706,2.3201997910445933E-6
0,-174.7292295946504,-205.49999999999997,2.7510114504820526E-6
-8.881784197001252E-16,-174.7292295946504,-214.29166666666669,1.8537105678074626E-6
8.881784197001252E-16,-174.7292295946504,-218.68756292798378,1.5828778337278123E-6
0,-174.72922959465035,-223.08333333333331,1.2058533136234663E-6
-1.7763568394002505E-15,-174.72922959465038,-227.4792295946504,1.0868349368686956E-6
0,-174.72922959465043,-231.87499999999994,9.100919423651044E-7
8.881784197001252E-16,-209.89589626131718,-157.14589626131703,3.4749214964004293E-6
0,-209.8958962613171,-152.75,3.853174555958901E-6
