% Model,Supported-Internal-p50.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 00:52"
% Dimension,3
% Nodes,42518
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-208.33333333333337,-208.33333333333334,3.7642084795271294E-7
0,-208.33333333333331,-203.99999999999994,4.336376718609852E-7
0,-203.99999999999994,-203.99999999999994,5.086167806641197E-7
8.881784197001252E-16,-212.66666666666663,-208.33333333333337,3.2006165898238124E-7
8.881784197001252E-16,-212.6666666666666,-204,3.7315495414115756E-7
8.881784197001252E-16,-212.66666666666669,-212.66666666666666,2.7693872129224136E-7
0,-208.33333333333337,-212.66666666666663,3.226774620353724E-7
0,-204,-212.6666666666666,3.7668748468050357E-7
-8.881784197001252E-16,-203.99999999999997,-208.33333333333331,4.3379597797794115E-7
1.7763568394002505E-15,-208.33333333333337,-217,2.8643319740260287E-7
0,-212.66666666666666,-217.00000000000006,2.406944566594719E-7
0,-212.66666666666663,-221.33333333333334,2.0445001864656242E-7
8.881784197001252E-16,-208.33333333333331,-221.3333333333333,2.4404018917964193E-7
-8.881784197001252E-16,-203.99999999999991,-221.33333333333326,2.8631532153696225E-7
0,-203.99999999999994,-217,3.3150133074641923E-7
8.881784197001252E-16,-208.33333333333331,-225.66666666666666,2.267289971919257E-7
8.881784197001252E-16,-212.6666666666666,-225.66666666666669,1.8713882665884623E-7
0,-212.66666666666657,-229.99999999999994,1.698278473897935E-7
8.881784197001252E-16,-208.3333333333333,-229.99999999999994,2.09267917070643E-7
8.881784197001252E-16,-203.9999999999999,-229.99999999999994,2.487328354754852E-7
-8.881784197001252E-16,-203.9999999999999,-225.66666666666663,2.675238819062356E-7
-8.881784197001252E-16,-217,-208.33333333333337,2.826605131691803E-7
-8.881784197001252E-16,-217,-204,3.264516651021924E-7
-8.881784197001252E-16,-221.3333333333333,-208.33333333333331,2.3934222073196503E-7
-8.881784197001252E-16,-221.33333333333326,-203.99999999999994,2.7974755568478635E-7
0,-221.33333333333331,-212.66666666666663,2.021361766566933E-7
-8.881784197001252E-16,-217.00000000000006,-212.66666666666663,2.3953757547904047E-7
0,-217.00000000000003,-217.00000000000006,2.0463184796593893E-7
0,-221.33333333333326,-217.00000000000003,1.6723044914359176E-7
0,-221.33333333333326,-221.33333333333331,1.3232464251357626E-7
0,-217,-221.33333333333331,1.683874099530295E-7
8.881784197001252E-16,-217,-225.66666666666669,1.4727980232357744E-7
8.881784197001252E-16,-221.33333333333326,-225.66666666666669,1.112170348841242E-7
8.881784197001252E-16,-221.33333333333326,-229.99999999999994,9.010947330362053E-8
0,-217,-229.99999999999994,1.2996882305452469E-7
0,-225.66666666666666,-208.33333333333337,2.2247173906610832E-7
8.881784197001252E-16,-225.66666666666663,-203.99999999999994,2.6128156303603477E-7
0,-229.99999999999994,-208.33333333333337,2.0559208190448368E-7
0,-229.99999999999994,-203.99999999999994,2.428147647615689E-7
0,-229.99999999999994,-212.66666666666666,1.6839472863929053E-7
-8.881784197001252E-16,-225.66666666666669,-212.66666666666666,1.8526569499083655E-7
0,-225.66666666666666,-217.00000000000003,1.4659432928854519E-7
0,-229.99999999999994,-217.00000000000006,1.2972336293699917E-7
8.881784197001252E-16,-229.99999999999994,-221.33333333333331,9.105218326102211E-8
0,-225.66666666666669,-221.33333333333331,1.1168852265852966E-7
8.881784197001252E-16,-225.66666666666669,-225.66666666666669,7.258193886372725E-8
0,-229.99999999999994,-225.66666666666669,5.19455994662197E-8
1.7763568394002505E-15,-229.99999999999994,-229.99999999999994,1.2839144776514438E-8
8.881784197001252E-16,-225.66666666666663,-229.99999999999994,5.147437728322357E-8
0,-182.33333333333337,-208.33333333333334,9.634354254522227E-7
0,-182.33333333333334,-203.99999999999994,1.1323684151421353E-6
0,-177.99999999999994,-203.99999999999994,1.3150979686908555E-6
