% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 25 2021, 13:11"
% Table,Table 2 - Sca P (Q_sca)
% alpha (deg),wlength (nm),"theta_i=0.66323, Q_sca (1)","theta_i=0.68068, Q_sca (1)","theta_i=0.69813, Q_sca (1)","theta_i=0.71558, Q_sca (1)","theta_i=0.73304, Q_sca (1)","theta_i=0.75049, Q_sca (1)","theta_i=0.76794, Q_sca (1)","theta_i=0.7854, Q_sca (1)"
90,500,-0.06873663277136531,0.007718803291234529,0.10382404663484417,0.2448156602315956,0.7994355344561012,0.9060888059954105,0.8608230037329307,0.7706921144896349
90,510.00000000000006,-0.034812610662188936,0.05168433636703282,0.16063920216565844,0.3209907917869985,0.955808541093022,1.0730368524897227,1.0171229492530227,0.9109774600888967
90,520,0.09633742297357824,0.19233495487507918,0.31367601394006167,0.4932986451561331,1.2261830610379025,1.3574134629340904,1.2852255963282353,1.1567611480009117
90,530,0.2544962646596838,0.3521419623812652,0.47586006062585234,0.6598279782929601,1.4413282621937944,1.5841363077759194,1.5020593960977093,1.360610272335738
90,540.0000000000001,0.35998164541964706,0.452960047125737,0.5708523795292242,0.7465149152646469,1.520606380861405,1.6699036384630812,1.5874994490111198,1.4457034276966239
90,550,0.4186750281203928,0.5052758568492912,0.6150837455551166,0.7788302859784719,1.5223480436411652,1.6737480515049306,1.5949402369083712,1.4581826969425107
90,560.0000000000001,0.45247089375848787,0.5329588379731844,0.6349893947915295,0.7871802313690142,1.4955570895437378,1.6465786281940034,1.5720618941180238,1.4414856199556643
90,570,0.4698951031601864,0.5447755137345491,0.6396561257983274,0.7811745634606516,1.4540961933304537,1.603572140843146,1.533576698782131,1.4095047669875895
90,580,0.4757910864129592,0.5456611129449164,0.6341516837215313,0.7661125109694532,1.404553599147108,1.5510878730140123,1.485329218675992,1.3675938675207446
90,590,0.4730659598864066,0.5385216887009266,0.6213815052005031,0.7449066753684372,1.3508470476585537,1.4936474281149885,1.431818328196542,1.3200999321904094
90,600,0.465416053304001,0.5271099714595691,0.6051679819331397,0.721484987143437,1.2981336666654546,1.4368907710399443,1.3785374263322805,1.272260363033516
