% Model,Mie.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 13 2021, 13:10"
% Table,"Table 1 - Global Evaluation 1 (sigma_sca /C_geo, sigma_abs/C_geo, sigma_ext /C_geo)"
% wlength (m),lambda0 (nm),sigma_sca /C_geo (1),sigma_abs/C_geo (1),sigma_ext /C_geo (1)
4.0000000000000003E-7,400,0.005588875500815054,0.43886145656475983,0.44445033206557494
4.1000000000000004E-7,410,0.0051044754826031925,0.42849291531877487,0.4335973908013781
4.2000000000000006E-7,420,0.004656426123127816,0.41921327797899693,0.4238697041021247
4.3E-7,429.99999999999994,0.004247084052038034,0.4115687572637344,0.41581584131577237
4.4E-7,439.99999999999994,0.003923603387297368,0.4113668969734467,0.41529050036074405
4.5000000000000003E-7,450,0.003659078678621439,0.4173525532954048,0.42101163197402625
4.6000000000000004E-7,460,0.00337537106207568,0.4229485040435113,0.426323875105587
4.7000000000000005E-7,470,0.003135477932359188,0.4309904754980947,0.4341259534304539
4.800000000000001E-7,480,0.0030629557768009925,0.4508077269773462,0.4538706827541472
4.900000000000001E-7,490,0.0031773161719083464,0.4910923424967363,0.4942696586686446
5.000000000000001E-7,500,0.003489337341214597,0.5407614214893388,0.5442507588305535
5.1E-7,509.99999999999994,0.0042443880790002,0.5606521589595987,0.5648965470385989
5.200000000000001E-7,520,0.00467751313203189,0.4869607078106553,0.4916382209426873
5.3E-7,530,0.004382603658555251,0.37593034481969245,0.3803129484782477
5.4E-7,540,0.003825084086850175,0.26986097703659034,0.2736860611234405
5.5E-7,550,0.003283974781135215,0.19288464982327688,0.19616862460441212
5.6E-7,560,0.0028293087744291775,0.13959096811110341,0.1424202768855326
5.7E-7,570,0.0024479257131823245,0.10201404077531219,0.10446196648849451
5.800000000000001E-7,580,0.0021289982876954794,0.07564368166950167,0.07777267995719714
5.900000000000001E-7,590,0.0018618404973431083,0.057056528066399985,0.05891836856374309
6.0E-7,599.9999999999999,0.0016391306550675485,0.04368831840390178,0.04532744905896933
6.100000000000001E-7,610,0.0014547840643973392,0.03400178208969366,0.035456566154091006
6.2E-7,619.9999999999999,0.0013021243495736125,0.026822166330048657,0.028124290679622268
6.3E-7,629.9999999999999,0.0011736627822243819,0.021119891659806652,0.022293554442031033
6.4E-7,639.9999999999999,0.0010628179213341713,0.016678962472530114,0.017741780393864284
6.5E-7,650,9.670592443446672E-4,0.013453716363916863,0.014420775608261532
6.6E-7,660,8.841933060642179E-4,0.011384798694139674,0.012268992000203892
6.7E-7,670,8.118810180986464E-4,0.00998371618454139,0.010795597202640037
6.800000000000001E-7,680,7.479743016647765E-4,0.008842673241458984,0.00959064754312376
6.900000000000001E-7,690,6.911448025436005E-4,0.007914496744235583,0.008605641546779183
7.000000000000001E-7,700,6.403408596332761E-4,0.007162758650890461,0.007803099510523738
7.1E-7,709.9999999999999,5.947476846405432E-4,0.006560133902420979,0.007154881587061523
7.200000000000001E-7,720,5.537854965570636E-4,0.006080738661693377,0.00663452415825044
7.3E-7,729.9999999999999,5.168148516757442E-4,0.005687270643573814,0.006204085495249558
7.400000000000001E-7,740,4.8327937202815696E-4,0.0053500659504205844,0.0058333453224487415
7.5E-7,749.9999999999999,4.527087281329304E-4,0.005046664228719271,0.005499372956852202
7.6E-7,759.9999999999999,4.2472110170025583E-4,0.004763592573509212,0.005188313675209467
7.7E-7,770,3.991478498105933E-4,0.004518423657773909,0.004917571507584503
7.8E-7,780,3.757379109221801E-4,0.00430446610969638,0.004680204020618561
7.900000000000001E-7,790,3.542353186844396E-4,0.004110091431920934,0.004464326750605373
8.0E-7,799.9999999999999,3.344154698566244E-4,0.003926258548654433,0.004260674018511057
