% Model,Mie.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 13 2021, 13:09"
% Table,"Table 3 - Global Evaluation 2 (sigma_sca /C_geo, sigma_abs/C_geo, sigma_ext /C_geo)"
% wlength (m),lambda0 (nm),sigma_sca /C_geo (1),sigma_abs/C_geo (1),sigma_ext /C_geo (1)
4.0000000000000003E-7,400,0.005536431529148338,0.42539386452991074,0.4309302960590591
4.1000000000000004E-7,410,0.0050518336537499434,0.41433449005199025,0.4193863237057402
4.2000000000000006E-7,420,0.004601632580821448,0.4039049108878721,0.40850654346869353
4.3E-7,429.99999999999994,0.004194488539741205,0.39551339965245036,0.39970788819219155
4.4E-7,439.99999999999994,0.003871713038625214,0.3942991796788291,0.3981708927174543
4.5000000000000003E-7,450,0.0035943739275441098,0.397488740837232,0.4010831147647761
4.6000000000000004E-7,460,0.003310746691233013,0.3999253943077869,0.4032361409990199
4.7000000000000005E-7,470,0.0030612071496972566,0.40511232913138556,0.4081735362810828
4.800000000000001E-7,480,0.002917668269715893,0.4209288209484063,0.4238464892181222
4.900000000000001E-7,490,0.0029437816201957462,0.4513133425047534,0.4542571241249491
5.000000000000001E-7,500,0.003221483462065243,0.49187112760448315,0.4950926110665484
5.1E-7,509.99999999999994,0.0037359856339104834,0.5132448120440803,0.5169807976779908
5.200000000000001E-7,520,0.0041103720521826785,0.46869279715202483,0.47280316920420745
5.3E-7,530,0.003985773372471179,0.37487784456344325,0.3788636179359144
5.4E-7,540,0.0035725569833523364,0.2865126852193636,0.290085242202716
5.5E-7,550,0.003130305814479428,0.2191166174689322,0.2222469232834116
5.6E-7,560,0.00274098637085549,0.16771903474665206,0.17046002111750752
5.7E-7,570,0.0024053468097988617,0.12817493399301755,0.13058028080281642
5.800000000000001E-7,580,0.002113956793073669,0.09837778733828954,0.1004917441313632
5.900000000000001E-7,590,0.0018627930956022836,0.07660286417271922,0.07846565726832151
6.0E-7,599.9999999999999,0.0016499683975020167,0.060859000047453975,0.062508968444956
6.100000000000001E-7,610,0.0014713546415498762,0.04927190023995069,0.05074325488150057
6.2E-7,619.9999999999999,0.0013212501335387158,0.04047013430241465,0.04179138443595336
6.3E-7,629.9999999999999,0.0011945860634426906,0.033557898880413835,0.03475248494385652
6.4E-7,639.9999999999999,0.0010852463877103623,0.028106263907291616,0.029191510295001978
6.5E-7,650,9.903206259665794E-4,0.02385757407104793,0.024847894697014507
6.6E-7,660,9.073531860530608E-4,0.02062152712980303,0.021528880315856088
6.7E-7,670,8.345236968142305E-4,0.018225362675366962,0.019059886372181194
6.800000000000001E-7,680,7.702972378097767E-4,0.01643149233619862,0.017201789574008395
6.900000000000001E-7,690,7.13342768935241E-4,0.01504050240378872,0.015753845172723963
7.000000000000001E-7,700,6.625341226883349E-4,0.0139116616012371,0.014574195723925435
7.1E-7,709.9999999999999,6.169250617023226E-4,0.012946443699347646,0.013563368761049969
7.200000000000001E-7,720,5.757621129890985E-4,0.012090713638665847,0.012666475751654945
7.3E-7,729.9999999999999,5.384841105206862E-4,0.01132911395982707,0.011867598070347755
7.400000000000001E-7,740,5.046284048982717E-4,0.010651065985980975,0.011155694390879246
7.5E-7,749.9999999999999,4.738045165955844E-4,0.010047308861774948,0.010521113378370531
7.6E-7,759.9999999999999,4.4567998191841424E-4,0.009509697278998948,0.009955377260917364
7.7E-7,770,4.1996494946825146E-4,0.00902988970448678,0.009449854653955031
7.8E-7,780,3.9638497751249917E-4,0.008595008229626052,0.008991393207138551
7.900000000000001E-7,790,3.746940332776858E-4,0.008193289118731534,0.008567983152009219
8.0E-7,799.9999999999999,3.546779126720463E-4,0.007815811384972683,0.00817048929764473
