% Model,NP_OverSubstrate.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 14 2021, 10:04"
% Table,"Table 2 - Global Evaluation 2 (sigma_abs/(pi*radius_NP^2), sigma_sc/(pi*radius_NP^2), sigma_ext/(pi*radius_NP^2))"
% lambda (m),lambda0 (nm),sigma_abs/(pi*radius_NP^2) (1),sigma_sc/(pi*radius_NP^2) (1),sigma_ext/(pi*radius_NP^2) (1)
4.0000000000000003E-7,400,0.34145316265650333,-0.003251473787567183,0.33820168886893615
4.1000000000000004E-7,410,0.3305206089427847,-0.0011164959202943532,0.3294041130224903
4.2000000000000006E-7,420,0.3220120716238816,5.098380580987777E-4,0.3225219096819804
4.3E-7,429.99999999999994,0.3142230682385199,0.004656095358060996,0.31887916359658086
4.4E-7,439.99999999999994,0.30959986800790246,0.006192693139439601,0.31579256114734205
4.5000000000000003E-7,450,0.3200495822174746,0.005941781039728591,0.3259913632572032
4.6000000000000004E-7,460,0.3233805160851269,0.0055985404125692894,0.3289790564976962
4.7000000000000005E-7,470,0.3334144282754077,0.005179749359370801,0.3385941776347785
4.800000000000001E-7,480,0.34892985721478303,0.0031280799808382255,0.3520579371956213
4.900000000000001E-7,490,0.38608231918374103,3.9203832618954883E-4,0.3864743575099306
5.000000000000001E-7,500,0.4289751116531443,-8.9899733981978E-4,0.42807611431332454
5.1E-7,509.99999999999994,0.4636206144022173,-0.006572032730583786,0.45704858167163354
5.200000000000001E-7,520,0.4131618537442777,-0.006500322337425423,0.4066615314068523
5.3E-7,530,0.3377331939562436,-0.0042885124176909595,0.33344468153855267
5.4E-7,540,0.24443119118171508,-0.007085032946201051,0.23734615823551403
5.5E-7,550,0.17340125114662133,-0.010121206083294507,0.16328004506332683
5.6E-7,560,0.12795890128309045,-0.01486621672964449,0.11309268455344594
5.7E-7,570,0.09209577315719195,-0.014834376239985863,0.07726139691720608
5.800000000000001E-7,580,0.06648254866925278,-0.0158398324446368,0.05064271622461598
5.900000000000001E-7,590,0.04946000846371395,-0.015645105059281194,0.03381490340443275
6.0E-7,599.9999999999999,0.037005620077464496,-0.016959608221207362,0.020046011856257134
6.100000000000001E-7,610,0.028579721075419222,-0.01773456375318304,0.010845157322236185
6.2E-7,619.9999999999999,0.022281994416069525,-0.018644717910042297,0.0036372765060272297
6.3E-7,629.9999999999999,0.017418098005228203,-0.01834431831429924,-9.26220309071038E-4
6.4E-7,639.9999999999999,0.013464184278652898,-0.018678193447338585,-0.005214009168685687
6.5E-7,650,0.010808730671673438,-0.017110052681452225,-0.006301322009778789
6.6E-7,660,0.009088417694328964,-0.01721419574573434,-0.008125778051405375
6.7E-7,670,0.007897702696300116,-0.01575413226979212,-0.007856429573492002
6.800000000000001E-7,680,0.006904041268199351,-0.01584122897346869,-0.00893718770526934
6.900000000000001E-7,690,0.006126302118456265,-0.012944356111505025,-0.00681805399304876
7.000000000000001E-7,700,0.005517387926337448,-0.01160507385620475,-0.006087685929867303
7.1E-7,709.9999999999999,0.004969874076367994,-0.009418110952898932,-0.004448236876530938
7.200000000000001E-7,720,0.004599946800587907,-0.008324295112961977,-0.0037243483123740686
7.3E-7,729.9999999999999,0.004309117615173217,-0.006943031140455939,-0.0026339135252827213
7.400000000000001E-7,740,0.003992556575713665,-0.006042568888709393,-0.0020500123129957287
7.5E-7,749.9999999999999,0.0038165482866465168,-0.005429219146810763,-0.0016126708601642461
7.6E-7,759.9999999999999,0.0036077497846245376,-0.0038150433562252548,-2.0729357160071692E-4
7.7E-7,770,0.0034671104475161568,-0.0035831121712128463,-1.1600172369668955E-4
7.8E-7,780,0.0032732826291922627,-0.0025663951601475866,7.068874690446758E-4
7.900000000000001E-7,790,0.0031277134284771278,-7.678310754105379E-4,0.0023598823530665896
8.0E-7,799.9999999999999,0.002982813613902398,-3.647239680495643E-4,0.002618089645852834
