% Model,3_4-NP_Substrate_Neg.mph,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 5.4.0.225,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Jun 15 2021, 15:49",,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)",,,,,,,,,,,,,,,,,,,,,,,,,,
% wlength (nm),-1,-1,-1,-0.75,-0.75,-0.75,-0.5,-0.5,-0.5,-0.25,-0.25,-0.25,0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,1,1,1
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1)
450,0.004164992448867,0.421019941497201,0.425184933946068,0.004969851260317,0.498023896451275,0.502993747711592,0.006415329450381,0.625497701291949,0.63191303074233,0.008420128699234,0.780473489919985,0.788893618619219,0.010949380196869,0.944225415632422,0.955174795829291,0.013671527289081,1.09996314935857,1.11363467664765,0.016292441648085,1.23234926816872,1.2486417098168,0.018377988379986,1.32781383776351,1.34619182614349,0.019548223759295,1.37559938048348,1.39514760424277
460,0.003840623716749,0.423289912450266,0.427130536167015,0.00456457924428,0.499578843321265,0.504143422565545,0.005873660968739,0.625975217914027,0.631848878882766,0.007731518891788,0.7789791799131,0.786710698804888,0.010033382935492,0.940756873774431,0.950790256709923,0.012502981731254,1.09431912874033,1.10682211047158,0.014914119843344,1.22502747599805,1.23994159584139,0.016814123581925,1.31870743426057,1.33552155784249,0.017887662262987,1.3654864393549,1.38337410161788
470,0.003557125569302,0.428359397088113,0.431916522657414,0.004215228544688,0.504223757495604,0.508438986040292,0.005423257830282,0.629515075042845,0.634938332873127,0.007122377448592,0.781332387927889,0.78845476537648,0.009238175332791,0.941277671670249,0.95051584700304,0.011491751475139,1.0929430390435,1.10443479051864,0.013700158257556,1.22158411537813,1.23528427363568,0.015436699590157,1.313762719424,1.32919941901415,0.016411241501449,1.35914226865483,1.37555351015628
480,0.003408681210621,0.44512510475308,0.448533785963701,0.004034676934561,0.523198555207548,0.527233232142109,0.005195496492067,0.651673492608405,0.656868989100472,0.006825981349109,0.806726070461957,0.813552051811066,0.008847181224282,0.969639585330763,0.978486766555045,0.011043974113845,1.1236348422294,1.13467881634324,0.013169491811958,1.25364826927591,1.26681776108787,0.01482049059277,1.34629195650762,1.36111244710039,0.015756908488271,1.39097282335983,1.4067297318481
490,0.00347431315238,0.478596014360976,0.482070327513356,0.004098229556007,0.563911735661617,0.568009965217624,0.005330842611545,0.703280815215839,0.708611657827385,0.007034531451096,0.870452385364807,0.877486916815903,0.009203783282674,1.04507428068575,1.05427806396842,0.011523765448371,1.20920901365715,1.22073277910552,0.013778505910376,1.34700167470147,1.36078018061185,0.015530057889751,1.44423038849438,1.45976044638413,0.016500633117862,1.48994528299791,1.50644591611578
500,0.003873870144065,0.526353278500294,0.530227148644358,0.004645923092064,0.628436415416116,0.633082338508179,0.006106432578372,0.79294565071044,0.799052083288812,0.008185453492468,0.988352354411269,0.996537807903737,0.01085169469424,1.19077940028269,1.20163109497694,0.01367911501563,1.37961880671886,1.39329792173449,0.016449985675581,1.53696238441758,1.55341237009316,0.018603740181207,1.64714281068828,1.66574655086948,0.019802394075766,1.69819117674606,1.71799357082182
510,0.004633646259527,0.560159998638729,0.564793644898255,0.005729145129386,0.693631948918976,0.699361094048362,0.007861305170579,0.906543038176228,0.914404343346807,0.01083532552277,1.15746430947177,1.16829963499454,0.01467340658782,1.41591687417244,1.43059028076026,0.018777003841567,1.65598829879428,1.67476530263585,0.022815980255629,1.85587591181292,1.87869189206855,0.025950480631267,1.99658028442468,2.02253076505595,0.027797622986985,2.06501484985818,2.09281247284517
520,0.005281904547035,0.524817689057441,0.530099593604476,0.006875096045471,0.691250974942497,0.698126070987968,0.009968245788928,0.963111053978714,0.973079299767641,0.014555067340939,1.28964187040588,1.30419693774682,0.02046181566714,1.63168443734937,1.65214625301651,0.026938266585015,1.95509294898599,1.98203121557101,0.033368549100476,2.23030955918076,2.26367810828124,0.038524413806679,2.43265868260911,2.47118309641579,0.041854987141883,2.54668341461355,2.58853840175544
530,0.005240855310048,0.426583477348918,0.431824332658966,0.007147355738085,0.592292500876284,0.599439856614369,0.011090648322946,0.877870258057128,0.888960906380075,0.016906619015468,1.23900386528836,1.25591048430383,0.024777965181332,1.63586508457398,1.66064304975532,0.03371613789512,2.02971746753173,2.06343360542685,0.042934191149175,2.38423825820376,2.42717244935293,0.050870240527694,2.66616108884597,2.71703132937366,0.056533024404494,2.85550978430003,2.91204280870452
540,0.004739118424649,0.327307730154369,0.332046848579018,0.006599859305751,0.464361675397617,0.470961534703368,0.010508648610926,0.710248101102776,0.720756749713702,0.016539142363754,1.03485009457329,1.05138923693704,0.024849428050936,1.40950047436633,1.43434990241727,0.034735849227555,1.79955274786307,1.83428859709062,0.045359436694204,2.17236216062104,2.21772159731525,0.055040091912829,2.4918847787616,2.54692487067443,0.062587891265576,2.7352785433159,2.79786643458148
