% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 28 2021, 10:05"
% Table,"Table 6 - Global Evaluation 5 (Q_sca, Q_abs, Q_ext)"
% alpha (deg),wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
90,500,0.0038751707145871727,0.5263510385242041,0.5302262092387913
90,510.00000000000006,0.004632227732484595,0.5601691360000832,0.5648013637325678
90,520,0.005279419758099833,0.5248169607989044,0.5300963805570043
90,530,0.005240583135646129,0.4265744949920273,0.43181507812767345
90,540.0000000000001,0.00474240408397907,0.3273837361378063,0.3321261402217854
90,550,0.004162044874342978,0.2498820978668842,0.25404414274122716
90,560.0000000000001,0.0036497715206076243,0.1906304735097057,0.19428024503031333
90,570,0.003208826790258988,0.14511458831317328,0.14832341510343228
90,580,0.002816553617841222,0.11084761576823561,0.11366416938607683
90,590,0.002485770063101559,0.08590478693077531,0.08839055699387688
90,600,0.0021965650452021724,0.06794133993717563,0.0701379049823778
